Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Брянская																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243					
1	"Число избирателей, внесенных в списки"	42155	1416	877	503	207	2493	547	480	917	330	770	267	1411	413	313	1630	617	225	234	2583	1520	2140	515	262	390	481	2073	1372	537	2148	2361	2413	971	1057	507	965	590	608	193	231	1558	1857	331	173	669					
2	"Число бюллетеней, полученных участковыми комиссиями"	40351	1410	870	480	190	2356	490	460	860	320	710	250	1380	390	290	1540	580	210	220	2495	1462	2060	480	250	370	460	2012	1310	520	2070	2215	2308	930	1010	480	930	560	563	310	205	1465	1770	310	160	640					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21648	700	434	210	93	1208	316	322	553	200	413	120	611	229	172	817	378	122	164	1546	683	1226	228	156	179	272	1160	814	301	897	965	1015	477	633	294	517	314	266	161	143	881	914	176	83	285					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1164	10	21	48	15	47	89	28	23	24	23	31	138	0	9	29	37	23	13	21	13	14	15	5	7	5	40	33	15	26	29	44	1	40	19	19	23	33	32	0	6	20	18	15	63					
6	Число погашенных бюллетеней	17539	700	415	222	82	1101	85	110	284	96	274	99	631	161	109	694	165	65	43	928	766	820	237	89	184	183	812	463	204	1147	1221	1249	452	337	167	394	223	264	117	62	578	836	116	62	292					
7	Число бюллетеней в переносных ящиках для голосования	1151	10	21	48	15	47	89	28	23	24	23	31	138	0	9	29	37	23	13	21	0	14	15	5	7	5	40	33	15	26	29	44	1	40	19	19	23	33	32	0	6	20	18	15	63					
8	Число бюллетеней в стационарных ящиках для голосования	21652	700	434	210	93	1206	316	322	553	200	413	120	611	229	172	817	378	122	164	1545	696	1226	228	156	179	272	1160	814	301	895	965	1015	476	633	294	517	314	266	161	143	878	914	176	83	285					
9	Число недействительных бюллетеней	528	14	12	6	1	25	54	5	7	9	11	4	21	8	9	23	10	2	4	24	18	62	4	0	1	4	17	16	8	18	12	20	5	20	7	8	3	3	3	1	9	27	5	1	7					
10	Число действительных бюллетеней	22275	696	443	252	107	1228	351	345	569	215	425	147	728	221	172	823	405	143	173	1542	678	1178	239	161	185	273	1183	831	308	903	982	1039	472	653	306	528	334	296	190	142	875	907	189	97	341					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	16	9	6	2	28	6	6	10	4	9	3	17	5	4	18	7	3	9	30	17	24	6	3	5	6	24	16	7	29	27	28	12	13	6	12	7	7	4	3	17	22	3	2	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	141	6	3	0	0	10	0	3	3	0	0	2	10	0	0	5	4	0	6	21	3	13	4	2	0	1	6	3	0	5	4	4	4	5	4	2	1	1	0	0	5	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	168	0	2	2	1	3	6	3	6	2	5	7	6	6	5	4	1	1	3	5	3	9	4	3	3	2	4	5	0	3	10	4	8	4	4	1	3	3	4	7	3	2	2	1	8					
14	Число погашенных открепительных удостоверений	359	10	6	6	2	18	6	3	7	4	9	1	7	5	4	13	3	3	3	9	14	11	2	1	5	5	18	13	7	24	23	24	8	8	2	10	6	6	4	3	12	22	2	2	8					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	"1. ""ЕДИНЕНИЕ"""	318	10	5	4	1	22	3	6	9	4	13	4	6	1	4	10	11	5	7	22	12	17	1	3	2	6	12	9	8	7	10	12	3	13	9	7	4	3	3	1	9	9	2	2	7					
		1.39%	1.40%	1.09%	1.55%	0.92%	1.75%	0.74%	1.71%	1.56%	1.78%	2.98%	2.64%	0.80%	0.43%	2.20%	1.18%	2.65%	3.44%	3.95%	1.40%	1.72%	1.37%	0.41%	1.86%	1.07%	2.16%	1.0%	1.06%	2.53%	0.76%	1.00%	1.13%	0.62%	1.93%	2.87%	1.30%	1.18%	1.00%	1.55%	0.69%	1.01%	0.96%	1.03%	2.04%	2.01%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	498	19	11	6	1	40	6	13	5	1	12	0	6	16	2	15	9	3	2	45	17	42	1	3	0	3	22	22	2	24	22	22	5	17	2	11	11	9	5	3	16	18	3	1	5					
		2.18%	2.67%	2.41%	2.32%	0.92%	3.19%	1.48%	3.71%	0.86%	0.44%	2.75%	0.0%	0.80%	6.98%	1.10%	1.77%	2.16%	2.06%	1.12%	2.87%	2.44%	3.38%	0.41%	1.86%	0.0%	1.08%	1.83%	2.59%	0.63%	2.60%	2.21%	2.07%	1.04%	2.52%	0.63%	2.05%	3.26%	3.01%	2.59%	2.09%	1.80%	1.92%	1.54%	1.02%	1.43%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	444	6	7	15	5	25	26	4	10	6	5	4	23	2	1	10	13	2	6	20	10	23	4	5	2	7	20	13	3	27	10	27	10	17	3	16	6	4	5	2	14	13	1	0	12					
		1.94%	0.84%	1.53%	5.81%	4.62%	1.99%	6.41%	1.14%	1.73%	2.67%	1.14%	2.64%	3.07%	0.87%	0.55%	1.18%	3.13%	1.37%	3.38%	1.27%	1.43%	1.85%	1.64%	3.10%	1.07%	2.52%	1.66%	1.53%	0.94%	2.93%	1.00%	2.54%	2.09%	2.52%	0.95%	2.98%	1.78%	1.33%	2.59%	1.39%	1.58%	1.39%	0.51%	0.0%	3.44%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	385	8	6	3	0	33	8	3	6	4	8	0	5	0	0	11	5	1	3	43	13	35	0	1	1	1	10	20	1	22	20	21	13	7	1	13	4	3	0	3	16	23	4	1	5					
		1.68%	1.12%	1.31%	1.16%	0.0%	2.63%	1.97%	0.85%	1.04%	1.78%	1.83%	0.0%	0.66%	0.0%	0.0%	1.30%	1.20%	0.68%	1.69%	2.74%	1.86%	2.82%	0.0%	0.62%	0.53%	0.36%	0.83%	2.36%	0.31%	2.38%	2.01%	1.98%	2.72%	1.04%	0.31%	2.42%	1.18%	1.00%	0.0%	2.09%	1.80%	2.46%	2.06%	1.02%	1.43%					
22	"5. ""За Русь Святую"""	93	1	0	3	2	7	3	0	4	2	1	1	4	2	0	2	0	0	2	9	5	5	1	0	2	1	6	0	4	6	5	2	2	8	1	0	0	0	0	0	0	2	0	0	0					
		0.40%	0.14%	0.0%	1.16%	1.85%	0.55%	0.74%	0.0%	0.69%	0.89%	0.22%	0.66%	0.53%	0.87%	0.0%	0.23%	0.0%	0.0%	1.12%	0.57%	0.71%	0.40%	0.41%	0.0%	1.07%	0.36%	0.5%	0.0%	1.26%	0.65%	0.50%	0.18%	0.41%	1.18%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	49	2	0	0	2	1	1	0	2	1	1	0	2	0	0	2	1	0	0	3	3	0	0	0	0	1	3	1	0	4	1	3	2	1	1	0	1	2	1	0	5	2	0	0	0					
		0.21%	0.28%	0.0%	0.0%	1.85%	0.07%	0.24%	0.0%	0.34%	0.44%	0.22%	0.0%	0.26%	0.0%	0.0%	0.23%	0.24%	0.0%	0.0%	0.19%	0.43%	0.0%	0.0%	0.0%	0.0%	0.36%	0.25%	0.11%	0.0%	0.43%	0.10%	0.28%	0.41%	0.14%	0.31%	0.0%	0.29%	0.66%	0.51%	0.0%	0.56%	0.21%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	87	5	1	0	0	3	2	1	3	1	1	0	2	1	1	0	0	0	0	8	4	5	1	2	1	1	4	4	3	6	2	5	2	3	1	4	0	1	2	0	4	2	0	0	1					
		0.38%	0.70%	0.21%	0.0%	0.0%	0.23%	0.49%	0.28%	0.52%	0.44%	0.22%	0.0%	0.26%	0.43%	0.55%	0.0%	0.0%	0.0%	0.0%	0.51%	0.57%	0.40%	0.41%	1.24%	0.53%	0.36%	0.33%	0.47%	0.94%	0.65%	0.20%	0.47%	0.41%	0.44%	0.31%	0.74%	0.0%	0.33%	1.03%	0.0%	0.45%	0.21%	0.0%	0.0%	0.28%					
25	"8. ""Народно-республиканская партия России"""	37	3	0	2	0	2	2	1	0	1	2	0	1	1	0	3	0	0	0	3	2	0	0	1	0	0	3	3	0	1	3	1	0	1	0	0	0	0	0	0	0	1	0	0	0					
		0.16%	0.42%	0.0%	0.77%	0.0%	0.15%	0.49%	0.28%	0.0%	0.44%	0.45%	0.0%	0.13%	0.43%	0.0%	0.35%	0.0%	0.0%	0.0%	0.19%	0.28%	0.0%	0.0%	0.62%	0.0%	0.0%	0.25%	0.35%	0.0%	0.10%	0.30%	0.09%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	58	0	2	1	2	4	6	0	1	0	1	0	4	0	0	0	0	0	1	2	1	3	0	1	0	2	4	0	0	6	1	0	2	0	0	0	5	2	0	0	4	1	0	0	2					
		0.25%	0.0%	0.43%	0.38%	1.85%	0.31%	1.48%	0.0%	0.17%	0.0%	0.22%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.12%	0.14%	0.24%	0.0%	0.62%	0.0%	0.72%	0.33%	0.0%	0.0%	0.65%	0.10%	0.0%	0.41%	0.0%	0.0%	0.0%	1.48%	0.66%	0.0%	0.0%	0.45%	0.10%	0.0%	0.0%	0.57%					
27	"10. ""Аграрная партия России"""	1222	10	15	9	3	37	72	15	51	3	6	6	17	6	27	57	47	10	6	46	26	60	8	10	36	40	100	44	52	15	37	31	21	98	18	21	4	8	7	6	64	57	6	1	9					
		5.35%	1.40%	3.29%	3.48%	2.77%	2.95%	17.77%	4.28%	8.85%	1.33%	1.37%	3.97%	2.26%	2.62%	14.91%	6.73%	11.32%	6.89%	3.38%	2.93%	3.73%	4.83%	3.29%	6.21%	19.35%	14.44%	8.33%	5.19%	16.45%	1.62%	3.72%	2.92%	4.40%	14.56%	5.75%	3.91%	1.18%	2.67%	3.62%	4.19%	7.23%	6.10%	3.09%	1.02%	2.58%					
28	"11. ""Истинные патриоты России"""	37	2	2	0	1	2	0	1	0	0	0	0	0	0	2	0	1	0	0	0	2	1	1	0	1	0	4	0	1	0	0	3	2	2	1	4	0	1	0	1	1	1	0	0	0					
