Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Пий-Хемская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119					
1	"Число избирателей, внесенных в списки"	6952	631	394	1253	742	565	264	183	582	286	496	608	290	396	262					
2	"Число бюллетеней, полученных участковыми комиссиями"	6794	611	388	1245	708	542	256	179	591	279	490	594	274	376	261					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3487	267	184	506	356	201	151	94	307	181	244	338	193	283	182					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	323	58	5	13	28	33	2	13	26	23	26	45	10	23	18					
6	Число погашенных бюллетеней	2984	286	199	726	324	308	103	72	258	75	220	211	71	70	61					
7	Число бюллетеней в переносных ящиках для голосования	323	58	5	13	28	33	2	13	26	23	26	45	10	23	18					
8	Число бюллетеней в стационарных ящиках для голосования	3485	267	184	506	355	201	151	94	307	181	244	337	193	283	182					
9	Число недействительных бюллетеней	117	9	4	8	4	8	12	1	14	10	15	13	2	17	0					
10	Число действительных бюллетеней	3691	316	185	511	379	226	141	106	319	194	255	369	201	289	200					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	18	11	41	21	16	8	5	17	8	13	17	8	10	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	18	2	1	3	0	3	0	0	3	1	0	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	0	0	1	10	0	1	0	3	0	1	3	1	2	0					
14	Число погашенных открепительных удостоверений	182	16	10	38	21	13	8	5	14	7	13	12	8	10	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	147	6	5	14	7	3	9	2	21	15	11	28	10	14	2					
		3.86%	1.84%	2.64%	2.69%	1.82%	1.28%	5.88%	1.86%	6.30%	7.35%	4.07%	7.32%	4.92%	4.57%	1.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	53	11	4	15	7	2	6	0	1	2	0	4	0	1	0					
		1.39%	3.38%	2.11%	2.89%	1.82%	0.85%	3.92%	0.0%	0.30%	0.98%	0.0%	1.04%	0.0%	0.32%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	68	3	1	9	10	8	0	5	7	3	6	11	2	2	1					
		1.78%	0.92%	0.52%	1.73%	2.61%	3.41%	0.0%	4.67%	2.10%	1.47%	2.22%	2.87%	0.98%	0.65%	0.5%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	40	4	2	15	6	5	1	1	1	2	1	2	0	0	0					
		1.05%	1.23%	1.05%	2.89%	1.56%	2.13%	0.65%	0.93%	0.30%	0.98%	0.37%	0.52%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	11	2	2	0	0	3	2	0	0	0	0	0	1	1	0					
		0.28%	0.61%	1.05%	0.0%	0.0%	1.28%	1.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.32%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	3	1	2	0	0	0	0	1	1	5	2	0	2	0					
		0.44%	0.92%	0.52%	0.38%	0.0%	0.0%	0.0%	0.0%	0.30%	0.49%	1.85%	0.52%	0.0%	0.65%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0					
		0.07%	0.30%	0.0%	0.19%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	5	0	0	0	0	2	0	0	0	0	2	1	0	0	0					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.74%	0.26%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.5%					
27	"10. ""Аграрная партия России"""	61	2	2	7	14	3	1	3	6	6	2	6	4	0	5					
		1.60%	0.61%	1.05%	1.34%	3.65%	1.28%	0.65%	2.80%	1.80%	2.94%	0.74%	1.57%	1.97%	0.0%	2.5%					
28	"11. ""Истинные патриоты России"""	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
