Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Туапсинская районная																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №5301	УИК №5302	УИК №5303	УИК №5304	УИК №5305	УИК №5306	УИК №5307	УИК №5308	УИК №5309	УИК №5310	УИК №5311	УИК №5312	УИК №5313	УИК №5314	УИК №5315	УИК №5316	УИК №5317	УИК №5318	УИК №5319	УИК №5320	УИК №5321	УИК №5322	УИК №5323	УИК №5324	УИК №5325	УИК №5326	УИК №5327	УИК №5328	УИК №5329	УИК №5330	УИК №5331	УИК №5332	УИК №5333	УИК №5334	УИК №5335	УИК №5336	УИК №5337	УИК №5338	УИК №5339	УИК №5340	УИК №5341	УИК №5342	УИК №5343	УИК №5344	УИК №5345	УИК №5346	УИК №5347	УИК №5348	УИК №5349	УИК №5350	УИК №5351	УИК №5352	УИК №5353	УИК №5354	УИК №5355	УИК №5356	УИК №5357					
1	"Число избирателей, внесенных в списки избирателей"	41458	501	1437	420	404	1470	1450	897	728	785	680	1115	2422	2157	1946	313	830	1138	486	1214	1533	1390	1532	1151	991	1057	137	495	388	318	84	147	474	440	1161	788	1044	175	138	712	517	91	649	262	356	161	57	939	126	102	177	340	586	522	590	372	433	630					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	41661	496	1360	425	440	1381	1446	899	632	841	733	1130	2245	2316	1918	332	834	1826	515	1008	1360	1244	1432	1161	964	1027	126	477	375	332	91	141	424	435	1157	782	1040	173	173	820	527	89	647	263	350	159	60	927	128	121	169	341	600	575	596	489	514	595					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28023	386	1242	262	267	724	885	539	471	583	452	1017	1447	1249	1026	183	512	1090	390	753	916	1003	1074	857	569	585	89	288	238	176	72	85	300	248	629	488	754	150	138	700	432	87	563	190	305	112	53	627	87	83	122	234	414	397	409	341	330	400					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1913	14	78	29	28	72	30	23	18	14	34	16	27	62	86	8	18	48	20	29	25	35	28	17	19	25	0	44	30	28	4	16	35	36	10	14	24	0	0	12	36	0	64	44	0	14	4	116	26	8	12	52	63	55	88	31	103	141					
6	Число погашенных избирательных бюллетеней	11725	96	40	134	145	585	531	337	143	244	247	97	771	1005	806	141	304	688	105	226	419	206	330	287	376	417	37	145	107	128	15	40	89	151	518	280	262	23	35	108	59	2	20	29	45	33	3	184	15	30	35	55	123	123	99	117	81	54					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1913	14	78	29	28	72	30	23	18	14	34	16	27	62	86	8	18	48	20	29	25	35	28	17	19	25	0	44	30	28	4	16	35	36	10	14	24	0	0	12	36	0	64	44	0	14	4	116	26	8	12	52	63	55	88	31	103	141					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27993	386	1242	262	267	724	885	539	471	583	452	1017	1442	1249	1026	183	512	1090	390	753	916	1003	1074	857	569	585	89	288	238	176	72	85	300	248	629	488	730	150	138	700	432	87	563	190	305	112	53	627	87	83	121	234	414	397	409	341	330	400					
9	Число недействительных избирательных бюллетеней	509	7	0	0	5	8	10	7	9	20	10	7	22	38	23	8	12	14	4	13	26	16	21	22	19	17	3	11	4	5	2	2	7	4	9	4	16	5	1	10	4	4	13	6	3	5	0	14	0	1	3	7	7	11	1	6	0	3					
10	Число действительных избирательных бюллетеней	29397	393	1320	291	290	788	905	555	480	577	476	1026	1447	1273	1089	183	518	1124	406	769	915	1022	1081	852	569	593	86	321	264	199	74	99	328	280	630	498	738	145	137	702	464	83	614	228	302	121	57	729	113	90	130	279	470	441	496	366	433	538					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	799	10	20	10	10	30	30	20	10	15	10	20	25	25	25	10	15	25	10	20	20	20	20	20	10	20	5	10	10	10	5	5	10	10	20	20	20	5	5	15	10	5	10	10	10	5	5	15	5	5	10	15	20	20	10	10	10	24					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	344	5	5	10	4	10	11	3	2	8	9	20	19	6	12	1	0	14	2	9	11	9	20	7	9	9	5	2	2	0	5	0	1	3	6	2	7	3	0	3	10	0	1	6	0	1	0	1	5	0	10	15	20	20	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	441	1	0	0	1	6	13	2	4	3	1	10	23	7	8	2	8	14	71	86	29	14	18	1	16	23	2	9	1	4	1	2	3	1	4	1	5	0	3	2	1	0	2	2	3	3	1	9	1	1	0	5	1	3	4	2	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	455	5	15	0	6	20	19	17	8	7	1	0	6	19	13	9	15	11	8	11	9	11	0	13	1	11	0	8	8	10	0	5	9	7	14	18	13	2	5	12	0	5	9	4	10	4	5	14	0	5	0	0	0	0	10	10	9	24					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	1.Политическая партия «Аграрная партия России»	391	4	27	4	5	5	14	13	13	6	11	20	11	20	18	5	3	13	6	12	8	16	2	1	14	14	6	8	6	7	1	2	4	2	13	6	6	9	0	4	4	0	6	1	1	4	2	7	1	0	1	2	9	7	0	3	4	0					
		1.31%	1.00%	2.05%	1.37%	1.69%	0.63%	1.53%	2.31%	2.66%	1.01%	2.26%	1.94%	0.75%	1.53%	1.62%	2.62%	0.57%	1.14%	1.46%	1.53%	0.85%	1.54%	0.18%	0.11%	2.38%	2.30%	6.74%	2.41%	2.24%	3.43%	1.32%	1.98%	1.19%	0.70%	2.03%	1.20%	0.80%	6.00%	0.00%	0.56%	0.85%	0.00%	0.96%	0.43%	0.33%	3.17%	3.51%	0.94%	0.88%	0.00%	0.75%	0.70%	1.89%	1.55%	0.00%	0.81%	0.92%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	200	0	4	3	5	13	19	3	4	1	1	9	8	9	12	1	9	11	0	7	5	1	2	5	1	5	1	5	3	0	0	2	3	3	8	4	4	0	3	3	4	0	2	0	2	0	0	6	0	0	0	0	2	2	0	2	3	0					
		0.67%	0.00%	0.30%	1.03%	1.69%	1.63%	2.08%	0.53%	0.82%	0.17%	0.21%	0.87%	0.54%	0.69%	1.08%	0.52%	1.70%	0.97%	0.00%	0.90%	0.53%	0.10%	0.18%	0.57%	0.17%	0.82%	1.12%	1.51%	1.12%	0.00%	0.00%	1.98%	0.90%	1.06%	1.25%	0.80%	0.53%	0.00%	2.17%	0.42%	0.85%	0.00%	0.32%	0.00%	0.66%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.42%	0.44%	0.00%	0.54%	0.69%	0.00%					
20	3.Политическая партия «Демократическая партия России»	50	0	0	1	3	0	1	1	0	0	1	2	7	4	1	0	2	1	0	1	2	1	4	2	2	2	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4	0					
