Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																
Дата голосования: 04.12.2011																																																																
																																																																
Наименование Избирательной комиссии:    Туапсинская районная																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №5301	УИК №5302	УИК №5303	УИК №5304	УИК №5305	УИК №5306	УИК №5307	УИК №5308	УИК №5309	УИК №5310	УИК №5311	УИК №5312	УИК №5313	УИК №5314	УИК №5315	УИК №5316	УИК №5317	УИК №5318	УИК №5319	УИК №5320	УИК №5321	УИК №5322	УИК №5323	УИК №5324	УИК №5325	УИК №5326	УИК №5327	УИК №5328	УИК №5329	УИК №5330	УИК №5331	УИК №5332	УИК №5333	УИК №5334	УИК №5335	УИК №5336	УИК №5337	УИК №5338	УИК №5339	УИК №5340	УИК №5341	УИК №5342	УИК №5343	УИК №5344	УИК №5345	УИК №5346	УИК №5347	УИК №5348	УИК №5349	УИК №5350	УИК №5351	УИК №5352	УИК №5353	УИК №5354	УИК №5355	УИК №5356	УИК №5357					
1	"Число избирателей, внесенных в список избирателей"	40777	507	1163	423	390	615	1503	709	798	828	651	1120	2157	2014	1654	272	924	2028	419	1112	1305	1350	1402	1141	942	937	170	459	396	358	95	160	488	462	1113	695	974	185	170	826	406	73	639	240	373	204	965	934	117	114	136	334	540	474	608	535	547	623					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38974	500	1000	400	400	600	1400	700	700	828	650	1100	2000	2000	1600	250	850	1950	380	1050	1200	1300	1300	1100	850	950	170	450	400	350	100	161	500	450	1000	700	1000	200	200	800	400	80	600	200	400	200	1000	900	120	120	130	300	500	485	500	500	500	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27657	380	840	215	308	460	1051	652	627	608	509	1049	1353	1145	1007	145	615	1160	259	809	876	911	1005	882	572	563	99	263	252	201	67	67	230	256	566	485	670	175	146	617	339	70	474	186	318	145	831	699	94	91	115	153	321	297	315	365	398	351					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3375	63	73	41	20	50	36	39	73	100	64	28	60	482	109	38	21	124	72	85	119	100	150	33	54	35	6	64	51	43	14	25	54	65	87	34	37	0	0	56	47	0	64	14	0	28	29	68	6	5	12	77	72	83	81	58	49	77					
6	Число погашенных избирательных бюллетеней	7942	57	87	144	72	90	313	9	0	120	77	23	587	373	484	67	214	666	49	156	205	289	145	185	224	352	65	123	97	106	19	69	216	129	347	181	293	25	54	127	14	10	62	0	82	27	140	133	20	24	3	70	107	105	104	77	53	72					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3375	63	73	41	20	50	36	39	73	100	64	28	60	482	109	38	21	124	72	85	119	100	150	33	54	35	6	64	51	43	14	25	54	65	87	34	37	0	0	56	47	0	64	14	0	28	29	68	6	5	12	77	72	83	81	58	49	77					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27657	380	840	215	308	460	1051	652	627	608	509	1049	1353	1145	1007	145	615	1160	259	809	876	911	1005	882	572	563	99	263	252	201	67	67	230	256	566	485	670	175	146	617	339	70	474	186	318	145	831	699	94	91	115	153	321	297	315	365	398	351					
9	Число недействительных избирательных бюллетеней	702	7	0	0	8	6	22	4	4	7	0	21	28	10	43	7	20	0	3	0	0	10	19	20	18	58	18	71	4	3	1	21	131	51	9	9	0	0	0	9	14	0	9	4	2	1	7	6	0	0	2	0	2	7	0	0	0	6					
10	Число действительных избирательных бюллетеней	30330	436	913	256	320	504	1065	687	696	701	573	1056	1385	1617	1073	176	616	1284	328	894	995	1001	1136	895	608	540	87	256	299	241	80	71	153	270	644	510	707	175	146	664	372	70	529	196	316	172	853	761	100	96	125	230	391	373	396	423	447	422					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	913	14	20	10	10	10	20	10	15	24	23	35	25	25	20	10	20	20	10	35	35	35	30	30	20	20	5	15	15	10	2	5	10	10	25	20	20	10	10	20	10	3	15	5	10	5	20	20	5	5	5	15	17	17	15	10	18	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	913	14	20	10	10	10	20	10	15	24	23	35	25	25	20	10	20	20	10	35	35	35	30	30	20	20	5	15	15	10	2	5	10	10	25	20	20	10	10	20	10	3	15	5	10	5	20	20	5	5	5	15	17	17	15	10	18	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	469	7	5	4	2	8	11	3	27	6	1	14	19	11	10	4	9	104	32	12	12	27	8	3	3	7	3	9	2	4	3	1	0	0	3	6	7	0	2	1	0	0	2	2	0	2	7	11	1	3	3	5	3	10	9	5	2	14					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	87	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	3	1	17	14	0	2	0	2	0	1	1	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	16	18	0	1	0	0					
