Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Искитимская городская  																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423					
1	"Число избирателей, внесенных в список избирателей"	48939	1418	899	1708	1752	2232	1399	811	2119	1956	1923	561	1563	1019	1092	1921	1754	2056	2037	804	1364	1795	1780	1780	1739	2321	2081	1590	1788	1715	1399	563					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44000	1250	800	1550	1600	2000	1250	700	1900	1800	1750	500	1400	900	950	1750	1550	1850	1850	700	1250	1600	1600	1600	1550	2100	1900	1450	1600	1550	1250	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22630	569	331	887	809	813	488	293	847	878	1011	309	768	511	349	927	904	1113	806	377	555	968	887	865	933	1290	956	815	869	793	445	264					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1417	50	44	55	33	95	31	28	51	33	94	20	54	24	38	58	42	72	77	38	33	23	61	50	28	29	50	46	42	42	46	30					
6	Число погашенных избирательных бюллетеней	19953	631	425	608	758	1092	731	379	1002	889	645	171	578	365	563	765	604	665	967	285	662	609	652	685	589	781	894	589	689	715	759	206					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1417	50	44	55	33	95	31	28	51	33	94	20	54	24	38	58	42	72	77	38	33	23	61	50	28	29	50	46	42	42	46	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22625	569	331	887	809	813	488	293	847	877	1011	309	768	511	349	927	904	1111	806	376	555	968	887	864	933	1290	956	815	869	793	445	264					
9	Число недействительных избирательных бюллетеней	430	8	4	16	11	18	11	7	22	15	18	8	16	33	8	12	13	22	14	7	15	14	15	16	18	14	19	15	13	13	12	3					
10	Число действительных избирательных бюллетеней	23612	611	371	926	831	890	508	314	876	895	1087	321	806	502	379	973	933	1161	869	407	573	977	933	898	943	1305	987	846	898	822	479	291					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	683	23	10	20	24	30	15	10	23	33	28	10	26	27	15	25	20	30	25	10	15	25	25	25	30	28	33	20	30	23	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	588	20	9	18	22	30	10	8	23	31	24	8	23	23	2	24	17	23	23	8	11	25	25	23	27	26	30	15	27	21	9	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	514	10	22	5	18	16	22	46	38	13	18	9	23	17	3	19	19	20	27	13	12	9	15	19	20	25	10	8	13	9	11	5					
14	Число погашенных неиспользованных открепительных удостоверений	95	3	1	2	2	0	5	2	0	2	4	2	3	4	13	1	3	7	2	2	4	0	0	2	3	2	3	5	3	2	6	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	202	6	3	6	9	5	2	2	13	9	14	4	7	5	6	14	8	9	9	0	4	8	4	5	2	11	9	7	8	7	3	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3104	88	40	101	74	100	61	55	122	101	158	53	110	75	35	126	145	154	107	51	52	116	133	135	121	188	132	126	126	120	56	43					
		12.91%	14.22%	10.67%	10.72%	8.79%	11.01%	11.75%	17.13%	13.59%	11.10%	14.30%	16.11%	13.38%	14.02%	9.04%	12.79%	15.33%	13.02%	12.12%	12.32%	8.84%	11.71%	14.03%	14.77%	12.59%	14.25%	13.12%	14.63%	13.83%	14.37%	11.41%	14.63%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3725	120	93	123	143	149	80	46	154	137	137	52	136	98	78	141	149	158	115	77	80	173	119	149	155	201	158	131	131	110	90	42					
		15.49%	19.39%	24.80%	13.06%	16.98%	16.41%	15.41%	14.33%	17.15%	15.05%	12.40%	15.81%	16.55%	18.32%	20.16%	14.31%	15.75%	13.36%	13.02%	18.60%	13.61%	17.46%	12.55%	16.30%	16.13%	15.24%	15.71%	15.21%	14.38%	13.17%	18.33%	14.29%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	236	8	6	12	12	15	4	5	5	8	9	5	6	4	4	13	11	9	11	1	4	5	11	10	7	9	5	15	6	9	6	1					
		0.98%	1.29%	1.60%	1.27%	1.43%	1.65%	0.77%	1.56%	0.56%	0.88%	0.81%	1.52%	0.73%	0.75%	1.03%	1.32%	1.16%	0.76%	1.25%	0.24%	0.68%	0.50%	1.16%	1.09%	0.73%	0.68%	0.50%	1.74%	0.66%	1.08%	1.22%	0.34%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	8333	154	87	372	317	308	163	81	264	341	414	114	275	141	117	393	346	483	290	135	219	341	358	293	332	479	311	318	324	316	149	98					
		34.66%	24.88%	23.20%	39.49%	37.65%	33.92%	31.41%	25.23%	29.40%	37.47%	37.47%	34.65%	33.45%	26.36%	30.23%	39.90%	36.58%	40.83%	32.84%	32.61%	37.24%	34.41%	37.76%	32.06%	34.55%	36.32%	30.91%	36.93%	35.57%	37.84%	30.35%	33.33%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	739	9	5	36	21	15	8	4	27	27	39	11	22	11	7	45	42	36	23	10	7	37	41	34	33	52	43	31	20	26	7	10					
		3.07%	1.45%	1.33%	3.82%	2.49%	1.65%	1.54%	1.25%	3.01%	2.97%	3.53%	3.34%	2.68%	2.06%	1.81%	4.57%	4.44%	3.04%	2.60%	2.42%	1.19%	3.73%	4.32%	3.72%	3.43%	3.94%	4.27%	3.60%	2.20%	3.11%	1.43%	3.40%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7348	230	137	279	260	302	190	121	300	275	321	84	254	164	135	254	229	318	318	128	208	302	264	274	290	368	333	219	289	238	168	96					
		30.56%	37.16%	36.53%	29.62%	30.88%	33.26%	36.61%	37.69%	33.41%	30.22%	29.05%	25.53%	30.90%	30.65%	34.88%	25.79%	24.21%	26.88%	36.01%	30.92%	35.37%	30.47%	27.85%	29.98%	30.18%	27.90%	33.10%	25.44%	31.72%	28.50%	34.22%	32.65%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	127	2	3	3	4	1	2	2	4	6	9	2	3	9	3	1	11	3	5	5	3	3	7	3	5	8	5	6	2	3	3	1					
		0.53%	0.32%	0.80%	0.32%	0.48%	0.11%	0.39%	0.62%	0.45%	0.66%	0.81%	0.61%	0.36%	1.68%	0.78%	0.10%	1.16%	0.25%	0.57%	1.21%	0.51%	0.30%	0.74%	0.33%	0.52%	0.61%	0.50%	0.70%	0.22%	0.36%	0.61%	0.34%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
