Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Калининская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28247	1054	1010	1036	917	949	1000	1006	986	1044	1016	892	957	908	964	903	524	456	393	136	218	345	425	266	493	703	306	466	383	263	545	275	254	866	575	450	320	1309	458	604	529	725	756	441	121									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27396	1000	1000	1000	935	900	1020	1000	900	1000	1000	900	900	920	900	916	500	450	350	130	200	350	400	250	500	700	300	450	350	250	500	250	250	800	500	450	300	1300	450	600	500	700	750	450	125									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19194	667	737	725	636	696	694	571	643	549	633	481	567	556	618	565	340	285	296	103	152	258	315	185	325	601	229	349	297	211	420	185	191	641	430	353	226	918	316	432	368	562	526	281	61									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1162	19	11	27	34	30	32	13	25	68	25	22	26	13	15	15	42	40	20	6	25	10	39	32	28	13	13	29	10	4	16	24	2	11	13	8	18	66	28	39	47	9	63	72	60									
6	Число погашенных избирательных бюллетеней	7040	314	252	248	265	174	294	416	232	383	342	397	307	351	267	336	118	125	34	21	23	82	46	33	147	86	58	72	43	35	64	41	57	148	57	89	56	316	106	129	85	129	161	97	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1162	19	11	27	34	30	32	13	25	68	25	22	26	13	15	15	42	40	20	6	25	10	39	32	28	13	13	29	10	4	16	24	2	11	13	8	18	66	28	39	47	9	63	72	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19194	667	737	725	636	696	694	571	643	549	633	481	567	556	618	565	340	285	296	103	152	258	315	185	325	601	229	349	297	211	420	185	191	641	430	353	226	918	316	432	368	562	526	281	61									
9	Число недействительных избирательных бюллетеней	122	1	0	0	12	6	9	15	0	0	13	2	0	6	0	6	0	2	0	1	0	10	1	0	2	1	0	0	0	0	1	0	4	7	0	0	4	9	4	3	2	0	0	0	1									
10	Число действительных избирательных бюллетеней	20234	685	748	752	658	720	717	569	668	617	645	501	593	563	633	574	382	323	316	108	177	258	353	217	351	613	242	378	307	215	435	209	189	645	443	361	240	975	340	468	413	571	589	353	120									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	274	6	12	9	11	8	11	9	7	11	6	5	8	10	10	11	3	3	5	3	10	2	8	2	3	4	2	6	4	2	8	2	3	4	3	5	2	17	9	6	3	6	10	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	207	4	10	8	11	6	8	8	7	6	4	5	6	9	9	11	1	2	3	1	10	1	8	0	1	3	1	4	1	0	7	0	2	3	3	3	0	13	7	6	1	4	7	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	1	1	1	1	0	2	1	1	0	0	0	2	0	2	3	1	1	1	2	0	0	0	1	1	1	0	1	1	0	2	0	1	5	3	2	1	2	3	0	5	0	3	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	67	2	2	1	0	2	3	1	0	5	2	0	2	1	1	0	2	1	2	2	0	1	0	2	2	1	1	2	3	2	1	2	1	1	0	2	2	4	2	0	2	2	3	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	135	1	0	4	2	3	0	3	3	3	2	8	1	5	10	1	3	0	2	1	0	3	9	0	0	0	2	2	8	0	3	2	2	12	0	0	0	1	0	23	6	8	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	104	1	2	14	8	3	3	6	4	6	1	1	4	11	0	2	0	0	2	0	0	2	0	1	1	0	2	0	0	0	0	0	0	2	6	7	1	6	2	5	0	0	0	0	1									
		0.51%	0.15%	0.27%	1.86%	1.19%	0.41%	0.41%	1.03%	0.60%	0.97%	0.15%	0.20%	0.67%	1.93%	0.00%	0.34%	0.00%	0.00%	0.63%	0.00%	0.00%	0.75%	0.00%	0.46%	0.28%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	1.35%	1.94%	0.41%	0.61%	0.58%	1.06%	0.00%	0.00%	0.00%	0.00%	0.83%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	298	7	0	0	12	3	18	6	12	19	6	2	24	12	22	8	6	7	1	1	3	9	7	3	4	8	6	3	1	1	9	6	1	7	7	9	5	28	9	5	0	0	0	0	1									
		1.46%	1.02%	0.00%	0.00%	1.79%	0.41%	2.48%	1.03%	1.80%	3.08%	0.91%	0.40%	4.05%	2.11%	3.48%	1.38%	1.57%	2.15%	0.32%	0.92%	1.69%	3.36%	1.98%	1.38%	1.13%	1.30%	2.48%	0.79%	0.33%	0.47%	2.06%	2.87%	0.52%	1.07%	1.58%	2.49%	2.05%	2.85%	2.62%	1.06%	0.00%	0.00%	0.00%	0.00%	0.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	151	4	5	9	9	3	8	1	6	6	2	2	2	10	16	4	6	7	2	0	0	0	4	2	4	6	2	0	0	0	7	0	2	0	7	2	3	4	1	5	0	0	0	0	0									
		0.74%	0.58%	0.67%	1.20%	1.34%	0.41%	1.10%	0.17%	0.90%	0.97%	0.30%	0.40%	0.34%	1.76%	2.53%	0.69%	1.57%	2.15%	0.63%	0.00%	0.00%	0.00%	1.13%	0.92%	1.13%	0.98%	0.83%	0.00%	0.00%	0.00%	1.61%	0.00%	1.04%	0.00%	1.58%	0.55%	1.23%	0.41%	0.29%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14040	501	575	579	343	505	380	409	448	438	432	325	385	324	412	365	282	231	216	93	123	172	293	187	284	427	158	309	245	176	297	149	131	424	294	239	161	669	232	311	291	376	464	275	110									
		68.97%	73.03%	76.87%	76.99%	51.19%	69.56%	52.34%	70.03%	67.07%	70.99%	65.65%	64.61%	64.92%	56.94%	65.09%	62.93%	73.82%	71.08%	68.35%	85.32%	69.49%	64.18%	82.77%	86.18%	80.45%	69.54%	65.29%	81.75%	79.80%	81.86%	68.12%	71.29%	67.88%	65.03%	66.37%	66.20%	65.98%	67.99%	67.44%	66.03%	70.12%	65.85%	78.78%	77.90%	90.91%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	73	1	0	3	7	1	9	3	2	3	1	3	5	8	0	2	2	1	2	0	0	0	3	1	2	0	0	0	0	0	0	0	0	3	3	1	0	1	1	5	0	0	0	0	0									
		0.36%	0.15%	0.00%	0.40%	1.04%	0.14%	1.24%	0.51%	0.30%	0.49%	0.15%	0.60%	0.84%	1.41%	0.00%	0.34%	0.52%	0.31%	0.63%	0.00%	0.00%	0.00%	0.85%	0.46%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.68%	0.28%	0.00%	0.10%	0.29%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	1	0	0	1	0	2	0	0	1	2	4	0	0	0	1	0	0	1	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	5	1	0	0	0	2	0	0	0	0	0									
		0.13%	0.15%	0.00%	0.00%	0.15%	0.00%	0.28%	0.00%	0.00%	0.16%	0.30%	0.80%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.46%	0.28%	0.33%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.13%	0.28%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2122	70	71	52	117	72	111	46	68	58	76	53	59	74	63	96	32	46	35	7	18	26	34	14	24	60	26	23	18	11	44	23	19	65	61	62	25	100	46	47	47	29	52	39	3									
		10.42%	10.20%	9.49%	6.91%	17.46%	9.92%	15.29%	7.88%	10.18%	9.40%	11.55%	10.54%	9.95%	13.01%	9.95%	16.55%	8.38%	14.15%	11.08%	6.42%	10.17%	9.70%	9.60%	6.45%	6.80%	9.77%	10.74%	6.08%	5.86%	5.12%	10.09%	11.00%	9.84%	9.97%	13.77%	17.17%	10.25%	10.16%	13.37%	9.98%	11.33%	5.08%	8.83%	11.05%	2.48%									
