Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Хабезская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19080	1341	1620	1400	2069	2206	2019	1778	1001	503	289	240	1325	436	2023	830									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19070	1340	1600	1400	2060	2220	2010	1780	1000	500	290	240	1330	430	2030	840									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18363	1289	1573	1362	2002	2178	1936	1724	972	452	243	210	1254	399	1973	796									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	231	20	15	9	30	0	52	20	0	24	8	2	30	3	18	0									
6	Число погашенных избирательных бюллетеней	476	31	12	29	28	42	22	36	28	24	39	28	46	28	39	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	231	20	15	9	30	0	52	20	0	24	8	2	30	3	18	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18363	1289	1573	1362	2002	2178	1936	1724	972	452	243	210	1254	399	1973	796									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	18594	1309	1588	1371	2032	2178	1988	1744	972	476	251	212	1284	402	1991	796									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	44	3	3	3	4	4	4	3	3	2	2	2	3	2	4	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	5	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	39	1	3	2	4	3	3	3	3	2	2	2	3	2	4	2									
