Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Большесолдатская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9751	1569	664	201	538	259	84	74	572	275	168	1356	274	116	445	161	438	539	254	439	359	235	247	404	80									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7857	1264	536	160	432	208	65	60	464	224	136	1080	240	92	368	128	344	432	200	360	280	192	200	328	64									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4387	799	344	109	220	156	48	42	209	110	80	344	145	56	182	79	180	201	100	234	192	129	164	208	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1510	54	41	37	130	39	10	9	146	45	21	292	51	25	47	49	137	91	65	55	42	45	28	45	6									
6	Число погашенных избирательных бюллетеней	1960	411	151	14	82	13	7	9	109	69	35	444	44	11	139	0	27	140	35	71	46	18	8	75	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1510	54	41	37	130	39	10	9	146	45	21	292	51	25	47	49	137	91	65	55	42	45	28	45	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4387	799	344	109	220	156	48	42	209	110	80	344	145	56	182	79	180	201	100	234	192	129	164	208	56									
9	Число недействительных избирательных бюллетеней	102	23	7	6	6	2	2	0	5	0	10	11	0	0	2	0	1	2	2	3	7	5	6	2	0									
10	Число действительных избирательных бюллетеней	5795	830	378	140	344	193	56	51	350	155	91	625	196	81	227	128	316	290	163	286	227	169	186	251	62									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	182	30	10	5	10	5	5	5	5	5	5	20	5	5	15	5	7	5	5	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	68	21	10	0	1	2	0	0	2	0	1	5	5	0	6	0	7	2	1	0	1	0	0	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	5	2	0	1	1	1	0	3	0	1	3	0	1	0	0	1	1	1	0	7	0	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	114	9	0	5	9	3	5	5	3	5	4	15	0	5	9	5	0	3	4	5	4	5	5	1	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	6	6	0	1	0	0	1	0	0	0	3	0	0	3	0	2	3	2	3	0	0	0	0	0									
