Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																											
Дата голосования: 18.09.2016																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																											
																																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																											
																																																																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	133195	1642	1627	1994	1754	1747	1914	1201	1847	2130	2469	1954	1549	789	1558	939	1240	2019	2283	2139	1787	906	1010	2036	1504	1118	2229	2224	734	602	1926	2266	2146	2367	2162	1653	2297	2472	2377	2447	2638	2641	2865	2062	1484	2080	2014	1856	2199	2388	1981	2018	1880	1802	985	1461	2024	1618	2129	3025	2307	1644	2047	1966	2207	1849	2314	2545	1565	1766	1072	566	434	117	140	72	41	80	56	50	149									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	112375	1400	1400	1400	1400	1400	1400	1000	1400	1480	2000	2000	1500	600	1500	800	1000	1500	2000	2000	1500	700	1000	2000	1000	1000	2000	2000	600	500	1500	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	2000	2000	2000	1100	2000	2000	1500	2000	2000	1500	2000	1500	1500	800	1200	1500	1500	1500	2500	2030	1500	2000	1500	2015	1500	2000	2400	1200	1300	700	500	400	90	150	100	50	80	70	60	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	74	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43948	733	533	488	463	520	603	298	587	752	860	645	423	156	410	208	523	1006	716	619	505	243	326	610	562	326	654	658	254	229	676	759	739	719	690	547	745	747	769	771	982	963	1197	668	433	709	524	481	598	691	617	694	520	528	277	491	1061	544	665	1301	1152	490	605	644	615	578	753	736	469	531	352	164	191	87	140	72	41	80	56	50	126									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	933	9	10	139	25	9	26	84	13	11	14	15	7	4	11	34	4	18	8	7	3	5	5	8	3	4	19	8	7	1	18	5	5	8	10	4	8	6	4	7	11	8	8	5	5	6	14	14	21	9	7	6	11	11	5	7	9	3	3	7	12	14	17	17	9	15	3	7	15	5	63	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	67420	658	857	773	912	871	771	618	800	673	1126	1340	1070	440	1079	558	473	476	1276	1374	992	452	669	1382	435	670	1327	1334	339	270	806	1236	1256	1273	1300	949	1247	1247	1227	1222	1007	1029	795	1327	662	1285	1462	1005	1381	1300	876	1300	969	961	518	702	430	953	832	1192	841	996	1378	839	1386	907	1244	1657	716	764	285	336	209	3	10	28	9	0	14	10	24									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1006	9	10	138	25	9	26	84	13	55	14	15	7	4	11	34	4	18	8	7	3	5	5	8	3	4	19	8	7	1	18	5	5	8	10	4	8	6	4	7	11	8	8	5	5	6	14	14	21	9	7	6	11	11	5	7	9	3	3	7	37	14	17	17	14	15	3	7	15	5	63	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	43855	731	530	488	462	520	603	298	587	752	860	645	422	156	410	208	522	1006	716	619	505	242	326	609	561	326	652	658	254	229	676	757	739	719	690	547	743	747	768	770	954	963	1193	668	433	709	524	481	597	690	616	688	520	528	277	490	1059	542	665	1300	1129	489	605	643	615	578	752	736	469	531	351	164	191	87	140	72	41	80	56	50	126									
9	Число недействительных избирательных бюллетеней	1374	38	12	39	18	22	17	18	21	30	23	16	11	3	14	14	26	22	19	12	19	13	7	13	22	15	19	23	6	12	28	26	17	26	20	21	18	21	23	17	19	21	25	24	11	24	7	17	26	36	22	24	24	7	4	16	45	17	18	32	26	9	18	21	13	12	23	18	16	16	7	10	3	1	4	1	0	1	0	0	15									
10	Число действительных избирательных бюллетеней	43487	702	528	587	469	507	612	364	579	777	851	644	418	157	407	228	500	1002	705	614	489	234	324	604	542	315	652	643	255	218	666	736	727	701	680	530	733	732	749	760	946	950	1176	649	427	691	531	478	592	663	601	670	507	532	278	481	1023	528	650	1275	1140	494	604	639	616	581	732	725	468	520	407	154	188	86	136	71	41	79	56	50	111									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1155	30	15	15	10	10	10	15	10	30	15	20	10	10	20	10	20	10	20	15	10	10	10	10	20	10	20	15	15	10	15	15	15	15	15	10	15	15	15	15	20	15	20	15	10	15	20	10	20	20	10	20	10	10	10	10	55	15	15	30	80	10	10	10	30	10	20	15	10	10	10	10	10	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	406	12	4	5	4	3	4	2	6	16	5	3	3	2	0	2	9	2	7	3	2	3	1	10	3	8	6	5	1	1	6	3	8	5	4	2	6	2	7	8	6	7	5	6	5	7	4	1	7	3	2	6	7	2	0	0	48	4	4	10	37	3	10	6	6	4	9	4	0	1	3	1	5	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	365	5	4	2	2	0	6	6	5	8	0	2	2	0	0	4	4	13	1	2	5	0	10	3	0	12	2	9	2	2	4	7	5	3	10	0	2	6	3	5	7	7	3	4	11	4	10	0	11	4	6	9	6	1	6	49	2	1	9	13	5	2	5	4	2	4	6	4	0	3	3	1	2	1	4	0	0	0	0	0	0									
