Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Новичихинская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8137	1023	2541	582	296	91	53	92	315	93	326	671	627	792	91	447	97									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6620	800	2120	470	250	70	50	70	250	90	250	550	500	650	70	350	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3780	387	1111	255	159	58	37	47	185	67	162	364	247	369	70	214	48									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	316	57	57	33	10	1	2	0	19	4	5	13	24	60	0	23	8									
6	Число погашенных избирательных бюллетеней	2524	356	952	182	81	11	11	23	46	19	83	173	229	221	0	113	24									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	316	57	57	33	10	1	2	0	19	4	5	13	24	60	0	23	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3780	387	1111	255	159	58	37	47	185	67	162	364	247	369	70	214	48									
9	Число недействительных избирательных бюллетеней	83	8	33	5	2	0	3	0	0	3	5	1	9	4	1	9	0									
10	Число действительных избирательных бюллетеней	4013	436	1135	283	167	59	36	47	204	68	162	376	262	425	69	228	56									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	10	28	5	5	2	2	2	5	2	5	5	5	5	2	5	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	49	9	25	0	3	0	0	0	0	1	1	3	5	0	0	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	3	5	2	1	4	1	3	3	1	2	4	4	2	2	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	41	1	3	5	2	2	2	2	5	1	4	2	0	5	2	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	23	2	10	1	0	0	0	1	1	0	1	0	2	2	1	1	1									
		0.56%	0.45%	0.86%	0.35%	0.00%	0.00%	0.00%	2.13%	0.49%	0.00%	0.60%	0.00%	0.74%	0.47%	1.43%	0.42%	1.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	176	23	49	11	8	2	1	0	8	2	7	19	16	17	3	5	5									
		4.30%	5.18%	4.20%	3.82%	4.73%	3.39%	2.56%	0.00%	3.92%	2.82%	4.19%	5.04%	5.90%	3.96%	4.29%	2.11%	8.93%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	70	8	22	5	5	0	0	1	3	0	4	6	6	4	1	4	1									
		1.71%	1.80%	1.88%	1.74%	2.96%	0.00%	0.00%	2.13%	1.47%	0.00%	2.40%	1.59%	2.21%	0.93%	1.43%	1.69%	1.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1764	169	483	147	68	33	19	16	92	42	54	215	82	153	41	123	27									
		43.07%	38.06%	41.35%	51.04%	40.24%	55.93%	48.72%	34.04%	45.10%	59.15%	32.34%	57.03%	30.26%	35.66%	58.57%	51.90%	48.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	4	4	0	0	0	1	0	1	0	0	1	0	3	0	0	0									
		0.34%	0.90%	0.34%	0.00%	0.00%	0.00%	2.56%	0.00%	0.49%	0.00%	0.00%	0.27%	0.00%	0.70%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
		0.05%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	2.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	580	98	134	26	18	11	7	11	41	9	28	40	25	90	9	27	6									
		14.16%	22.07%	11.47%	9.03%	10.65%	18.64%	17.95%	23.40%	20.10%	12.68%	16.77%	10.61%	9.23%	20.98%	12.86%	11.39%	10.71%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	2	5	0	0	0	0	0	1	0	0	0	0	1	0	0	0									
		0.22%	0.45%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	27	2	13	1	1	0	0	0	0	0	1	2	6	1	0	0	0									
		0.66%	0.45%	1.11%	0.35%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.53%	2.21%	0.23%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
