Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Азовская городская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №1636	УИК №1637	УИК №1638	УИК №1714	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2440	УИК №2441	УИК №2444	УИК №2524	УИК №2525	УИК №2526					
1	"Число избирателей, внесенных в список избирателей"	63294	2466	661	1746	1442	1834	1067	2629	2831	1167	1834	173	1560	1542	1747	1344	1458	1738	1093	1657	1116	1459	1552	1309	1472	1014	2621	2570	1686	1667	1265	1903	1568	163	1314	1119	1532	1506	1397	1556	1535	948	1033					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60440	2345	625	1690	1390	1750	1020	2575	2705	1125	1760	150	1465	1495	1680	1270	1370	1665	1050	1595	1090	1380	1515	1120	1450	975	2505	2480	1650	1570	1255	1875	1390	140	1225	1085	1435	1460	1360	1415	1450	900	990					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	33697	1136	295	883	831	860	475	1437	1590	613	825	96	801	937	955	632	772	880	518	998	658	811	883	683	820	545	1371	1459	796	815	739	995	806	131	672	628	811	768	776	793	939	652	612					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1367	50	14	21	18	37	10	18	33	24	29	8	65	30	27	17	39	35	17	22	9	20	44	112	34	26	53	50	51	50	12	42	18	1	39	31	44	17	38	70	64	14	14					
6	Число погашенных избирательных бюллетеней	25376	1159	316	786	541	853	535	1120	1082	488	906	46	599	528	698	621	559	750	515	575	423	549	588	325	596	404	1081	971	803	705	504	838	566	8	514	426	580	675	546	552	447	234	364					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1365	50	14	21	18	37	10	18	33	24	29	8	65	30	27	17	39	33	17	22	9	20	44	112	34	26	53	50	51	50	12	42	18	1	39	31	44	17	38	70	64	14	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33689	1135	295	883	831	860	475	1436	1590	613	825	96	801	936	955	632	772	880	518	998	658	811	883	683	819	545	1371	1459	795	814	739	995	806	131	672	628	811	768	776	793	939	650	612					
9	Число недействительных избирательных бюллетеней	541	16	2	23	18	8	9	27	29	7	19	2	13	9	27	10	12	13	7	15	5	38	16	14	14	9	18	15	11	12	12	11	9	2	7	9	10	7	14	12	16	9	5					
10	Число действительных избирательных бюллетеней	34513	1169	307	881	831	889	476	1427	1594	630	835	102	853	957	955	639	799	900	528	1005	662	793	911	781	839	562	1406	1494	835	852	739	1026	815	130	704	650	845	778	800	851	987	655	621					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1767	40	10	40	33	20	20	80	63	25	35	3	41	45	51	31	35	45	29	40	37	55	55	22	61	27	71	70	45	50	77	89	40	5	31	37	64	40	60	40	45	35	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1715	40	10	40	33	20	20	80	63	25	34	3	41	45	50	31	35	45	28	40	35	50	54	19	58	27	71	69	45	50	77	89	38	4	31	37	64	40	60	10	44	35	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1053	45	16	14	12	21	5	31	44	9	11	10	44	19	32	17	55	24	15	24	11	23	14	34	19	24	69	18	13	66	19	15	63	28	23	15	10	11	13	56	26	16	19					
14	Число погашенных неиспользованных открепительных удостоверений	22	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	5	1	3	3	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	0	1	0	0	1	1	0	1	0	0	2	0	0	1	1	1	1	0	0	0					
16	Число утраченных открепительных удостоверений	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7168	253	54	179	188	206	84	266	341	137	193	16	102	218	219	135	166	177	125	194	156	159	178	175	180	122	271	319	176	162	180	214	144	11	133	130	187	187	186	136	228	135	146					
		20.45%	21.35%	17.48%	19.80%	22.14%	22.97%	17.32%	18.29%	21.01%	21.51%	22.60%	15.38%	11.78%	22.57%	22.30%	20.80%	20.47%	19.39%	23.36%	19.02%	23.39%	19.13%	19.20%	22.01%	21.10%	21.37%	19.03%	21.14%	20.80%	18.75%	23.97%	20.64%	17.48%	8.33%	18.71%	19.73%	21.87%	23.82%	22.85%	15.76%	22.73%	20.33%	23.32%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3834	154	57	101	90	94	46	157	153	98	107	16	54	77	113	82	87	99	63	102	90	85	95	77	84	59	154	180	98	99	69	146	106	13	76	65	96	98	97	82	87	62	66					
		10.94%	12.99%	18.45%	11.17%	10.60%	10.48%	9.48%	10.80%	9.43%	15.38%	12.53%	15.38%	6.24%	7.97%	11.51%	12.63%	10.73%	10.84%	11.78%	10.00%	13.49%	10.23%	10.25%	9.69%	9.85%	10.33%	10.81%	11.93%	11.58%	11.46%	9.19%	14.08%	12.86%	9.85%	10.69%	9.86%	11.23%	12.48%	11.92%	9.50%	8.67%	9.34%	10.54%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	357	13	3	7	7	10	3	21	15	3	8	0	9	8	11	10	11	12	3	5	2	10	9	13	11	1	13	11	13	12	3	17	9	1	10	6	6	11	7	10	9	3	11					
		1.02%	1.10%	0.97%	0.77%	0.82%	1.11%	0.62%	1.44%	0.92%	0.47%	0.94%	0.00%	1.04%	0.83%	1.12%	1.54%	1.36%	1.31%	0.56%	0.49%	0.30%	1.20%	0.97%	1.64%	1.29%	0.18%	0.91%	0.73%	1.54%	1.39%	0.40%	1.64%	1.09%	0.76%	1.41%	0.91%	0.70%	1.40%	0.86%	1.16%	0.90%	0.45%	1.76%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9109	303	65	217	240	237	136	442	461	111	188	15	107	298	268	161	186	265	123	300	143	247	259	186	259	153	422	451	231	197	192	267	213	16	183	185	199	193	174	221	257	191	147					
		25.99%	25.57%	21.04%	24.00%	28.27%	26.42%	28.04%	30.40%	28.40%	17.43%	22.01%	14.42%	12.36%	30.85%	27.29%	24.81%	22.93%	29.03%	22.99%	29.41%	21.44%	29.72%	27.94%	23.40%	30.36%	26.80%	29.63%	29.89%	27.30%	22.80%	25.57%	25.75%	25.85%	12.12%	25.74%	28.07%	23.27%	24.59%	21.38%	25.61%	25.62%	28.77%	23.48%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1430	47	5	37	30	40	29	48	63	3	31	0	24	42	35	27	43	22	23	41	33	34	41	48	35	11	73	54	29	19	25	34	24	2	51	40	38	27	30	60	61	40	31					
		4.08%	3.97%	1.62%	4.09%	3.53%	4.46%	5.98%	3.30%	3.88%	0.47%	3.63%	0.00%	2.77%	4.35%	3.56%	4.16%	5.30%	2.41%	4.30%	4.02%	4.95%	4.09%	4.42%	6.04%	4.10%	1.93%	5.13%	3.58%	3.43%	2.20%	3.33%	3.28%	2.91%	1.52%	7.17%	6.07%	4.44%	3.44%	3.69%	6.95%	6.08%	6.02%	4.95%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12420	394	120	334	273	301	175	489	552	276	306	55	550	307	306	220	303	314	189	362	236	250	321	279	263	214	469	474	282	361	266	343	313	86	244	220	307	256	300	338	340	218	214					
		35.43%	33.25%	38.83%	36.95%	32.16%	33.56%	36.08%	33.63%	34.01%	43.33%	35.83%	52.88%	63.51%	31.78%	31.16%	33.90%	37.36%	34.39%	35.33%	35.49%	35.38%	30.08%	34.63%	35.09%	30.83%	37.48%	32.94%	31.41%	33.33%	41.78%	35.42%	33.08%	37.99%	65.15%	34.32%	33.38%	35.91%	32.61%	36.86%	39.17%	33.90%	32.83%	34.19%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	195	5	3	6	3	1	3	4	9	2	2	0	7	7	3	4	3	11	2	1	2	8	8	3	7	2	4	5	6	2	4	5	6	1	7	4	12	6	6	4	5	6	6					
		0.56%	0.42%	0.97%	0.66%	0.35%	0.11%	0.62%	0.28%	0.55%	0.31%	0.23%	0.00%	0.81%	0.72%	0.31%	0.62%	0.37%	1.20%	0.37%	0.10%	0.30%	0.96%	0.86%	0.38%	0.82%	0.35%	0.28%	0.33%	0.71%	0.23%	0.53%	0.48%	0.73%	0.76%	0.98%	0.61%	1.40%	0.76%	0.74%	0.46%	0.50%	0.90%	0.96%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
