Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
"Наименование Избирательной комиссии:    Тверь, Московская"																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117					
1	"Число избирателей, внесенных в списки избирателей"	101821	2514	1988	916	2327	2658	2679	2654	1458	2130	1974	1830	1077	1284	1321	2266	1766	2335	1214	1344	1254	2148	1224	980	1858	1478	1959	2734	2172	1595	2087	1849	1782	2364	2064	1330	1474	2011	2197	1993	2433	2279	2669	2595	2056	2580	2523	2106	2082	2050	1870	1293	1965	69	154	107	702					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	93539	2300	1800	800	2200	2500	2500	2400	1300	1900	1800	1700	1000	1100	1100	2100	1600	2200	1000	1200	1100	2000	1100	900	1700	1300	1800	2600	2000	1400	1900	1700	1600	2200	1900	1200	1300	1900	2100	1900	2200	2100	2500	2500	1900	2400	2400	2000	1900	1900	1700	1100	1800	70	157	108	704					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	55424	1496	1083	390	1173	1454	1564	1362	666	1032	1041	957	544	598	628	1072	957	1285	628	741	667	1123	617	480	977	808	1040	1470	1099	839	1145	1017	996	1324	1113	624	807	1059	1314	1124	1407	1297	1517	1546	1094	1425	1476	1039	1205	1215	1019	745	1173	53	153	97	649					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1658	48	29	22	25	48	38	111	24	42	49	40	23	38	36	20	26	30	25	26	34	45	27	20	54	37	16	38	39	39	22	22	32	36	34	20	18	25	29	12	24	41	26	36	33	24	39	18	14	27	17	44	9	0	0	7	0					
6	Число погашенных избирательных бюллетеней	36457	756	688	388	1002	998	898	927	610	826	710	703	433	464	436	1008	617	885	347	433	399	832	456	400	669	455	744	1092	862	522	733	661	572	840	753	556	475	816	757	764	769	762	957	918	773	951	885	943	681	658	664	311	618	17	4	4	55					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1658	48	29	22	25	48	38	111	24	42	49	40	23	38	36	20	26	30	25	26	34	45	27	20	54	37	16	38	39	39	22	22	32	36	34	20	18	25	29	12	24	41	26	36	33	24	39	18	14	27	17	44	9	0	0	7	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	55383	1492	1083	390	1173	1454	1564	1362	665	1031	1041	957	544	598	627	1068	956	1285	628	741	667	1123	615	479	977	808	1040	1470	1096	839	1142	1017	993	1324	1110	624	807	1058	1314	1124	1403	1294	1514	1546	1094	1425	1475	1039	1205	1215	1018	745	1172	53	153	97	649					
9	Число недействительных избирательных бюллетеней	562	13	18	1	14	10	17	19	9	7	9	18	2	11	5	10	11	14	6	5	3	6	10	6	5	6	11	15	12	13	14	9	14	9	11	3	8	13	13	14	11	19	14	14	8	11	11	7	22	10	7	4	16	1	2	0	11					
10	Число действительных избирательных бюллетеней	56479	1527	1094	411	1184	1492	1585	1454	680	1066	1081	979	565	625	658	1078	971	1301	647	762	698	1162	632	493	1026	839	1045	1493	1123	865	1150	1030	1011	1351	1133	641	817	1070	1330	1122	1416	1316	1526	1568	1119	1438	1503	1050	1197	1232	1028	785	1165	52	151	104	638					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1811	20	20	20	50	30	30	30	100	100	40	50	20	20	20	20	20	100	20	20	20	100	20	20	21	20	30	40	30	20	20	100	30	30	30	20	30	20	40	20	30	40	40	40	20	30	30	30	25	25	30	40	40	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1023	20	8	8	37	27	24	23	24	13	28	16	7	5	4	16	17	56	5	7	9	28	4	7	21	14	26	22	21	12	16	39	23	15	23	9	13	20	28	18	23	25	34	28	18	25	23	19	22	21	17	24	31	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	908	35	22	12	13	1	22	11	25	18	14	6	12	8	8	12	11	19	15	11	8	12	10	32	18	19	15	16	4	8	12	14	2	11	8	7	5	2	16	3	4	15	14	8	5	4	14	20	10	8	10	17	3	1	1	9	268					
14	Число погашенных неиспользованных открепительных удостоверений	788	0	12	12	13	3	6	7	76	87	12	34	13	15	16	4	3	44	15	13	11	72	16	13	0	6	4	18	9	8	4	61	7	15	7	11	17	0	12	2	7	15	6	12	2	5	7	11	3	4	13	16	9	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	3	4	2	0	3	1	0	2	0	0	1	1	1	1	2	1	3	0	1	0	0	0	2	0	1	2	2	2	3	2	3	1	0	0	0	3	1	1	0	1	1	0	2	1	1	2	1	1	2	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
