Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
"Наименование Избирательной комиссии:    Тверь, Московская"																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045					
1	"Число избирателей, внесенных в список избирателей"	99316	2546	1904	915	2289	2514	2601	2459	1365	2174	1906	1699	966	2826	1277	1660	2222	1149	1274	1155	2209	1110	893	1762	1420	1846	2574	2091	1578	1934	1772	1789	2392	2347	1362	1397	1879	2129	1887	2275	2240	2783	2531	1929	2458	2329	1986	2022	1909	1782	2370	2454	193	157	84	445	97					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90366	2200	1700	800	1900	2300	2400	2300	1300	1900	1700	1500	800	2600	1100	1400	1800	1000	1100	1000	2000	1000	800	1600	1200	1700	2400	2000	1400	1800	1600	1600	2200	2200	1200	1200	1800	2000	1800	2200	2100	2500	2200	1800	2300	2200	1900	1900	1800	1700	2200	2300	180	155	84	447	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	48312	1414	980	297	1028	1235	1335	1076	605	845	898	788	453	1151	481	855	1149	503	563	523	1050	535	361	746	757	921	1204	877	685	857	954	927	1237	1121	602	663	863	1132	924	1152	1114	1483	1276	894	1276	1273	899	1118	987	875	1133	1325	168	153	82	443	66					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1180	24	11	4	19	42	37	65	14	29	14	38	5	51	30	16	44	18	22	24	16	17	17	48	22	8	20	27	19	31	17	11	32	42	9	10	9	29	8	29	14	13	36	35	22	19	11	16	19	14	40	11	0	0	2	0	0					
6	Число погашенных избирательных бюллетеней	40874	762	709	499	853	1023	1028	1159	681	1026	788	674	342	1398	589	529	607	479	515	453	934	448	422	806	421	771	1176	1096	696	912	629	662	931	1037	589	527	928	839	868	1019	972	1004	888	871	1002	908	990	766	794	811	1027	964	12	2	0	4	34					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1179	24	11	4	19	42	37	65	14	29	14	38	5	51	30	16	44	18	22	24	16	17	17	48	22	8	20	27	19	31	17	11	32	42	9	10	9	29	8	29	14	12	36	35	22	19	11	16	19	14	40	11	0	0	2	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48291	1411	980	297	1027	1235	1332	1076	604	845	898	788	453	1151	481	855	1149	503	563	522	1050	535	361	746	757	921	1204	877	685	856	954	927	1236	1121	600	663	863	1132	924	1152	1113	1480	1276	893	1276	1273	899	1118	987	875	1133	1322	168	153	82	443	66					
9	Число недействительных избирательных бюллетеней	784	29	20	3	14	10	23	20	8	13	9	9	43	24	8	17	26	5	6	1	14	6	7	5	12	10	20	10	10	13	15	14	19	10	13	12	20	17	10	11	16	23	7	15	25	18	18	13	10	7	18	25	3	2	0	47	1					
10	Число действительных избирательных бюллетеней	48686	1406	971	298	1032	1267	1346	1121	610	861	903	817	415	1178	503	854	1167	516	579	545	1052	546	371	789	767	919	1204	894	694	874	956	924	1249	1153	596	661	852	1144	922	1170	1111	1469	1305	913	1273	1274	892	1121	996	882	1155	1308	165	151	84	396	65					
