Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
Наименование Избирательной комиссии:    Петрозаводская городская №2																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №49	УИК №50	УИК №51	УИК №52	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №128	УИК №129	УИК №130					
1	"Число избирателей, внесенных в список избирателей"	96228	1728	1311	1453	1891	1393	1439	1673	1365	2138	1624	2467	1785	1815	1680	1543	1649	1762	2144	2452	1632	1693	2323	1772	1809	1684	1718	1797	1910	1795	1580	1668	1679	1838	2006	1635	2181	1767	1432	2732	1690	1626	1655	1551	1669	1761	1670	2315	1659	1743	1682	1515	2875	1095	206	381	63	204	106	63	736					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	91850	1700	1300	1400	1800	1400	1400	1600	1300	2100	1500	2200	1700	1700	1600	1500	1600	1700	2100	2100	1400	1600	2300	1700	1800	1600	1700	1700	1800	1800	1500	1600	1600	1800	2000	1600	1900	1700	1400	2200	1600	1600	1600	1500	1600	1700	1600	2100	1600	1700	1600	1500	2800	900	200	500	150	500	150	150	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	47954	973	788	832	902	698	602	784	580	954	726	1128	832	866	843	779	908	1028	1077	1329	858	852	1078	881	872	934	928	993	1050	923	863	915	906	945	1066	929	1070	906	682	849	946	873	892	768	910	816	829	1151	887	860	652	685	1294	464	97	159	50	125	58	37	272					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1449	37	49	21	14	12	21	20	6	14	20	8	12	25	13	20	11	17	34	19	8	20	21	26	15	9	21	20	19	17	10	10	11	19	18	17	14	13	10	17	16	24	21	33	11	23	21	18	24	12	19	13	18	117	38	222	9	59	48	15	0					
6	Число погашенных избирательных бюллетеней	42447	690	463	547	884	690	777	796	714	1132	754	1064	856	809	744	701	681	655	989	752	534	728	1201	793	913	657	751	687	731	860	627	675	683	836	916	654	816	781	708	1334	638	703	687	699	679	861	750	931	689	828	929	802	1488	319	65	119	91	316	44	98	128					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1448	37	49	21	14	12	21	20	6	14	20	8	12	25	13	20	11	17	34	19	8	20	21	26	15	9	20	20	19	17	10	10	11	19	18	17	14	13	10	17	16	24	21	33	11	23	21	18	24	12	19	13	18	117	38	222	9	59	48	15	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47884	969	787	831	901	698	601	784	580	954	725	1126	827	866	838	778	908	1026	1075	1329	858	852	1063	881	872	934	928	993	1049	923	862	914	906	942	1064	928	1070	906	682	847	943	871	889	768	909	813	827	1150	885	860	652	685	1293	464	97	159	50	125	58	37	272					
9	Число недействительных избирательных бюллетеней	840	17	14	15	15	14	7	15	11	22	13	13	14	18	14	21	21	17	18	23	8	14	22	13	11	25	15	16	12	7	11	9	12	13	21	6	24	10	9	15	18	22	25	18	14	10	14	19	17	23	6	13	23	16	5	5	4	4	0	0	9					
10	Число действительных избирательных бюллетеней	48492	989	822	837	900	696	615	789	575	946	732	1121	825	873	837	777	898	1026	1091	1325	858	858	1062	894	876	918	933	997	1056	933	861	915	905	948	1061	939	1060	909	683	849	941	873	885	783	906	826	834	1149	892	849	665	685	1288	565	130	376	55	180	106	52	263					
