Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Петрозаводская городская №2																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129					
1	"Число избирателей, внесенных в списки избирателей"	88665	1443	1503	1698	1987	2172	1860	1757	1853	1840	1649	1567	1777	1830	1913	2096	1580	1733	2025	1819	1819	1645	1630	1850	1924	1887	1857	1734	1749	1930	2113	1699	2267	1643	1334	2645	1715	1614	1579	1566	1711	1638	1608	1631	1688	1750	1825	1471	2874	1081	91	411	54	308	59	94	69					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	77850	1300	1300	1500	1600	1800	1600	1500	1600	1600	1500	1400	1500	1600	1700	1700	1400	1600	1800	1600	1600	1500	1500	1600	1700	1700	1700	1600	1600	1700	1800	1600	1700	1500	1200	2100	1500	1500	1400	1400	1500	1500	1400	1400	1500	1500	1600	1300	2300	900	200	450	100	400	100	100	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	47292	724	648	894	848	1019	822	889	958	1074	898	870	1073	1110	1034	1335	979	1004	1058	966	890	956	927	1064	1123	1072	952	1016	1044	1054	1233	998	1288	868	653	928	1019	924	920	853	981	797	866	844	953	855	708	687	1424	539	50	189	42	197	26	80	69					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1673	17	30	21	9	56	22	5	17	33	18	41	14	28	25	13	15	19	26	31	14	16	22	37	20	20	138	19	17	13	14	20	10	20	8	31	11	14	18	17	10	7	20	20	18	24	91	10	14	132	32	222	10	101	29	14	0					
6	Число погашенных избирательных бюллетеней	28885	559	622	585	743	725	756	606	625	493	584	489	413	462	641	352	406	577	716	603	696	528	551	499	557	608	610	565	539	633	553	582	402	612	539	1141	470	562	462	530	509	696	514	536	529	621	801	603	862	229	118	39	48	102	45	6	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1673	17	30	21	9	56	22	5	17	33	18	41	14	28	25	13	15	19	26	31	14	16	22	37	20	20	138	19	17	13	14	20	10	20	8	31	11	14	18	17	10	7	20	20	18	24	91	10	14	132	32	222	10	101	29	14	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47235	724	647	894	848	1019	818	887	958	1074	894	869	1072	1108	1032	1335	979	1003	1056	966	889	956	926	1064	1122	1071	943	1014	1044	1054	1231	997	1288	868	652	925	1017	922	919	853	980	797	861	842	953	855	708	685	1424	539	50	189	42	197	26	80	69					
9	Число недействительных избирательных бюллетеней	504	4	4	9	6	9	7	9	8	8	4	10	11	10	7	15	11	15	13	12	7	17	18	4	9	14	14	13	10	17	12	14	9	16	6	8	9	13	11	10	7	5	4	7	10	4	9	4	27	7	1	6	0	7	0	3	0					
10	Число действительных избирательных бюллетеней	48404	737	673	906	851	1066	833	883	967	1099	908	900	1075	1126	1050	1333	983	1007	1069	985	896	955	930	1097	1133	1077	1067	1020	1051	1050	1233	1003	1289	872	654	948	1019	923	926	860	983	799	877	855	961	875	790	691	1411	664	81	405	52	291	55	91	69					
