Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Олюторская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203					
1	"Число избирателей, внесенных в списки избирателей"	5048	372	1069	1526	652	476	319	255	379					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4899	360	1075	1443	587	471	322	251	390					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	104	0	0	0	20	0	10	61	13					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2706	218	387	880	411	256	194	122	238					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	91	0	13	43	13	4	10	3	5					
6	Число погашенных избирательных бюллетеней	1998	142	675	520	143	211	108	65	134					
7	Число избирательных бюллетеней в переносных ящиках для голосования	195	0	13	43	33	4	20	64	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2704	218	387	880	411	256	192	122	238					
9	Число недействительных избирательных бюллетеней	67	5	18	19	12	4	4	1	4					
10	Число действительных избирательных бюллетеней	2832	213	382	904	432	256	208	185	252					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	100	7	21	26	13	11	7	6	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	32	0	6	10	7	0	2	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	21	1	3	14	2	0	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	68	7	15	16	6	11	5	4	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	3	6	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	53	2	5	25	9	8	2	0	2					
		1.83%	0.92%	1.25%	2.71%	2.03%	3.08%	0.94%	0.00%	0.78%					
19	2.Всероссийская политическая партия «Гражданская Сила»	25	1	4	12	5	0	3	0	0					
		0.86%	0.46%	1.00%	1.30%	1.13%	0.00%	1.42%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	6	1	3	1	0	0	0	0	1					
		0.21%	0.46%	0.75%	0.11%	0.00%	0.00%	0.00%	0.00%	0.39%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	137	7	24	43	27	12	5	5	14					
		4.73%	3.21%	6.00%	4.66%	6.08%	4.62%	2.36%	2.69%	5.47%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	5	0	2	1	2	0	0	0	0					
		0.17%	0.00%	0.50%	0.11%	0.45%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	2	0	0	2	0	0	0	0	0					
		0.07%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	241	16	26	98	38	26	19	6	12					
		8.31%	7.34%	6.50%	10.62%	8.56%	10.00%	8.96%	3.23%	4.69%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	93	6	21	28	12	9	6	4	7					
		3.21%	2.75%	5.25%	3.03%	2.70%	3.46%	2.83%	2.15%	2.73%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	33	2	8	10	3	7	0	1	2					
		1.14%	0.92%	2.00%	1.08%	0.68%	2.69%	0.00%	0.54%	0.78%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2208	178	283	670	334	188	172	169	214					
		76.16%	81.65%	70.75%	72.59%	75.23%	72.31%	81.13%	90.86%	83.59%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	29	0	6	14	2	6	1	0	0					
		1.00%	0.00%	1.50%	1.52%	0.45%	2.31%	0.47%	0.00%	0.00%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
