Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
Наименование Избирательной комиссии:    Кисловодская городская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623					
1	"Число избирателей, внесенных в список избирателей"	81009	2871	2802	2835	1487	1820	2843	1986	1545	2851	2116	1629	2891	479	2891	1856	1539	1517	1409	1142	2070	2060	1397	2853	2213	1006	1372	2107	2940	2919	975	2133	2637	1203	2273	1779	1672	1412	1842	2522	1237	249	212	195	90	262	145	157	48	336	184					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71370	2500	2400	2500	1300	1600	2500	1700	1300	2600	1900	1400	2600	450	2500	1600	1300	1300	1200	1000	1800	1800	1200	2500	1900	950	1200	1800	2600	2600	800	1850	2300	1100	2000	1500	1400	1500	1600	2200	1100	210	210	210	90	250	150	100	50	300	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27790	1074	815	1072	542	551	816	645	448	1035	692	528	893	117	881	714	605	589	522	404	725	742	534	1068	714	316	477	804	1137	862	364	542	739	343	632	641	395	476	710	731	332	194	201	195	90	205	145	84	48	280	121					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1910	17	63	43	21	32	57	56	29	73	49	24	42	30	44	47	24	50	31	31	37	44	41	79	80	15	24	68	72	95	22	48	36	160	64	24	47	41	42	40	4	0	1	0	0	0	0	0	0	0	63					
6	Число погашенных избирательных бюллетеней	41670	1409	1522	1385	737	1017	1627	999	823	1492	1159	848	1665	303	1575	839	671	661	647	565	1038	1014	625	1353	1106	619	699	928	1391	1643	414	1260	1525	597	1304	835	958	983	848	1429	764	16	8	15	0	45	5	16	2	20	266					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1910	17	63	43	21	32	57	56	29	73	49	24	42	30	44	47	24	50	31	31	37	44	41	79	80	15	24	68	72	95	22	48	36	160	64	24	47	41	42	40	4	0	1	0	0	0	0	0	0	0	63					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27784	1074	815	1072	540	551	816	645	447	1035	691	528	893	117	881	714	605	589	522	404	725	742	534	1068	714	316	477	804	1137	862	364	542	739	343	632	641	395	476	710	731	330	194	201	195	90	205	145	84	48	280	121					
9	Число недействительных избирательных бюллетеней	638	25	20	21	14	8	137	11	12	27	3	12	20	2	11	13	6	9	12	2	18	14	10	14	22	6	3	18	23	9	7	15	4	20	5	19	9	0	20	18	4	0	3	0	0	0	1	1	0	4	6					
10	Число действительных избирательных бюллетеней	29056	1066	858	1094	547	575	736	690	464	1081	737	540	915	145	914	748	623	630	541	433	744	772	565	1133	772	325	498	854	1186	948	379	575	771	483	691	646	433	517	732	753	330	194	199	195	90	205	144	83	48	276	178					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	603	10	15	35	10	10	20	10	10	20	20	20	21	10	20	15	20	10	10	10	20	10	10	15	20	10	10	20	30	17	10	10	20	10	15	10	10	10	20	10	10	0	0	0	0	0	0	0	0	0	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	482	9	14	29	9	10	17	9	8	18	14	17	19	2	13	15	16	10	10	10	13	10	8	15	15	10	10	16	23	13	7	9	12	6	13	7	10	9	17	8	0	0	0	0	0	0	0	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1474	13	11	15	9	8	5	3	9	9	22	9	4	3	11	10	7	7	8	24	17	9	9	26	15	15	9	28	13	13	73	53	7	7	25	8	45	26	51	34	4	141	137	139	32	70	35	77	29	137	3					
14	Число погашенных неиспользованных открепительных удостоверений	121	1	1	6	1	0	3	1	2	2	6	3	2	8	7	0	4	0	0	0	7	0	2	0	5	0	0	4	7	4	3	1	8	4	2	3	0	1	3	2	10	0	0	0	0	0	0	0	0	0	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	1	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
