Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Майская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97					
1	"Число избирателей, внесенных в список избирателей"	26677	1474	1118	1034	1987	815	1414	925	1010	815	1933	1830	2358	1672	353	2496	2477	771	1922	273					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27025	1495	1130	1050	2015	820	1435	935	1020	825	1960	1850	2380	1690	360	2530	2510	790	1950	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25400	1372	1053	982	1915	783	1361	881	962	763	1806	1749	2256	1624	329	2352	2398	727	1853	234					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	880	80	49	36	42	21	32	29	33	40	98	52	67	23	19	107	42	32	41	37					
6	Число погашенных избирательных бюллетеней	745	43	28	32	58	16	42	25	25	22	56	49	57	43	12	71	70	31	56	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	880	80	49	36	42	21	32	29	33	40	98	52	67	23	19	107	42	32	41	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25400	1372	1053	982	1915	783	1361	881	962	763	1806	1749	2256	1624	329	2352	2398	727	1853	234					
9	Число недействительных избирательных бюллетеней	91	7	2	6	9	2	7	3	4	1	6	3	8	4	2	1	10	4	11	1					
10	Число действительных избирательных бюллетеней	26189	1445	1100	1012	1948	802	1386	907	991	802	1898	1798	2315	1643	346	2458	2430	755	1883	270					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	86	4	4	4	8	4	4	4	4	3	5	5	5	5	3	5	5	6	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	37	0	2	1	7	3	0	0	2	1	2	4	2	5	0	0	3	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	18	0	1	2	0	0	0	0	0	0	1	0	0	3	0	0	3	3	5	0					
14	Число погашенных неиспользованных открепительных удостоверений	49	4	2	3	1	1	4	4	2	2	3	1	3	0	3	5	2	1	5	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	3	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	47	2	1	3	2	1	1	8	1	10	2	1	2	0	0	0	4	5	2	2					
		0.18%	0.14%	0.09%	0.29%	0.10%	0.12%	0.07%	0.88%	0.10%	1.25%	0.11%	0.06%	0.09%	0.00%	0.00%	0.00%	0.16%	0.66%	0.11%	0.74%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	17	1	2	1	0	1	0	0	1	8	0	1	0	0	0	0	0	0	1	1					
		0.06%	0.07%	0.18%	0.10%	0.00%	0.12%	0.00%	0.00%	0.10%	0.99%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.37%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5300	291	222	203	397	162	283	176	202	143	387	367	472	337	71	511	493	148	382	53					
		20.17%	20.04%	20.15%	19.94%	20.29%	20.15%	20.32%	19.34%	20.30%	17.81%	20.33%	20.38%	20.32%	20.46%	20.40%	20.78%	20.20%	19.50%	20.17%	19.56%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20820	1150	875	805	1549	638	1102	722	787	638	1509	1429	1841	1306	275	1947	1933	602	1498	214					
		79.22%	79.20%	79.40%	79.08%	79.15%	79.35%	79.11%	79.34%	79.10%	79.45%	79.25%	79.34%	79.25%	79.30%	79.02%	79.18%	79.22%	79.31%	79.09%	78.97%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
