Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
"Наименование Избирательной комиссии:    Ульяновск, Заволжская N1"																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841					
1	"Число избирателей, внесенных в списки"	88308	1554	2171	2466	2651	2794	2757	2148	1912	2873	2285	2786	2133	2058	2626	2286	2432	1519	1767	2708	3255	1561	2718	2699	2137	2118	2736	515	2018	2905	2692	2695	1953	2352	2661	2491	2485	2398	1993					
2	"Число бюллетеней, полученных участковыми комиссиями"	87244	1560	2150	2450	2640	2800	2700	2150	1900	2860	2280	2740	2110	2050	2630	2270	2430	1470	1750	2720	2740	1530	2720	2700	2120	2120	2700	524	2010	2890	2670	2690	1900	2330	2650	2480	2470	2380	1960					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	44901	811	1000	981	1327	1388	1397	1061	942	1182	1137	1233	1174	1115	1361	1386	1204	673	665	1501	1887	758	1462	1305	1131	1152	1541	365	918	1597	1401	1418	1013	1261	1370	1388	1273	1236	887					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1149	27	25	48	15	7	27	28	16	21	16	15	14	28	30	30	39	25	23	45	163	26	37	45	27	38	32	150	20	9	15	7	12	17	14	11	16	10	21					
6	Число погашенных бюллетеней	41194	722	1125	1421	1298	1405	1276	1061	942	1657	1127	1492	922	907	1239	854	1187	772	1062	1174	690	746	1221	1350	962	930	1127	9	1072	1284	1254	1265	875	1052	1266	1081	1181	1134	1052					
7	Число бюллетеней в переносных ящиках для голосования	1148	27	25	48	15	7	27	28	16	21	16	15	14	28	30	30	39	25	23	45	163	26	37	45	27	38	32	149	20	9	15	7	12	17	14	11	16	10	21					
8	Число бюллетеней в стационарных ящиках для голосования	44851	809	1000	981	1327	1387	1397	1061	942	1181	1137	1231	1164	1114	1361	1386	1203	673	665	1501	1878	757	1461	1304	1131	1152	1540	357	918	1597	1401	1415	1012	1258	1367	1388	1272	1236	887					
9	Число недействительных бюллетеней	1564	32	89	41	34	23	59	37	34	71	53	40	18	41	37	46	34	60	50	36	116	53	58	86	28	33	27	45	76	20	19	9	46	10	26	19	23	14	21					
10	Число действительных бюллетеней	44435	804	936	988	1308	1371	1365	1052	924	1131	1100	1206	1160	1101	1354	1370	1208	638	638	1510	1925	730	1440	1263	1130	1157	1545	461	862	1586	1397	1413	978	1265	1355	1380	1265	1232	887					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	530	13	19	13	13	16	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	19	13	19	19	19	13	13	13	13	16	13	13	13	13	13	13	13					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	430	13	19	6	12	16	13	12	10	10	12	13	10	13	13	13	7	3	3	10	13	6	18	13	16	18	19	3	11	12	13	16	9	7	13	10	8	9	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	298	5	22	5	2	11	4	3	4	2	5	19	4	9	10	11	3	7	8	8	9	5	10	4	18	8	21	29	9	4	4	2	7	1	5	8	2	1	9					
14	Число погашенных открепительных удостоверений	100	0	0	7	1	0	0	1	3	3	1	0	3	0	0	0	6	10	10	3	0	7	1	0	3	1	0	10	2	1	0	0	4	6	0	3	5	4	5					
15	Число открепительных удостоверений выданных ТИК	7	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	310	3	7	5	10	5	5	5	7	7	9	14	8	9	12	3	9	5	8	11	34	9	8	6	7	8	13	10	7	9	10	7	1	11	2	6	3	7	10					
		0.67%	0.35%	0.68%	0.48%	0.74%	0.35%	0.35%	0.45%	0.73%	0.58%	0.78%	1.12%	0.67%	0.78%	0.86%	0.21%	0.72%	0.71%	1.16%	0.71%	1.66%	1.14%	0.53%	0.44%	0.60%	0.67%	0.82%	1.97%	0.74%	0.56%	0.70%	0.49%	0.09%	0.86%	0.14%	0.42%	0.23%	0.56%	1.10%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1285	13	22	19	39	44	31	26	22	29	17	32	36	30	32	43	24	17	16	48	64	17	30	33	32	49	48	2	28	44	74	36	43	42	37	68	28	46	24					
		2.79%	1.55%	2.14%	1.84%	2.90%	3.15%	2.17%	2.38%	2.29%	2.41%	1.47%	2.56%	3.05%	2.62%	2.30%	3.03%	1.93%	2.43%	2.32%	3.10%	3.13%	2.17%	2.00%	2.44%	2.76%	4.11%	3.05%	0.39%	2.98%	2.73%	5.22%	2.53%	4.19%	3.29%	2.67%	4.86%	2.17%	3.69%	2.64%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1589	21	53	34	25	30	58	47	33	40	54	58	48	31	60	62	43	28	24	58	39	37	60	42	43	40	63	17	34	67	35	50	22	38	32	46	31	44	42					
		3.45%	2.51%	5.17%	3.30%	1.86%	2.15%	4.07%	4.31%	3.44%	3.32%	4.68%	4.65%	4.07%	2.71%	4.31%	4.37%	3.46%	4.01%	3.48%	3.75%	1.91%	4.72%	4.00%	3.11%	3.71%	3.36%	4.00%	3.35%	3.62%	4.17%	2.47%	3.51%	2.14%	2.98%	2.31%	3.28%	2.40%	3.53%	4.62%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2298	48	35	46	65	87	76	51	43	47	52	30	69	52	75	61	71	18	34	95	49	29	66	60	67	61	99	10	51	83	95	78	54	74	91	110	68	65	33					
		4.99%	5.74%	3.41%	4.47%	4.84%	6.24%	5.33%	4.68%	4.48%	3.91%	4.50%	2.40%	5.85%	4.55%	5.39%	4.30%	5.71%	2.57%	4.94%	6.14%	2.40%	3.70%	4.40%	4.44%	5.78%	5.12%	6.29%	1.97%	5.43%	5.16%	6.70%	5.48%	5.27%	5.80%	6.58%	7.86%	5.27%	5.21%	3.63%					
22	"5. ""За Русь Святую"""	331	12	8	9	8	5	8	10	8	6	10	11	21	7	10	7	11	11	5	4	8	4	9	9	11	6	13	2	2	10	21	15	6	11	4	10	9	7	3					
		0.71%	1.43%	0.78%	0.87%	0.59%	0.35%	0.56%	0.91%	0.83%	0.49%	0.86%	0.88%	1.78%	0.61%	0.71%	0.49%	0.88%	1.57%	0.72%	0.25%	0.39%	0.51%	0.60%	0.66%	0.94%	0.50%	0.82%	0.39%	0.21%	0.62%	1.48%	1.05%	0.58%	0.86%	0.28%	0.71%	0.69%	0.56%	0.33%					
23	"6. ""Объединенная Российская партия ""Русь"""	142	2	4	5	1	4	3	1	2	4	3	6	8	3	2	3	4	4	3	5	10	4	1	2	1	5	5	2	3	2	6	5	5	7	5	5	2	2	3					
		0.30%	0.23%	0.39%	0.48%	0.07%	0.28%	0.21%	0.09%	0.20%	0.33%	0.26%	0.48%	0.67%	0.26%	0.14%	0.21%	0.32%	0.57%	0.43%	0.32%	0.48%	0.51%	0.06%	0.14%	0.08%	0.42%	0.31%	0.39%	0.31%	0.12%	0.42%	0.35%	0.48%	0.54%	0.36%	0.35%	0.15%	0.16%	0.33%					
24	"7. ""Новый курс - Автомобильная Россия"""	373	1	10	5	17	10	13	5	3	14	5	29	6	9	4	7	7	4	5	8	26	11	6	4	8	8	14	0	6	15	10	13	10	13	15	13	20	12	7					
		0.81%	0.11%	0.97%	0.48%	1.26%	0.71%	0.91%	0.45%	0.31%	1.16%	0.43%	2.32%	0.50%	0.78%	0.28%	0.49%	0.56%	0.57%	0.72%	0.51%	1.27%	1.40%	0.40%	0.29%	0.69%	0.67%	0.89%	0.0%	0.63%	0.93%	0.70%	0.91%	0.97%	1.01%	1.08%	0.92%	1.55%	0.96%	0.77%					
25	"8. ""Народно-республиканская партия России"""	66	3	0	2	0	1	1	1	1	4	3	5	2	1	2	1	4	1	0	1	6	0	1	1	3	1	4	1	3	0	0	0	2	3	2	2	2	1	1					
		0.14%	0.35%	0.0%	0.19%	0.0%	0.07%	0.07%	0.09%	0.10%	0.33%	0.26%	0.40%	0.16%	0.08%	0.14%	0.07%	0.32%	0.14%	0.0%	0.06%	0.29%	0.0%	0.06%	0.07%	0.25%	0.08%	0.25%	0.19%	0.31%	0.0%	0.0%	0.0%	0.19%	0.23%	0.14%	0.14%	0.15%	0.08%	0.11%					
26	"9. ""Российская экологическая партия ""Зеленые"""	265	2	2	4	11	9	7	7	7	6	3	7	3	6	10	7	9	1	5	10	10	3	8	4	2	9	7	0	12	13	12	7	3	6	12	11	11	12	7					
