Выборы Президента Российской Федерации																																																																																																																																																																																				
Дата голосования: 18.03.2018																																																																																																																																																																																				
																																																																																																																																																																																				
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №3																																																																																																																																																																																				
																																																																																																																																																																																				
Сводная таблица итогов голосования																																																																																																																																																																																				
																																																																																																																																																																																				
	Число участковых избирательных комиссий	169																																																																																																																																																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	169																																																																																																																																																																																		
																																																																																																																																																																																				
		Сумма	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №750	УИК №751	УИК №752	УИК №753	УИК №755	УИК №756	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301									
1	"Число избирателей, включенных в список избирателей"	101732	1697	1568	1525	1840	2136	1840	1515	1929	1924	1795	1312	1736	1959	1856	958	1874	1040	2227	1279	1394	1519	1984	2129	1299	1108	1440	1519	2311	2255	1354	1420	1470	1579	1289	1591	1850	1734	1501	1572	1338	2279	2519	2102	2392	2419	1721	1943	2187	1773	1695	1378	1425	1886	2081	1747	2000	2328	241	10	10	10	12	12	11	11	10	10	11	11	11	11	11	11	10	9	11	10	11	11	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	9	11	11	11	11	12	11	10	11	11	11	10	10	10	33	25	25	21	18	21	19	19	19	21	28	19	22	30	36	26	26	25	25	25	45	29	29	28	52	49	25	25	25	9	11	9	10	9	11	9	9	11	61	56	24	27	24	27	26	13	5	5	6	5	9	4	38	27	25	48	54	14	28	12	12									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	97469	1500	1500	1500	1500	2000	1600	1200	2000	2000	1600	1200	2000	1500	1500	1000	2000	1500	2000	1200	1600	1500	2000	2000	1100	1000	1200	1200	2500	2500	1500	1500	1500	1500	1500	1500	1600	1500	1500	1500	1500	2100	2100	2000	2500	2500	1600	1700	1500	1500	1500	1500	1500	2000	2000	1500	2000	2200	300	10	10	10	12	12	11	11	10	10	11	11	11	11	11	11	10	9	11	10	11	11	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	9	11	11	11	11	12	11	10	11	11	11	10	10	10	35	25	25	21	18	21	19	19	19	21	28	19	22	30	36	26	26	30	25	25	45	29	29	28	52	49	25	25	25	9	11	9	10	9	11	9	9	11	70	56	24	27	24	27	26	13	5	5	6	5	9	4	38	30	25	48	54	14	28	12	12									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	12	12	11	11	10	10	11	11	11	11	11	11	10	9	11	10	11	11	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	9	11	11	11	11	12	11	10	11	11	11	10	10	10	33	25	25	21	18	21	19	19	0	0	28	19	22	30	36	26	26	24	25	25	0	0	0	0	0	0	25	24	25	9	11	9	10	9	11	9	9	11	47	56	24	27	24	27	26	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	60314	1066	887	809	1064	1111	1083	998	1152	1119	1083	745	1074	1091	1022	587	1186	867	1321	839	871	960	1182	1268	798	691	816	846	1421	1578	917	893	901	888	804	954	1061	946	946	932	838	1545	1393	1188	1468	1353	976	1145	1105	1022	1094	919	945	1173	1175	1044	1202	1379	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0	0	0	0	0	45	29	24	28	52	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	6	5	9	4	38	27	25	48	53	14	28	12	12									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1752	11	62	40	18	21	19	8	20	97	14	15	138	20	23	13	24	8	24	21	18	17	20	34	24	17	31	17	13	35	28	13	14	21	20	19	27	24	32	29	21	29	36	23	24	38	23	28	25	26	18	16	24	31	37	21	38	27	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	34026	423	550	648	418	868	498	194	828	784	503	440	788	389	455	400	790	625	652	340	711	523	798	698	278	292	353	337	1066	887	555	594	585	591	676	527	512	530	522	539	641	526	671	789	1008	1109	601	527	370	452	388	565	531	796	788	435	760	794	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3122	11	62	40	18	21	19	8	20	97	14	15	138	20	23	13	24	8	24	21	18	17	20	34	24	17	31	17	13	35	28	13	14	21	20	19	27	24	32	29	21	29	36	23	24	38	23	28	25	26	18	16	24	31	37	21	38	27	218	10	10	10	12	12	11	11	10	10	11	11	11	11	11	11	10	9	11	10	11	11	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	9	11	11	11	11	12	11	10	11	11	11	10	10	10	33	25	25	21	18	21	19	19	0	0	28	19	22	30	36	26	26	24	25	25	0	0	0	0	0	0	25	24	25	9	11	9	10	9	11	9	9	11	47	56	24	27	24	27	26	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	60216	1064	887	809	1064	1111	1078	995	1149	1119	1083	745	1074	1083	1015	586	1186	867	1321	839	871	959	1181	1264	797	691	815	845	1418	1574	917	891	900	885	804	953	1061	945	945	930	838	1545	1393	1186	1466	1353	954	1144	1105	1020	1090	917	945	1173	1174	1041	1202	1376	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0	0	0	0	0	45	29	24	28	52	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	6	5	9	4	38	27	25	48	53	14	28	12	12									
9	Число недействительных избирательных бюллетеней	860	16	14	14	18	14	18	15	13	14	9	8	9	27	25	13	26	12	17	11	15	12	19	15	8	8	5	9	27	17	5	8	12	13	7	8	11	12	15	14	6	15	18	15	38	61	5	13	13	10	9	8	11	17	14	8	17	19	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	1	0	1	1	0									
10	Число действительных избирательных бюллетеней	62478	1059	935	835	1064	1118	1079	988	1156	1202	1088	752	1203	1076	1013	586	1184	863	1328	849	874	964	1182	1283	813	700	841	853	1404	1592	940	896	902	893	817	964	1077	957	962	945	853	1559	1411	1194	1452	1330	972	1159	1117	1036	1099	925	958	1187	1197	1054	1223	1384	238	10	9	10	12	12	11	11	10	10	11	11	11	11	11	11	10	9	11	10	11	11	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	7	11	11	10	11	12	11	10	10	11	11	10	10	9	33	24	25	21	18	21	19	19	19	21	28	19	22	30	36	24	26	24	25	25	43	29	24	28	52	39	25	24	25	9	11	9	10	9	11	9	9	11	45	52	24	27	24	27	25	13	5	5	6	5	9	4	36	25	25	48	52	14	27	11	12									
11	Число утраченных избирательных бюллетеней	7	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																																																																				
