Выборы Президента Российской Федерации																																																																																																																																																																													
Дата голосования: 04.03.2012																																																																																																																																																																													
																																																																																																																																																																													
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №3																																																																																																																																																																													
																																																																																																																																																																													
Сводная таблица итогов голосования																																																																																																																																																																													
																																																																																																																																																																													
	Число участковых избирательных комиссий	167																																																																																																																																																																											
	Число участковых избирательных комиссий, приступивших к передаче сведений	162																																																																																																																																																																											
																																																																																																																																																																													
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №1858	УИК №1859	УИК №1860	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1879	УИК №1880	УИК №1881	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1996	УИК №1997	УИК №1998									
1	Число избирателей, включенных в список избирателей	154970	1796	1305	1456	2274	1575	2430	824	1936	2365	2045	1511	1620	2695	1718	1714	2172	2434	2056	1579	2097	2004	1908	2575	1748	2503	1644	2391	1692	1555	2525	1634	1952	2698	1117	1861	1758	1540	1778	941	1864	1762	2342	1607	1634	2139	2082	1987	1572	1928	2167	2017	2544	2052	2486	1900	2038	1925	2202	1721	2174	2496	2020	1965	1844	2199	2744	2353	2614	2393	2531	2055	2105	2620	2195	219	417	1202	11	10	10	26	11	11	11	10	9	12	12	3	11	11	11	12	11	11	10	11	12	11	11	11	11	11	11	10	11	11	10	10	11	10	10	12	56	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	11	11	25	25	25	50	48	35	32	21	26	27	26	25	35	48	42	31	33	28	31	25	27	320	692	677	502	940	909	26	24	24									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	132707	1500	1000	1200	1900	1200	2000	700	1500	1900	1700	1100	1300	2100	1400	1300	1800	2000	1800	1200	1600	1500	1500	2000	1500	2000	1300	1900	1400	1200	2000	1300	1500	2500	1000	1400	1400	1300	1400	1300	1500	1400	1800	1300	1300	2000	1700	1500	1200	1700	1700	1600	2500	1800	2000	1600	1600	1500	1700	1300	1700	2000	1800	1800	1800	2100	2500	2300	2500	2300	2500	2000	2000	2500	2000	250	1000	1800	11	10	10	26	11	11	11	10	9	12	12	11	11	11	11	12	11	11	10	11	12	11	11	11	11	11	11	10	11	11	10	10	11	10	10	12	56	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	11	11	25	25	25	50	48	36	32	21	26	29	26	25	35	48	45	31	33	30	32	25	27	400	800	600	500	1000	850	26	25	24									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	88033	848	718	717	1023	843	1331	375	856	1136	1155	799	864	1391	793	999	1033	1252	1124	825	1144	1167	1134	1383	1139	1441	971	1402	777	912	1459	916	1037	1312	668	999	982	936	1016	920	967	1076	991	923	959	1333	1222	1152	786	1101	1337	1190	2455	1144	1311	1113	1197	1107	1211	950	1249	1484	1113	1050	1203	1345	1499	1503	1875	1325	1614	1261	1306	1420	1256	0	314	232	11	10	10	26	11	11	11	10	9	12	12	3	11	11	10	12	11	11	10	11	12	11	11	11	11	11	11	10	11	11	9	10	11	10	10	12	40	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	11	11	25	25	25	50	48	34	32	21	26	27	26	24	34	48	42	31	33	28	31	25	27	320	621	449	68	737	99	26	24	24									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	6850	19	6	7	353	18	11	7	10	12	15	18	61	42	7	14	28	300	93	15	12	22	33	30	26	29	34	37	431	19	43	20	11	38	16	23	28	27	13	21	24	18	474	21	122	42	28	93	13	31	45	35	29	36	28	77	62	34	30	19	27	43	140	21	105	24	100	207	153	182	51	88	164	146	158	182	98	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	634	0	0	0									
6	Число погашенных избирательных бюллетеней	37827	633	276	479	524	339	658	318	634	752	530	283	375	667	600	287	739	448	583	360	444	311	333	587	335	530	295	461	192	269	498	364	452	1150	316	378	390	337	371	359	509	306	335	356	219	625	450	255	401	568	318	375	16	620	661	410	341	359	459	331	424	473	547	729	492	731	901	590	472	793	835	651	530	934	586	68	588	807	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	1	0	3	0	0	2	1	0	0	80	179	151	76	263	117	0	1	0									
