Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																										
Дата голосования: 18.09.2016																																																																																										
																																																																																										
"Наименование Избирательной комиссии:    Тюмень, Центральная"																																																																																										
																																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																										
																																																																																										
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	131275	1666	2055	2079	2092	1625	1604	1743	1461	2015	1786	2045	2085	2653	1435	1587	1992	2258	1836	1834	1496	1371	780	1503	1924	1901	1770	1925	1923	1852	1777	1905	1672	1278	1324	1054	905	946	1504	1780	2385	1654	2217	1946	1880	2063	2432	2494	1723	2142	1483	1300	1185	1567	2131	427	1259	1738	1627	1641	1246	1704	2008	2095	1536	1783	777	1395	1585	1851	2126	828	1423	1428	1263	1232	1658	1637	1700	265									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	123935	1580	1960	2010	2010	1590	1530	1710	1390	1930	1680	1880	1960	2300	1230	1430	1830	1840	1740	1620	1430	1310	760	1440	1830	1790	1710	1880	1820	1750	1700	1830	1590	1150	1290	1040	860	910	1460	1720	2290	1630	2110	1860	1820	1930	2340	2340	1610	2050	1430	1240	1100	1510	2010	390	1200	1660	1570	1570	1190	1640	1900	1970	1470	1720	740	1320	1550	1750	2030	760	1380	1370	1190	1110	1470	1360	1590	275									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	100141	1286	1508	1596	1667	1242	1255	1362	1170	1583	1396	1573	1475	2083	1083	1215	1502	1671	1432	1355	1159	1063	598	1128	1526	1448	1380	1482	1478	1334	1467	1517	1318	982	882	688	689	729	1160	1353	1843	1296	1698	1476	1482	1347	1591	1888	1487	1538	1145	991	936	1223	1662	295	951	1342	1296	1392	936	1212	1609	1530	1176	1403	571	1056	1345	1501	1583	459	1132	1044	942	985	1297	1262	1377	7									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1120	5	8	6	2	2	2	5	2	7	3	6	8	10	14	31	3	5	13	5	7	15	25	3	1	2	21	2	6	4	11	5	3	3	13	2	2	5	65	6	25	2	7	8	15	128	11	9	2	38	5	4	1	5	3	42	7	5	3	9	7	9	16	0	0	2	10	74	5	7	18	2	28	6	0	1	3	1	6	258									
6	Число погашенных избирательных бюллетеней	22674	289	444	408	341	346	273	343	218	340	281	301	477	207	133	184	325	164	295	260	264	232	137	309	303	340	309	396	336	412	222	308	269	165	395	350	169	176	235	361	422	332	405	376	323	455	738	443	121	474	280	245	163	282	345	53	242	313	271	169	247	419	275	440	294	315	159	190	200	242	429	299	220	320	248	124	170	97	207	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1120	5	8	6	2	2	2	5	2	7	3	6	8	10	14	31	3	5	13	5	7	15	25	3	1	2	21	2	6	4	11	5	3	3	13	2	2	5	65	6	25	2	7	8	15	128	11	9	2	38	5	4	1	5	3	42	7	5	3	9	7	9	16	0	0	2	10	74	5	7	18	2	28	6	0	1	3	1	6	258									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	100065	1286	1508	1596	1663	1242	1255	1357	1168	1583	1396	1573	1475	2083	1083	1215	1502	1671	1432	1350	1159	1063	598	1126	1526	1448	1380	1482	1478	1334	1467	1517	1318	982	882	688	689	729	1160	1347	1843	1294	1698	1476	1482	1347	1591	1888	1487	1534	1145	991	936	1223	1662	295	951	1332	1296	1386	936	1203	1609	1530	1176	1398	571	1056	1345	1501	1583	459	1132	1033	942	983	1294	1262	1377	7									
9	Число недействительных избирательных бюллетеней	608	13	20	0	0	13	0	14	12	2	3	16	4	0	11	13	15	2	0	14	12	11	6	11	15	0	1	0	0	14	15	15	3	10	2	20	2	2	12	14	0	0	9	15	15	10	46	0	1	13	12	10	2	11	0	2	3	1	2	1	2	12	2	2	12	14	1	13	7	16	0	7	10	11	10	1	0	0	15	3									
10	Число действительных избирательных бюллетеней	100577	1278	1496	1602	1665	1231	1257	1348	1158	1588	1396	1563	1479	2093	1086	1233	1490	1674	1445	1341	1154	1067	617	1118	1512	1450	1400	1484	1484	1324	1463	1507	1318	975	893	670	689	732	1213	1339	1868	1296	1696	1469	1482	1465	1556	1897	1488	1559	1138	985	935	1217	1665	335	955	1336	1297	1394	941	1200	1623	1528	1164	1386	580	1117	1343	1492	1601	454	1150	1028	932	983	1297	1263	1368	262									
