Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Черемшанская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  2770	УИК  2771	УИК  2772	УИК  2773	УИК  2774	УИК  2775	УИК  2776	УИК  2777	УИК  2778	УИК  2779	УИК  2780	УИК  2781	УИК  2782	УИК  2783	УИК  2784	УИК  2785	УИК  2786	УИК  2787	УИК  2788	УИК  2789	УИК  2790	УИК  2791	УИК  2792	УИК  2793	УИК  2794	УИК  2795	УИК  2796	УИК  2797	УИК  2798	УИК  2799	УИК  2800	УИК  2801	УИК  2802	УИК  2803					
1	"Число избирателей, внесенных в списки"	14752	456	252	109	651	531	153	193	396	138	349	401	251	968	212	365	236	225	398	506	183	422	777	523	417	427	526	856	857	1112	512	510	407	321	112					
2	"Число бюллетеней, полученных участковыми комиссиями"	14755	499	252	109	648	539	153	193	396	139	350	402	256	951	215	366	237	225	396	512	188	424	780	533	424	424	529	810	837	1098	510	510	407	329	114					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13677	455	237	85	547	486	135	168	396	137	347	391	231	877	198	365	193	203	357	493	175	384	773	480	350	416	394	803	794	1076	463	478	389	300	101					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	810	0	15	24	71	43	11	23	0	0	1	10	20	69	14	0	18	18	17	13	8	38	0	38	67	6	127	0	34	7	43	25	18	21	11					
6	Число погашенных бюллетеней	268	44	0	0	30	10	7	2	0	2	2	1	5	5	3	1	26	4	22	6	5	2	7	15	7	2	8	7	9	15	4	7	0	8	2					
7	Число бюллетеней в переносных ящиках для голосования	810	0	15	24	71	43	11	23	0	0	1	10	20	69	14	0	18	18	17	13	8	38	0	38	67	6	127	0	34	7	43	25	18	21	11					
8	Число бюллетеней в стационарных ящиках для голосования	13669	455	237	85	547	486	135	168	396	137	347	391	231	877	198	365	193	203	357	493	175	384	771	480	350	416	394	798	793	1076	463	478	389	300	101					
9	Число недействительных бюллетеней	320	14	6	6	20	18	5	26	0	2	5	5	0	12	0	0	1	4	22	4	0	8	3	4	4	0	1	14	14	48	9	35	0	19	11					
10	Число действительных бюллетеней	14159	441	246	103	598	511	141	165	396	135	343	396	251	934	212	365	210	217	352	502	183	414	768	514	413	422	520	784	813	1035	497	468	407	302	101					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	284	5	8	5	13	5	5	5	10	5	5	10	8	17	5	5	5	5	5	10	5	5	10	10	8	5	10	15	15	15	15	15	5	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	174	1	8	0	13	5	1	0	0	1	0	1	8	17	4	5	5	0	3	1	5	1	3	8	8	5	2	5	15	15	15	9	3	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	2	2	2	7	4	1	2	2	2	1	4	2	1	2	3	0	0	2	0	3	0	3	1	1	4	13	10	13	3	5	3	1	3	1					
14	Число погашенных открепительных удостоверений	110	4	0	5	0	0	4	5	10	4	5	9	0	0	1	0	0	5	2	9	0	4	7	2	0	0	8	10	0	0	0	6	2	5	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	123	0	2	0	18	0	1	3	0	4	6	1	0	8	1	0	5	0	8	5	0	1	10	2	0	0	0	10	12	3	9	13	0	0	1					
		0.84%	0.0%	0.79%	0.0%	2.91%	0.0%	0.68%	1.57%	0.0%	2.91%	1.72%	0.24%	0.0%	0.84%	0.47%	0.0%	2.36%	0.0%	2.13%	0.98%	0.0%	0.23%	1.29%	0.38%	0.0%	0.0%	0.0%	1.25%	1.45%	0.27%	1.77%	2.58%	0.0%	0.0%	0.89%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	50	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	3	0	0	0	0	16	10	3	5	7	0	0	0					
