Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																								
Дата голосования: 02.12.2007																								
																								
Наименование Избирательной комиссии:    Барышcкая городская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80									
1	Число избирателей, внесенных в списки избирателей	14657	1383	1460	1345	667	1045	1366	987	573	713	1309	780	1554	1475									
2	Число избирательных бюллетеней, полученных участковыми избирательными комиссиями	15020	1350	1500	1420	720	880	1400	1030	630	730	1390	850	1590	1530									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещениях для голосования	9107	945	929	876	454	692	780	572	366	453	749	463	1032	796									
5	Число избирательных бюллетеней, выданных избирателям вне помещений для голосования	670	53	61	33	12	86	65	35	21	34	68	46	55	101									
6	Число погашенных избирательных бюллетеней	5243	352	510	511	254	102	555	423	243	243	573	341	503	633									
7	Число избирательных бюллетеней в переносных ящиках для голосования	670	53	61	33	12	86	65	35	21	34	68	46	55	101									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9093	945	926	875	454	690	778	571	366	453	748	463	1030	794									
9	Число недействительных избирательных бюллетеней	103	8	0	10	4	1	6	7	6	2	36	5	5	13									
10	Число действительных избирательных бюллетеней	9660	990	987	898	462	775	837	599	381	485	780	504	1080	882									
11	Число открепительных удостоверений, полученных участковыми избирательными комиссиями	1310	100	130	120	70	100	100	100	70	70	100	120	130	100									
12	Число открепительных удостоверений, выданных избирателям на избирательных участках	1142	94	130	109	66	91	76	83	59	63	85	101	116	69									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках	653	108	81	41	17	173	25	30	12	43	18	25	61	19									
14	Число погашенных неиспользованных открепительных удостоверений	168	6	0	11	4	9	24	17	11	7	15	19	14	31									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	41	9	0	4	1	4	1	3	2	0	4	0	9	4									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
18	1.Политическая партия «Аграрная партия России»	110	15	7	15	13	12	7	8	8	4	2	5	9	5									
		1.13%	1.50%	0.71%	1.65%	2.79%	1.55%	0.83%	1.32%	2.07%	0.82%	0.25%	0.98%	0.83%	0.56%									
19	2.Всероссийская политическая партия «Гражданская Сила»	47	8	6	11	7	1	4	0	0	1	0	1	5	3									
		0.48%	0.80%	0.61%	1.21%	1.50%	0.13%	0.47%	0.00%	0.00%	0.21%	0.00%	0.20%	0.46%	0.34%									
20	3.Политическая партия «Демократическая партия России»	8	1	1	0	0	1	1	1	0	1	0	0	1	1									
		0.08%	0.10%	0.10%	0.00%	0.00%	0.13%	0.12%	0.17%	0.00%	0.21%	0.00%	0.00%	0.09%	0.11%									
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1013	112	130	83	38	61	57	46	48	43	61	49	164	121									
		10.38%	11.22%	13.17%	9.14%	8.15%	7.86%	6.76%	7.59%	12.40%	8.83%	7.48%	9.63%	15.12%	13.52%									
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	22	3	3	2	0	0	5	0	0	0	0	2	6	1									
		0.23%	0.30%	0.30%	0.22%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.39%	0.55%	0.11%									
23	6.Политическая партия «Партия социальной справедливости»	9	1	1	0	0	0	2	3	0	0	0	1	1	0									
		0.09%	0.10%	0.10%	0.00%	0.00%	0.00%	0.24%	0.50%	0.00%	0.00%	0.00%	0.20%	0.09%	0.00%									
24	7.Политическая партия «Либерально-демократическая партия России»	659	77	75	56	39	59	56	46	37	25	42	28	61	58									
		6.75%	7.72%	7.60%	6.17%	8.37%	7.60%	6.64%	7.59%	9.56%	5.13%	5.15%	5.50%	5.62%	6.48%									
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	657	73	72	89	63	54	72	34	29	10	34	23	72	32									
		6.73%	7.31%	7.29%	9.80%	13.52%	6.96%	8.54%	5.61%	7.49%	2.05%	4.17%	4.52%	6.64%	3.58%									
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	47	4	5	5	3	4	3	3	1	1	6	6	6	0									
		0.48%	0.40%	0.51%	0.55%	0.64%	0.52%	0.36%	0.50%	0.26%	0.21%	0.74%	1.18%	0.55%	0.00%									
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7051	694	681	629	297	579	629	458	256	399	631	386	751	661									
		72.22%	69.54%	68.99%	69.27%	63.73%	74.61%	74.61%	75.58%	66.15%	81.93%	77.33%	75.83%	69.22%	73.85%									
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	37	2	6	8	2	4	1	0	2	1	4	3	4	0									
		0.38%	0.20%	0.61%	0.88%	0.43%	0.52%	0.12%	0.00%	0.52%	0.21%	0.49%	0.59%	0.37%	0.00%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
