Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																										
																																																																										
"Наименование Избирательной комиссии:    Тюмень, Калининская"																																																																										
																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																										
																																																																										
		Сумма	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814					
1	"Число избирателей, внесенных в списки"	128315	1657	1599	1810	1576	1013	1475	882	1945	2289	2803	1938	1493	2351	2536	2717	2616	2066	2264	1456	1715	1179	1485	920	617	2138	2860	2187	1799	1151	1906	1738	2615	2819	2681	1437	1994	1447	1075	2139	1907	1310	2057	2019	1645	1601	2377	2510	1858	2318	2886	2457	2868	2705	2675	2688	2664	2327	2343	1679	952	587	1648	1540	1215	963	1897	2231					
2	"Число бюллетеней, полученных участковыми комиссиями"	116050	1550	1500	1650	1400	1000	1350	800	1750	2000	2550	1700	1350	2100	2300	2500	2400	1900	2050	1300	1600	1050	1250	850	550	2000	2600	2000	1650	1050	1750	1550	2050	2550	2400	1300	1800	1300	1000	2000	1750	1200	1850	1850	1500	1500	2150	2250	1650	2100	2600	2250	2550	2450	2400	2450	2400	2100	2100	1500	850	550	1500	1400	1100	900	1700	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	54477	259	795	1026	719	341	614	315	758	1229	1463	679	537	964	1153	1264	1213	1081	1233	552	789	365	491	384	241	616	795	886	652	524	979	877	1643	1248	1110	466	685	536	523	1010	624	413	958	798	568	538	943	1151	636	1155	1350	1192	1268	1021	928	1207	1051	1134	1025	523	403	262	740	585	761	282	999	947					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2194	1018	19	19	14	3	22	6	13	58	21	7	24	19	15	16	10	19	15	31	21	56	133	4	3	15	20	10	21	9	17	32	54	20	14	12	25	8	8	13	8	7	5	9	19	5	21	15	18	19	10	7	20	10	28	12	21	8	11	9	7	11	9	8	29	5	8	11					
6	Число погашенных бюллетеней	59377	273	686	605	667	656	714	479	979	713	1066	1014	789	1117	1132	1220	1177	800	802	717	790	628	626	462	306	1369	1784	1104	977	517	754	641	353	1282	1276	822	1090	756	469	977	1118	780	887	1043	913	957	1186	1084	996	926	1240	1051	1262	1419	1444	1231	1328	958	1064	968	440	277	751	807	310	613	693	1042					
7	Число бюллетеней в переносных ящиках для голосования	2194	1018	19	19	14	3	22	6	13	58	21	7	24	19	15	16	10	19	15	31	21	56	133	4	3	15	20	10	21	9	17	32	54	20	14	12	25	8	8	13	8	7	5	9	19	5	21	15	18	19	10	7	20	10	28	12	21	8	11	9	7	11	9	8	29	5	8	11					
8	Число бюллетеней в стационарных ящиках для голосования	54406	259	795	1026	715	341	614	315	757	1229	1463	677	537	964	1152	1264	1212	1081	1233	540	789	365	491	383	241	616	795	886	652	524	979	877	1643	1248	1109	466	688	535	523	1010	624	413	957	790	568	538	943	1151	636	1154	1350	1190	1264	1021	928	1196	1050	1134	1025	523	403	262	740	585	761	282	996	928					
9	Число недействительных бюллетеней	886	26	5	5	11	10	13	2	17	8	16	15	17	25	9	26	31	6	19	11	19	8	14	8	3	23	19	22	16	7	20	14	11	14	16	13	12	10	9	11	20	6	1	4	8	4	22	14	18	28	24	8	18	13	13	14	12	11	24	8	11	18	6	17	14	3	4	2					
10	Число действительных бюллетеней	55714	1251	809	1040	718	334	623	319	753	1279	1468	669	544	958	1158	1254	1191	1094	1229	560	791	413	610	379	241	608	796	874	657	526	976	895	1686	1254	1107	465	701	533	522	1012	612	414	961	795	579	539	942	1152	636	1145	1336	1189	1266	1018	943	1194	1059	1131	1012	524	399	255	743	576	776	284	1000	937					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1825	25	25	25	25	25	25	25	25	175	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	521	1	4	16	7	3	6	1	2	164	12	8	3	1	6	10	5	13	10	4	6	4	4	1	1	4	2	6	2	3	16	9	8	3	6	0	1	6	5	9	2	3	8	3	3	8	11	8	0	8	11	5	4	9	2	11	14	11	4	5	2	0	1	0	2	1	7	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	598	1	11	8	16	2	26	2	4	9	8	7	1	4	3	2	4	9	1	1	1	5	6	6	3	1	0	4	3	2	0	3	194	9	3	1	3	1	9	2	1	0	2	7	2	3	3	4	5	3	8	3	2	7	5	2	4	6	10	29	3	1	4	2	93	3	7	4					
14	Число погашенных открепительных удостоверений	1304	24	21	9	18	22	19	24	23	11	13	17	22	24	19	15	20	12	15	21	19	21	21	24	24	21	23	19	23	22	9	16	17	22	19	25	24	19	20	16	23	22	17	22	22	17	14	17	25	17	14	20	21	16	23	14	11	14	21	20	23	25	24	25	23	24	18	19					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
18	"1. ""ЕДИНЕНИЕ"""	805	27	13	16	5	1	3	8	11	31	10	16	8	13	14	9	20	15	15	9	12	12	6	2	2	13	24	12	16	11	12	11	21	18	16	7	13	4	5	13	10	7	9	8	5	9	13	16	13	13	13	18	17	13	9	18	14	25	8	9	2	5	13	13	15	3	15	18					
		1.42%	2.11%	1.59%	1.53%	0.68%	0.29%	0.47%	2.49%	1.42%	2.40%	0.67%	2.33%	1.42%	1.32%	1.19%	0.70%	1.63%	1.36%	1.20%	1.57%	1.48%	2.85%	0.96%	0.51%	0.81%	2.06%	2.94%	1.33%	2.37%	2.06%	1.20%	1.21%	1.23%	1.41%	1.42%	1.46%	1.82%	0.73%	0.94%	1.27%	1.58%	1.66%	0.93%	1.00%	0.85%	1.65%	1.34%	1.37%	1.98%	1.10%	0.95%	1.50%	1.32%	1.26%	0.94%	1.49%	1.30%	2.18%	0.77%	1.69%	0.48%	1.83%	1.73%	2.19%	1.89%	1.04%	1.49%	1.91%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1968	29	57	50	40	26	18	9	40	28	54	23	7	38	75	41	48	33	38	13	17	4	13	6	5	15	18	22	13	15	32	25	20	49	48	14	20	21	17	39	15	9	52	27	15	28	30	31	24	34	65	45	33	26	36	77	40	54	33	13	10	4	24	17	8	8	65	65					
		3.47%	2.27%	7.00%	4.78%	5.48%	7.55%	2.83%	2.80%	5.19%	2.17%	3.63%	3.36%	1.24%	3.86%	6.42%	3.20%	3.92%	3.0%	3.04%	2.27%	2.09%	0.95%	2.08%	1.55%	2.04%	2.37%	2.20%	2.45%	1.93%	2.81%	3.21%	2.75%	1.17%	3.86%	4.27%	2.92%	2.80%	3.86%	3.20%	3.81%	2.37%	2.14%	5.40%	3.37%	2.55%	5.15%	3.11%	2.65%	3.66%	2.89%	4.77%	3.75%	2.57%	2.52%	3.76%	6.37%	3.73%	4.72%	3.18%	2.44%	2.43%	1.46%	3.20%	2.86%	1.01%	2.78%	6.47%	6.92%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1118	22	11	12	11	5	25	3	12	7	44	21	6	16	15	21	31	27	28	20	15	5	18	8	4	20	20	18	13	13	32	26	5	21	28	8	28	10	11	25	17	9	15	20	13	8	22	27	10	20	24	22	24	20	20	20	24	22	14	16	12	10	18	9	18	3	9	7					
		1.97%	1.72%	1.35%	1.14%	1.50%	1.45%	3.93%	0.93%	1.55%	0.54%	2.96%	3.07%	1.06%	1.62%	1.28%	1.64%	2.53%	2.45%	2.24%	3.50%	1.85%	1.18%	2.88%	2.06%	1.63%	3.16%	2.45%	2.00%	1.93%	2.43%	3.21%	2.86%	0.29%	1.65%	2.49%	1.67%	3.92%	1.84%	2.07%	2.44%	2.68%	2.14%	1.55%	2.50%	2.21%	1.47%	2.28%	2.31%	1.52%	1.70%	1.76%	1.83%	1.86%	1.93%	2.09%	1.65%	2.24%	1.92%	1.35%	3.00%	2.92%	3.66%	2.40%	1.51%	2.27%	1.04%	0.89%	0.74%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2298	37	57	65	45	18	31	9	38	29	99	22	25	32	69	60	38	66	58	24	30	8	20	8	16	18	17	47	22	28	31	33	34	63	51	18	18	16	21	34	14	13	52	43	14	19	31	43	18	47	66	54	44	46	40	65	38	65	56	16	7	4	31	13	6	5	47	46					
