Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Ачинская городская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №2146	УИК №2151	УИК №2152	УИК №2153	УИК №2155	УИК №2156	УИК №2157	УИК №2158									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	82373	2260	1915	2351	2292	2201	958	2273	1816	1537	944	1853	2071	2273	2575	2279	2438	2303	2015	1406	1155	1022	2046	2253	950	1018	2418	2226	2391	2574	2754	2378	2010	2097	1891	2432	2015	2642	1204	1056	1340	1005	236	1688	1529	52	31	14	54	132									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81319	2250	1900	2350	2300	2200	950	2100	1800	1500	900	1800	2050	2250	2500	2200	2400	2300	2000	1400	1150	1000	2000	2250	950	1000	2400	2200	2400	2550	2750	2350	2000	2100	1850	2400	2000	2600	1200	1050	1350	990	240	1600	1500	55	30	14	55	135									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25701	555	501	618	768	697	168	690	356	389	216	455	613	805	1071	946	847	819	735	486	456	330	720	700	286	326	772	819	780	787	850	461	507	669	606	783	624	780	319	280	276	387	236	543	503	11	16	7	0	132									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	533	1	6	6	3	19	6	12	9	1	3	6	13	13	6	22	13	19	16	7	7	5	12	38	5	4	5	16	25	8	6	8	10	6	13	18	5	10	13	6	1	4	0	3	19	39	14	6	46	0									
6	Число погашенных избирательных бюллетеней	55085	1694	1393	1726	1529	1484	776	1398	1435	1110	681	1339	1424	1432	1423	1232	1540	1462	1249	907	687	665	1268	1512	659	670	1623	1365	1595	1755	1894	1881	1483	1425	1231	1599	1371	1810	868	764	1073	599	4	1054	978	5	0	1	9	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	533	1	6	6	3	19	6	12	9	1	3	6	13	13	6	22	13	19	16	7	7	5	12	38	5	4	5	16	25	8	6	8	10	6	13	18	5	10	13	6	1	4	0	3	19	39	14	6	46	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25646	554	501	618	768	696	168	690	356	389	216	455	613	803	1071	946	847	818	735	479	453	330	720	697	286	326	772	818	780	787	850	461	507	669	581	783	624	770	319	279	276	387	236	543	503	11	16	7	0	132									
9	Число недействительных избирательных бюллетеней	789	18	25	16	13	24	7	31	5	11	5	7	21	23	24	26	22	32	33	16	20	7	19	25	7	9	14	27	32	16	20	28	7	17	17	27	22	18	19	12	11	9	9	17	17	0	1	1	0	2									
10	Число действительных избирательных бюллетеней	25390	537	482	608	758	691	167	671	360	379	214	454	605	793	1053	942	838	805	718	470	440	328	713	710	284	321	763	807	773	779	836	441	510	658	577	774	607	762	313	273	266	382	227	529	505	50	29	12	46	130									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1885	55	45	55	55	50	20	50	40	35	20	40	50	55	60	55	55	55	50	30	30	25	45	55	20	20	55	55	55	60	60	55	45	50	45	55	45	60	25	25	30	20	0	40	35	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	341	4	8	6	8	10	5	5	4	7	4	4	9	14	25	19	8	14	6	5	10	6	7	7	6	3	6	13	16	16	10	5	4	9	8	11	7	13	1	3	1	3	0	4	7	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	212	6	4	0	5	13	3	6	4	4	3	6	6	15	7	9	6	5	5	3	5	3	9	2	2	4	6	9	4	3	7	5	3	4	1	4	3	4	3	2	2	5	0	8	0	1	2	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	1544	51	37	49	47	40	15	45	36	28	16	36	41	41	35	36	47	41	44	25	20	19	38	48	14	17	49	42	39	44	50	50	41	41	37	44	38	47	24	22	29	17	0	36	28	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	80	1	0	2	2	5	0	2	3	0	0	3	0	4	2	3	4	0	2	1	1	0	2	2	0	1	3	2	0	2	4	3	0	2	3	2	5	3	0	2	3	2	0	3	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
