Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
Наименование Избирательной комиссии:    Егорьевская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495					
1	"Число избирателей, внесенных в списки избирателей"	81987	1763	578	2340	1566	990	1330	1105	2471	1392	2335	1988	986	1259	1584	2398	2409	2916	1651	2190	2178	1461	1557	2437	1605	2099	1483	2174	2283	2323	2025	922	369	521	713	2488	275	2373	495	436	299	1355	1539	127	530	776	533	609	977	408	1027	704	244	2300	890	1130	1150	351	937	430	99	200	1791	113					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	78064	1642	536	2195	1493	954	1169	1069	2328	1340	2236	1900	922	1188	1380	2315	2341	2787	1415	2087	2082	1409	1494	2384	1531	2035	1480	2112	2199	2234	1954	844	371	527	669	2399	251	2301	505	418	290	1310	1495	105	498	772	502	598	949	373	973	676	221	2192	820	1096	993	326	924	410	83	177	1685	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	40262	783	268	962	534	509	653	519	1209	594	1213	852	416	649	837	1359	1142	1555	739	1032	987	673	792	1269	784	968	686	1061	1122	1192	950	465	369	521	275	1083	60	1151	295	219	121	624	820	44	225	401	264	341	567	108	556	347	128	1330	381	485	453	178	502	289	46	67	1173	65					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	7059	40	48	146	172	112	87	59	119	79	106	92	137	61	43	112	90	27	131	112	83	46	77	23	50	87	65	125	125	122	188	23	0	0	85	409	102	157	39	65	76	164	304	51	126	178	134	88	76	207	137	118	72	192	281	274	477	52	185	25	23	49	105	21					
6	Число погашенных избирательных бюллетеней	30743	819	220	1087	787	333	429	491	1000	667	917	956	369	478	500	844	1109	1205	545	943	1012	690	625	1092	697	980	729	926	952	920	816	356	2	6	309	907	89	993	171	134	93	522	371	10	147	193	104	169	306	58	280	211	21	670	158	337	63	96	237	96	14	61	407	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7059	40	48	146	172	112	87	59	119	79	106	92	137	61	43	112	90	27	131	112	83	46	77	23	50	87	65	125	125	122	188	23	0	0	85	409	102	157	39	65	76	164	304	51	126	178	134	88	76	207	137	118	72	192	281	274	477	52	185	25	23	49	105	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	40254	783	268	962	534	509	653	519	1209	594	1210	852	416	649	837	1359	1142	1555	739	1032	986	673	792	1269	784	968	686	1061	1122	1192	950	464	369	521	275	1083	60	1148	295	219	121	624	820	44	225	401	264	341	567	108	556	347	128	1330	381	485	453	178	502	289	46	67	1173	65					
9	Число недействительных избирательных бюллетеней	486	6	4	15	7	6	6	4	7	10	19	8	3	10	13	7	14	11	4	10	15	10	5	21	11	13	16	17	12	9	10	8	6	10	3	13	0	23	2	2	1	15	23	0	1	4	1	7	4	0	4	5	2	14	9	6	5	2	3	1	1	1	6	1					
10	Число действительных избирательных бюллетеней	46827	817	312	1093	699	615	734	574	1321	663	1297	936	550	700	867	1464	1218	1571	866	1134	1054	709	864	1271	823	1042	735	1169	1235	1305	1128	479	363	511	357	1479	162	1282	332	282	196	773	1101	95	350	575	397	422	639	315	689	460	198	1508	653	753	925	228	684	313	68	115	1272	85					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2081	35	15	50	35	25	35	35	35	35	55	35	15	35	35	55	75	75	35	40	40	35	35	55	35	40	35	40	40	45	45	15	0	0	25	45	10	51	100	10	10	30	35	10	15	40	35	35	35	10	30	15	10	105	15	35	30	10	35	20	10	10	35	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1910	35	15	50	34	25	28	29	35	35	55	35	14	22	35	55	75	75	29	40	40	33	35	55	35	40	35	40	40	45	44	15	0	0	19	44	3	51	100	10	10	30	35	0	15	40	35	34	33	0	30	15	2	105	3	35	12	4	35	18	2	2	10	0					
