Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Чертковская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27418	989	864	1047	911	725	928	434	1362	853	939	1193	329	176	478	209	222	531	730	558	841	684	320	320	784	591	610	559	556	436	1161	587	533	1140	574	492	700	641	871	432	567	371	170									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25320	900	800	900	900	600	800	400	1100	800	800	1100	300	160	450	200	200	500	700	500	800	700	300	300	700	550	500	500	500	400	1100	550	500	1100	600	500	650	600	850	400	550	390	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18400	801	427	722	726	493	688	366	995	707	331	853	271	144	313	158	174	337	514	413	568	540	246	261	538	333	348	304	361	169	896	443	427	463	266	253	401	443	726	275	337	223	146									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2083	21	5	32	26	11	18	27	85	14	17	81	27	15	55	33	12	30	35	62	30	21	0	2	67	79	58	44	80	80	120	40	19	118	100	111	125	38	22	60	139	109	15									
6	Число погашенных избирательных бюллетеней	4837	78	368	146	148	96	94	7	20	79	452	166	2	1	82	9	14	133	151	25	202	139	54	37	95	138	94	152	59	151	84	67	54	519	234	136	124	119	102	65	74	58	9									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2083	21	5	32	26	11	18	27	85	14	17	81	27	15	55	33	12	30	35	62	30	21	0	2	67	79	58	44	80	80	120	40	19	118	100	111	125	38	22	60	139	109	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18400	801	427	722	726	493	688	366	995	707	331	853	271	144	313	158	174	337	514	413	568	540	246	261	538	333	348	304	361	169	896	443	427	463	266	253	401	443	726	275	337	223	146									
9	Число недействительных избирательных бюллетеней	187	1	7	3	3	8	11	1	3	6	10	3	2	0	6	0	0	4	0	0	13	18	0	1	9	2	10	10	1	3	10	1	2	9	0	6	6	1	5	2	6	4	0									
10	Число действительных избирательных бюллетеней	20296	821	425	751	749	496	695	392	1077	715	338	931	296	159	362	191	186	363	549	475	585	543	246	262	596	410	396	338	440	246	1006	482	444	572	366	358	520	480	743	333	470	328	161									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	906	31	30	20	30	20	30	21	30	30	30	30	20	20	22	10	10	20	20	20	20	20	10	10	21	20	20	20	21	20	30	20	20	30	20	20	20	20	30	20	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	298	15	5	1	0	2	7	7	9	4	3	6	14	4	6	1	0	4	2	0	1	20	0	0	5	4	6	10	20	5	30	1	0	7	20	20	0	4	8	0	20	20	7									
