Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Жигулевская городская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023					
1	"Число избирателей, внесенных в список"	47677	2496	2415	2197	2108	1724	1377	1519	2143	1844	1749	2000	479	1863	2140	2042	2341	2595	2323	2596	2535	1392	1706	116	1426	140	1107	924	380					
2	Число полученных избирательных бюллетеней	42500	2300	2200	2000	1900	1500	1200	1300	1900	1600	1600	1700	450	1600	1900	1800	2100	2300	2100	2300	2200	1300	1600	140	1200	150	1000	800	360					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24230	1270	1300	1181	1142	970	780	926	1140	852	809	932	217	1023	1099	1057	1187	1284	991	1225	1120	639	785	71	796	140	510	560	224					
5	"Число избирательных бюллетеней, выданных вне помещения"	2151	80	108	53	79	48	50	38	98	95	90	176	40	73	96	56	37	57	96	77	174	86	70	22	109	0	109	74	60					
6	Число погашенных избирательных бюллетеней	16119	950	792	766	679	482	370	336	662	653	701	592	193	504	705	687	876	959	1013	998	906	575	745	47	295	10	381	166	76					
7	Число избирательных бюллетеней в переносных ящиках	2151	80	108	53	79	48	50	38	98	95	90	176	40	73	96	56	37	57	96	77	174	86	70	22	109	0	109	74	60					
8	Число бюллетеней в стационарных ящиках для голосования	24211	1270	1300	1180	1142	970	780	920	1140	850	809	932	217	1023	1098	1051	1187	1284	991	1225	1120	639	785	71	796	140	507	560	224					
9	Число недействительных избирательных бюллетеней	323	12	18	18	15	11	8	3	14	17	10	14	1	14	15	8	25	20	8	9	20	11	10	0	11	0	10	14	7					
10	Число действительных избирательных бюллетеней	26039	1338	1390	1215	1206	1007	822	955	1224	928	889	1094	256	1082	1179	1099	1199	1321	1079	1293	1274	714	845	93	894	140	606	620	277					
11	Число полученных открепительных  удостоверений	760	35	35	35	35	25	25	25	35	25	25	25	15	25	35	35	35	35	35	35	35	25	25	5	25	0	30	25	15					
12	Число выданных открепительных удостоверений	361	14	13	19	22	21	13	8	20	15	10	25	6	7	16	14	24	10	18	12	16	9	17	2	6	0	10	13	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	262	3	2	20	15	6	7	5	10	5	5	62	3	8	14	4	8	10	5	8	10	5	10	10	7	0	10	4	6					
14	Число неиспользованных открепительных удостоверений	399	21	22	16	13	4	12	17	15	10	15	0	9	18	19	21	11	25	17	23	19	16	8	3	19	0	20	12	14					
15	"Число открепительных удостоверений, выданных в ТИК"	21	0	1	3	0	2	1	2	1	1	0	2	0	3	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	1328	61	48	60	75	78	58	51	81	49	32	77	11	45	71	84	58	62	60	67	58	37	32	3	31	0	23	14	2					
