Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
"Наименование Избирательной комиссии:    Иваново, Фрунзенская"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187					
1	"Число избирателей, внесенных в список избирателей"	87874	2130	2234	2021	1763	1594	1938	1991	1964	2205	2244	2225	1475	2315	2302	1225	2327	2342	2162	1724	1786	1689	1768	2332	2014	1974	1956	2097	2348	2330	1783	1602	1667	1561	1992	1800	1830	2247	1877	2899	2220	1737	2101	1937	1786	180	163	17					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	87500	2140	2250	2020	1740	1590	1920	1960	1990	2190	2240	2250	1450	2330	2310	1230	2290	2330	2170	1730	1840	1680	1770	2330	1990	1910	1970	2110	2350	2330	1790	1590	1660	1560	1880	1790	1840	2240	1870	2520	2100	1700	2080	1920	1770	230	350	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	41581	1041	1055	1035	835	783	961	924	1104	1112	1267	1237	836	895	1042	510	959	818	969	723	876	782	761	1165	944	1096	969	1070	1088	1148	719	665	686	665	1030	706	675	1242	900	1867	1201	743	730	733	770	104	123	17					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2785	53	60	36	51	54	47	29	34	46	25	32	31	100	77	78	55	60	84	43	23	42	47	26	62	36	49	51	45	77	61	44	87	65	74	106	125	23	63	96	86	60	140	103	85	75	39	0					
6	Число погашенных избирательных бюллетеней	43134	1046	1135	949	854	753	912	1007	852	1032	948	981	583	1335	1191	642	1276	1452	1117	964	941	856	962	1139	984	778	952	989	1217	1105	1010	881	887	830	776	978	1040	975	907	557	813	897	1210	1084	915	51	188	183					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2785	53	60	36	51	54	47	29	34	46	25	32	31	100	77	78	55	60	84	43	23	42	47	26	62	36	49	51	45	77	61	44	87	65	74	106	125	23	63	96	86	60	140	103	85	75	39	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41554	1041	1052	1035	831	783	961	924	1104	1111	1263	1236	836	892	1042	510	959	818	969	723	875	782	761	1164	944	1093	967	1070	1088	1148	719	663	686	665	1030	706	675	1241	900	1867	1201	742	730	733	770	104	123	17					
9	Число недействительных избирательных бюллетеней	660	14	17	15	10	12	16	9	13	17	18	19	12	20	10	4	13	19	17	7	20	12	16	19	14	9	10	17	14	19	17	2	13	8	70	14	7	9	10	30	14	16	16	11	8	2	0	1					
10	Число действительных избирательных бюллетеней	43679	1080	1095	1056	872	825	992	944	1125	1140	1270	1249	855	972	1109	584	1001	859	1036	759	878	812	792	1171	992	1120	1006	1104	1119	1206	763	705	760	722	1034	798	793	1255	953	1933	1273	786	854	825	847	177	162	16					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1320	42	23	29	20	30	20	20	40	30	40	40	40	34	30	20	20	30	30	20	60	20	40	40	41	20	35	40	35	31	30	25	20	30	25	30	30	50	30	30	20	20	20	20	20	0	0	0					
