Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Тарская																																																																																								
																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																								
																																																																																								
		Сумма	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998					
1	"Число избирателей, внесенных в списки"	36634	681	864	1159	162	1468	1137	683	1192	131	108	1540	1013	1175	1511	786	1051	1739	1306	977	855	1099	463	315	199	68	56	98	309	108	41	18	433	132	59	726	212	274	356	705	136	1179	436	391	333	89	25	576	164	331	137	138	133	169	131	482	112	209	359	178	42	311	61	255	118	220	105	76	552	173	578	92	680	133	397	123	645	479	315	102	205	55					
2	"Число бюллетеней, полученных участковыми комиссиями"	34770	620	760	1000	160	1300	1000	600	1000	200	150	1400	900	1000	1300	700	900	1500	1000	800	700	900	470	320	200	70	60	100	320	120	50	25	450	150	70	730	220	280	360	710	140	1160	450	400	370	110	30	580	170	360	140	150	140	200	150	510	120	220	370	180	45	500	70	300	130	230	110	90	570	190	600	110	700	150	410	130	670	500	320	110	220	70					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21737	250	356	644	107	644	621	322	511	131	107	757	465	607	822	320	519	812	601	529	503	569	374	242	186	65	50	98	220	97	32	18	290	87	50	524	158	201	245	484	109	588	239	283	261	89	25	439	141	268	84	116	115	139	96	350	85	148	293	169	42	246	49	255	116	148	82	72	375	138	311	90	390	89	233	61	505	352	221	82	170	55					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1614	22	30	50	0	49	17	57	32	0	0	23	24	33	54	27	39	21	19	61	16	14	8	25	0	0	0	0	34	0	5	0	71	37	4	20	15	24	16	4	0	50	62	86	14	0	0	52	3	13	0	13	0	0	0	31	13	14	21	0	0	65	0	0	0	30	11	1	44	16	17	0	54	10	45	42	29	20	0	0	7	0					
6	Число погашенных бюллетеней	11419	348	374	306	53	607	362	221	457	69	43	620	411	360	424	353	342	667	380	210	181	317	88	53	14	5	10	2	66	23	13	7	89	26	16	186	47	55	99	222	31	522	149	31	95	21	5	89	26	79	56	21	25	61	54	129	22	58	56	11	3	189	21	45	14	52	17	17	151	36	272	20	256	51	132	27	136	128	99	28	43	15					
7	Число бюллетеней в переносных ящиках для голосования	1584	22	30	50	0	49	17	57	32	0	0	23	24	33	54	27	39	21	19	61	16	14	8	25	0	0	0	0	34	0	5	0	71	37	4	20	15	24	16	4	0	50	62	86	14	0	0	52	3	13	0	13	0	0	0	31	13	14	21	0	0	65	0	0	0	0	11	1	44	16	17	0	54	10	45	42	29	20	0	0	7	0					
8	Число бюллетеней в стационарных ящиках для голосования	21766	250	356	644	107	644	621	322	511	131	107	757	465	607	822	320	519	812	601	529	503	569	374	242	186	65	50	98	220	97	32	18	290	87	50	524	158	201	245	484	109	588	239	283	261	89	25	439	141	268	84	116	115	139	96	350	85	148	293	169	42	246	49	255	116	178	82	72	375	138	311	90	390	89	233	61	505	352	221	81	170	55					
9	Число недействительных бюллетеней	296	5	4	4	4	11	7	6	8	0	0	7	10	3	3	12	10	17	7	6	0	5	10	2	5	0	0	0	0	0	1	0	0	0	0	8	7	3	4	9	1	7	6	1	8	0	1	2	0	5	0	0	4	8	0	10	3	4	1	3	0	2	2	1	0	1	1	0	5	4	3	0	9	1	6	0	10	3	0	5	1	0					
10	Число действительных бюллетеней	23054	267	382	690	103	682	631	373	535	131	107	773	479	637	873	335	548	816	613	584	519	578	372	265	181	65	50	98	254	97	36	18	361	124	54	536	166	222	257	479	108	631	295	368	267	89	24	489	144	276	84	129	111	131	96	371	95	158	313	166	42	309	47	254	116	177	92	73	414	150	325	90	435	98	272	103	524	369	221	76	176	55					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	570	7	7	7	7	7	7	7	7	0	0	7	7	12	9	7	7	17	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	86	0	1	3	0	3	5	1	1	0	0	5	4	6	8	0	1	11	7	1	4	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	72	0	2	0	1	2	0	1	1	11	0	0	0	1	3	5	3	1	3	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	7	1	2	0	2	0	0	3	0	0	0	0	0	3	0	2	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	484	7	6	4	7	4	2	6	6	0	0	2	3	6	1	7	6	6	0	6	3	1	5	6	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	4	6	7	7	7	7	7	7	4	7	7	7	7	7	5	7	7	7	7	6	7	7	6	7	7	5	7	7	7	6	7	7	7	6	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																								
18	"1. ""ЕДИНЕНИЕ"""	482	2	7	10	4	6	19	10	9	5	3	8	6	6	10	5	4	6	11	12	11	11	3	11	1	5	0	4	3	4	0	0	13	1	2	7	6	4	4	26	1	22	6	3	4	1	0	15	5	9	3	6	0	10	1	10	7	1	15	8	0	6	2	6	0	4	4	0	15	3	11	0	9	2	5	3	13	7	2	3	1	0					
