Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Дрожжановская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18404	235	593	80	425	441	257	477	110	215	1186	708	1054	356	234	576	533	79	594	320	472	524	281	694	320	575	262	546	804	132	205	210	280	737	102	317	1100	1525	845									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18788	249	624	80	440	465	258	485	111	215	1198	711	1074	355	233	608	561	82	608	337	474	539	279	696	322	587	270	557	795	130	201	209	280	758	104	319	1118	1570	886									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17613	224	573	70	393	422	252	465	103	201	1160	692	1031	351	222	554	517	79	562	297	458	508	271	673	310	555	257	533	775	128	196	209	279	719	101	305	1024	1350	794									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	437	6	10	9	26	13	2	6	4	8	10	6	9	0	8	9	12	0	23	21	6	7	5	12	7	18	3	10	13	2	5	0	0	10	0	5	35	76	41									
6	Число погашенных избирательных бюллетеней	738	19	41	1	21	30	4	14	4	6	28	13	34	4	3	45	32	3	23	19	10	24	3	11	5	14	10	14	7	0	0	0	1	29	3	9	59	144	51									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	437	6	10	9	26	13	2	6	4	8	10	6	9	0	8	9	12	0	23	21	6	7	5	12	7	18	3	10	13	2	5	0	0	10	0	5	35	76	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17613	224	573	70	393	422	252	465	103	201	1160	692	1031	351	222	554	517	79	562	297	458	508	271	673	310	555	257	533	775	128	196	209	279	719	101	305	1024	1350	794									
9	Число недействительных избирательных бюллетеней	18	0	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	7									
10	Число действительных избирательных бюллетеней	18032	230	583	79	419	435	254	471	107	209	1167	697	1040	349	230	563	529	79	585	318	464	515	276	685	317	573	260	543	788	130	201	209	279	724	101	310	1059	1426	828									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	559	8	16	2	10	12	6	10	5	6	30	18	25	10	8	17	14	2	15	17	10	15	7	18	8	12	7	12	22	3	5	6	8	18	4	10	60	73	30									
