Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																	
Дата голосования: 04.12.2011																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Борская																																																																																																	
																																																																																																	
Сводная таблица результатов выборов																																																																																																	
																																																																																																	
		Сумма	УИК №191	УИК №246	УИК №247	УИК №293	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №403	УИК №774	УИК №806	УИК №807	УИК №808	УИК №963	УИК №964	УИК №2501					
1	"Число избирателей, внесенных в список избирателей"	97743	1304	993	1250	1197	1463	1350	1377	1409	1476	1583	1527	1518	1394	1277	1289	1029	1131	1112	1563	1361	1175	1243	1200	1305	1370	935	1312	1509	1285	1191	1130	1106	1398	192	348	1213	1198	1119	1507	1327	993	1229	1703	1042	664	904	1089	1147	1095	756	292	951	965	911	1208	1504	1189	930	511	989	1028	1241	1397	510	541	1621	1684	295	562	699	690	298	574	1466	1710	1186	505	356	514	667	694	1244	946	995	1180	1100	1426	1074	1000	802					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	93250	1200	950	1200	1050	1400	1300	1300	1350	1400	1450	1450	1400	1300	1250	1200	1000	1000	1000	1450	1250	1100	1200	1100	1200	1300	900	1300	1400	1200	1100	1050	1100	1300	200	500	1100	1100	1000	1300	1250	900	1200	1650	1000	650	850	1050	1000	1100	700	300	900	900	900	1200	1300	1000	900	550	1000	1000	1200	1400	500	550	1500	1600	300	900	700	700	350	700	1350	1650	1200	550	450	550	650	700	1050	850	900	1100	1000	1300	1000	1050	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	44567	684	608	514	588	811	660	680	732	703	886	747	724	609	599	663	380	508	462	657	678	721	614	617	654	668	401	648	859	539	491	478	581	728	103	263	667	458	395	887	723	419	513	825	405	157	147	467	450	412	193	78	369	455	355	383	696	250	438	228	349	228	512	803	234	148	479	701	156	473	222	267	151	328	636	766	729	215	126	182	200	321	512	387	453	817	489	618	512	450	475					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	10965	51	105	55	206	30	33	41	74	85	83	50	132	61	244	68	112	137	207	131	92	94	68	19	91	71	125	107	64	80	127	132	122	72	89	63	89	89	83	61	12	67	82	70	169	209	524	138	229	206	265	104	165	92	164	180	145	326	182	83	186	230	226	116	54	32	339	252	98	66	249	147	44	29	103	80	257	169	161	163	69	60	113	19	66	39	102	145	106	182	8					
6	Число погашенных избирательных бюллетеней	37718	465	237	631	256	559	607	579	544	612	481	653	544	630	407	469	508	355	331	662	480	285	518	464	455	561	374	545	477	581	482	440	397	500	8	174	344	553	522	352	515	414	605	755	426	284	179	445	321	482	242	118	366	353	381	637	459	424	280	239	465	542	462	481	212	370	682	647	46	361	229	286	155	343	611	804	214	166	163	205	381	319	425	444	381	244	409	537	382	418	367					
7	Число избирательных бюллетеней в переносных ящиках для голосования	10965	51	105	55	206	30	33	41	74	85	83	50	132	61	244	68	112	137	207	131	92	94	68	19	91	71	125	107	64	80	127	132	122	72	89	63	89	89	83	61	12	67	82	70	169	209	524	138	229	206	265	104	165	92	164	180	145	326	182	83	186	230	226	116	54	32	339	252	98	66	249	147	44	29	103	80	257	169	161	163	69	60	113	19	66	39	102	145	106	182	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	44563	684	608	514	588	811	660	680	732	703	886	746	724	609	599	663	380	508	462	657	678	721	614	617	654	668	401	648	859	539	491	478	581	728	103	263	667	457	395	887	723	419	513	825	405	157	147	467	449	412	193	78	369	455	355	383	696	250	438	228	349	228	511	803	234	148	479	701	156	473	222	267	151	328	636	766	729	215	126	182	200	321	512	387	453	817	489	618	512	450	475					
9	Число недействительных избирательных бюллетеней	621	6	11	9	3	16	8	11	11	15	6	20	2	5	0	10	14	6	10	12	16	1	3	7	2	6	4	11	10	12	4	4	0	6	7	0	7	11	8	8	10	6	14	20	9	3	2	12	4	5	3	0	2	2	7	6	13	8	6	1	3	5	8	5	2	2	8	17	0	12	0	4	0	6	6	10	5	3	3	2	1	3	13	9	25	9	5	6	0	6	8					
10	Число действительных избирательных бюллетеней	54907	729	702	560	791	825	685	710	795	773	963	776	854	665	843	721	478	639	659	776	754	814	679	629	743	733	522	744	913	607	614	606	703	794	185	326	749	535	470	940	725	480	581	875	565	363	669	593	674	613	455	182	532	545	512	557	828	568	614	310	532	453	729	914	286	178	810	936	254	527	471	410	195	351	733	836	981	381	284	343	268	378	612	397	494	847	586	757	618	626	475					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	995	13	10	10	16	10	15	10	15	15	13	10	10	9	10	15	15	10	20	14	10	10	20	15	10	20	10	13	20	15	18	15	14	21	0	0	10	20	10	10	10	17	10	28	10	6	6	10	10	10	6	2	6	10	7	10	10	10	10	5	15	10	20	10	5	5	10	15	3	10	6	6	5	8	11	14	10	5	5	5	5	5	15	10	10	10	15	15	15	18	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	863	13	5	10	15	8	15	10	15	15	11	10	9	8	10	15	15	10	18	14	10	10	20	15	10	20	10	13	20	15	17	13	14	21	0	0	8	12	1	6	8	17	10	28	10	3	4	10	7	10	6	1	6	10	7	6	6	10	2	3	15	8	16	10	5	2	4	13	3	9	2	5	3	8	11	10	3	0	3	1	4	3	14	6	8	10	15	12	14	16	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	752	11	3	10	26	8	5	10	3	4	2	4	14	14	4	8	11	6	50	4	1	18	4	5	7	26	8	19	7	5	8	13	0	14	9	7	9	22	4	12	12	3	3	5	6	5	9	7	32	3	15	5	4	8	3	6	7	11	3	1	4	3	7	5	3	4	9	7	8	3	8	4	5	3	7	6	4	1	2	3	4	5	22	6	6	6	30	6	16	2	10					
14	Число погашенных неиспользованных открепительных удостоверений	132	0	5	0	1	2	0	0	0	0	2	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	8	9	4	2	0	0	0	0	3	2	0	3	0	0	1	0	0	0	4	4	0	8	2	0	2	4	0	0	3	6	2	0	1	4	1	2	0	0	4	7	5	2	4	1	2	1	4	2	0	0	3	1	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5749	90	59	60	87	123	90	79	99	93	102	74	61	78	43	82	34	79	61	108	90	38	82	68	56	97	60	95	114	85	78	67	7	39	3	27	41	69	70	118	120	50	67	110	54	38	43	63	64	90	60	17	41	62	56	63	115	68	37	34	70	48	69	93	40	13	88	84	10	66	34	39	22	41	100	119	72	31	19	20	37	40	75	51	43	98	48	53	57	70	41					
		10.35%	12.24%	8.27%	10.54%	10.96%	14.63%	12.99%	10.96%	12.28%	11.80%	10.53%	9.30%	7.13%	11.64%	5.10%	11.22%	6.91%	12.25%	9.12%	13.71%	11.69%	4.66%	12.02%	10.69%	7.52%	13.13%	11.41%	12.58%	12.35%	13.73%	12.62%	10.98%	0.99%	4.88%	1.56%	8.28%	5.42%	12.64%	14.64%	12.45%	16.33%	10.29%	11.26%	12.29%	9.41%	10.38%	6.41%	10.41%	9.44%	14.56%	13.10%	9.34%	7.68%	11.33%	10.79%	11.19%	13.67%	11.81%	5.97%	10.93%	13.08%	10.48%	9.36%	10.12%	13.89%	7.22%	10.76%	8.81%	3.94%	12.24%	7.22%	9.42%	11.28%	11.48%	13.53%	14.07%	7.30%	8.07%	6.62%	5.80%	13.75%	10.50%	12.00%	12.56%	8.29%	11.45%	8.12%	6.95%	9.22%	11.08%	8.49%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7339	106	57	61	101	62	90	116	144	129	166	140	90	107	73	156	80	101	65	131	122	40	111	122	89	109	82	102	143	114	87	92	53	102	2	41	82	96	74	118	130	77	103	140	75	37	70	65	63	69	48	24	65	53	54	74	78	129	74	29	72	67	86	141	29	30	94	131	12	65	45	46	18	30	105	138	90	19	19	33	55	59	97	75	59	111	101	116	43	80	60					
		13.22%	14.42%	7.99%	10.72%	12.72%	7.37%	12.99%	16.09%	17.87%	16.37%	17.13%	17.59%	10.51%	15.97%	8.66%	21.34%	16.26%	15.66%	9.72%	16.62%	15.84%	4.91%	16.28%	19.18%	11.95%	14.75%	15.59%	13.51%	15.49%	18.42%	14.08%	15.08%	7.54%	12.75%	1.04%	12.58%	10.85%	17.58%	15.48%	12.45%	17.69%	15.84%	17.31%	15.64%	13.07%	10.11%	10.43%	10.74%	9.29%	11.17%	10.48%	13.19%	12.17%	9.69%	10.40%	13.14%	9.27%	22.40%	11.94%	9.32%	13.46%	14.63%	11.67%	15.34%	10.07%	16.67%	11.49%	13.75%	4.72%	12.06%	9.55%	11.11%	9.23%	8.40%	14.21%	16.31%	9.13%	4.95%	6.62%	9.57%	20.45%	15.49%	15.52%	18.47%	11.37%	12.97%	17.09%	15.20%	6.96%	12.66%	12.42%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	455	9	1	4	6	6	8	8	9	8	5	10	10	3	7	10	2	2	2	8	11	6	11	8	6	9	6	8	12	5	7	3	4	11	0	3	5	6	7	8	4	4	4	9	3	1	4	2	4	4	2	0	3	4	1	6	3	2	3	2	6	5	3	8	4	0	6	10	1	8	1	4	0	1	10	8	7	1	2	3	2	2	1	2	4	6	2	5	4	11	9					
