Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Борская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369					
1	"Число избирателей, внесенных в списки избирателей"	99750	2181	2123	1818	1629	1586	1956	1539	1356	2019	2516	1405	1411	1759	1458	1566	2069	2012	1220	1925	2183	1237	1165	1372	2043	1351	1260	1643	1236	1246	239	312	2223	1238	1146	1445	2175	2371	1364	2622	1015	626	794	1159	2348	2364	760	329	989	1019	943	1658	1727	1771	900	589	1005	1031	1081	104	623	328	1476	1645	281	1033	790	784	404	691	1501	1730	1263	566	455	549					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	84400	1850	1750	1550	1350	1350	1750	1250	1150	1750	2100	1200	1150	1500	1200	1350	1750	1750	1050	1650	1750	1050	950	1200	1750	1200	1050	1200	1050	1050	250	500	1850	1050	950	1200	1800	2050	1100	2250	850	500	650	1000	1900	2000	600	300	850	850	800	1400	1650	1250	750	500	850	850	950	90	550	250	1250	1400	250	900	650	650	350	600	1250	1550	1100	500	400	460					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	53074	1510	1346	1165	1037	961	1130	966	788	1201	1413	729	657	1004	824	886	1313	1288	701	1173	1258	766	558	813	1279	700	661	900	699	780	170	301	1376	673	571	895	1349	1244	596	1425	508	282	147	562	1105	942	167	77	410	434	493	528	867	600	372	277	337	289	507	17	270	188	723	843	123	570	315	309	214	381	836	1051	553	234	157	280					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	6786	20	31	29	52	58	58	33	44	38	72	39	109	87	30	43	35	35	21	33	55	40	86	42	70	66	109	54	68	21	67	0	26	25	39	18	18	36	46	36	58	104	292	104	181	180	238	143	129	124	14	204	92	346	172	83	207	256	141	53	67	40	221	226	109	52	170	178	43	21	53	57	255	153	138	93					
6	Число погашенных избирательных бюллетеней	24540	320	373	356	261	331	562	251	318	511	615	432	384	409	346	421	402	427	328	444	437	244	306	345	401	434	280	246	283	249	13	199	448	352	340	287	433	770	458	789	284	114	211	334	614	878	195	80	311	292	293	668	691	304	206	140	306	305	302	20	213	22	306	331	18	278	165	163	93	198	361	442	292	113	105	87					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6786	20	31	29	52	58	58	33	44	38	72	39	109	87	30	43	35	35	21	33	55	40	86	42	70	66	109	54	68	21	67	0	26	25	39	18	18	36	46	36	58	104	292	104	181	180	238	143	129	124	14	204	92	346	172	83	207	256	141	53	67	40	221	226	109	52	170	178	43	21	53	57	255	153	138	93					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	52970	1510	1315	1165	1037	961	1130	965	788	1201	1413	729	656	936	824	886	1313	1288	701	1173	1258	765	558	813	1279	700	660	900	699	780	170	301	1376	673	571	895	1349	1244	596	1425	508	282	147	562	1104	942	167	77	410	434	493	528	867	600	372	277	337	289	507	17	270	188	723	843	123	570	315	309	214	381	836	1051	553	234	157	280					
9	Число недействительных избирательных бюллетеней	596	10	17	13	10	5	16	14	13	6	20	15	6	13	13	12	15	14	10	18	13	11	1	5	8	9	7	9	7	5	6	5	16	11	6	4	4	11	9	14	7	2	4	13	15	7	3	0	4	9	10	7	10	5	2	6	4	1	4	0	1	3	5	12	0	14	3	3	7	3	6	6	4	8	4	3					
10	Число действительных избирательных бюллетеней	59160	1520	1329	1181	1079	1014	1172	984	819	1233	1465	753	759	1010	841	917	1333	1309	712	1188	1300	794	643	850	1341	757	762	945	760	796	231	296	1386	687	604	909	1363	1269	633	1447	559	384	435	653	1270	1115	402	220	535	549	497	725	949	941	542	354	540	544	644	70	336	225	939	1057	232	608	482	484	250	399	883	1102	804	379	291	370					
