Выборы Президента Российской Федерации																																																																																																																																
																																																																																																																																
Наименование Избирательной комиссии:    Ногинская																																																																																																																																
																																																																																																																																
Итоги голосования 																																																																																																																																
																																																																																																																																
		Сумма	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739					
1	"Число избирателей, внесенных в список"	175570	2215	1906	2107	2348	1386	1100	2729	2404	1134	1639	1626	1476	2448	1747	1972	368	938	1358	147	1779	1599	1471	1600	2077	2174	1643	978	971	2204	1141	902	1735	2173	1896	2304	737	2768	1157	1798	1379	1519	1674	220	2012	1964	442	1135	1575	1975	1080	2079	1456	1576	1459	998	1732	2228	2468	1770	2060	964	448	409	369	1478	1838	2466	658	1107	533	229	1157	1522	2296	2472	2517	2673	2492	2042	2114	1943	2269	1844	2412	2658	2473	2680	1590	1619	1552	574	1377	1399	400	457	457	732	533	2164	795	937	542	910	322	422	158	417	2408	2079	2327	295	710	257	659	242	208	847	1479	475	691	2517					
2	Число полученных избирательных бюллетеней	172980	2200	1900	2100	2300	1400	1100	2700	2400	1100	1600	1600	1400	2400	1700	1900	360	900	1300	200	1800	1600	1400	1600	2050	2000	1700	900	1100	2200	1100	900	1700	2200	1900	2300	700	2700	1100	1800	1300	1500	1600	250	2000	1900	440	1100	1500	1900	1000	2000	1400	1500	1400	1000	1700	2200	2400	1700	2000	1000	450	400	350	1500	1800	2400	650	1100	480	220	1100	1500	2300	2500	2500	2600	2400	2000	2100	1900	2300	1800	2400	2600	2500	2700	1500	1300	1400	570	1400	1400	400	470	450	730	540	2200	800	880	580	970	320	470	190	420	2400	2100	2300	280	700	250	660	240	210	860	1680	480	680	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	105991	1373	1200	1378	1176	674	605	1338	1622	536	771	798	770	1216	874	1007	159	421	830	142	907	706	966	696	1315	1426	956	383	488	1160	555	499	1128	1162	1208	1140	386	1807	545	992	744	940	855	220	1230	1167	94	772	1071	1095	477	1118	778	845	607	543	801	1541	1823	1147	1546	512	327	196	261	947	1313	1738	376	580	340	129	585	964	1447	2010	1671	2046	1939	1482	1654	939	1746	923	1872	1424	1184	1224	734	998	1332	444	845	1105	237	370	248	558	373	1481	574	558	342	650	139	207	83	270	1316	1152	1310	197	451	207	575	156	113	596	1001	265	486	2060					
5	"Число избирательных бюллетеней, выданных вне помещения"	5571	21	13	41	12	48	24	28	16	57	31	22	21	32	57	44	182	84	31	0	32	31	20	53	52	20	17	120	114	27	18	124	30	32	26	45	31	43	34	30	46	51	27	0	37	73	338	54	27	27	30	15	26	17	44	16	112	36	102	12	20	173	17	87	27	95	52	90	82	19	29	9	35	116	47	44	74	39	101	46	38	67	74	19	53	34	33	50	46	20	7	36	14	129	24	24	49	74	32	75	75	22	39	32	86	98	51	57	11	10	25	57	22	0	0	8	43	0	31	22	0	29					
6	Число погашенных избирательных бюллетеней	61417	806	687	681	1112	678	471	1334	762	507	798	780	609	1152	769	849	19	395	439	58	861	863	414	851	683	554	727	397	498	1013	527	277	542	1006	666	1115	283	850	521	778	510	509	718	30	733	660	8	274	402	778	493	867	596	638	749	441	787	623	475	541	434	315	106	117	62	458	435	572	192	501	111	82	480	420	806	446	755	515	360	472	408	894	480	858	475	1142	1283	1426	720	282	61	90	541	166	139	76	153	98	135	644	151	300	199	288	94	165	56	93	1073	938	965	26	227	43	85	76	54	264	648	193	194	411					
7	Число избирательных бюллетеней в переносных ящиках	5571	21	13	41	12	48	24	28	16	57	31	22	21	32	57	44	182	84	31	0	32	31	20	53	52	20	17	120	114	27	18	124	30	32	26	45	31	43	34	30	46	51	27	0	37	73	338	54	27	27	30	15	26	17	44	16	112	36	102	12	20	173	17	87	27	95	52	90	82	19	29	9	35	116	47	44	74	39	101	46	38	67	74	19	53	34	33	50	46	20	7	36	14	129	24	24	49	74	32	75	75	22	39	32	86	98	51	57	11	10	25	57	22	0	0	8	43	0	31	22	0	29					
8	Число бюллетеней в стационарных ящиках для голосования	105808	1373	1200	1378	1176	673	604	1338	1606	536	771	798	770	1216	872	1006	159	421	830	142	907	706	966	696	1310	1422	956	383	488	1160	555	499	1128	1161	1208	1140	386	1807	545	992	744	940	855	220	1230	1167	93	772	1071	1095	477	1115	778	845	607	543	798	1541	1819	1147	1546	512	327	196	261	947	1313	1736	376	580	340	129	585	964	1447	2002	1671	2046	1939	1482	1645	939	1672	923	1872	1421	1184	1224	734	998	1329	444	840	1105	237	370	248	558	373	1460	574	558	342	650	139	207	83	270	1312	1152	1299	197	451	207	574	156	113	596	1001	265	486	2060					
9	Число недействительных избирательных бюллетеней	1324	8	17	6	7	6	3	16	11	3	6	7	9	4	24	15	1	8	4	4	5	9	15	15	9	11	5	10	8	13	4	2	12	8	10	14	3	6	2	12	6	4	12	6	9	7	4	7	5	15	6	13	16	14	11	10	11	18	116	6	22	16	3	2	1	2	9	12	4	14	3	2	8	9	14	19	34	10	0	11	19	7	11	13	19	20	18	21	11	8	5	6	13	157	2	0	5	4	6	20	9	2	5	28	4	2	2	3	7	8	7	1	9	2	4	3	1	9	13	0	4	13					
10	Число действительных избирательных бюллетеней	110055	1386	1196	1413	1181	715	625	1350	1611	590	796	813	782	1244	905	1035	340	497	857	138	934	728	971	734	1353	1431	968	493	594	1174	569	621	1146	1185	1224	1171	414	1844	577	1010	784	987	870	214	1258	1233	427	819	1093	1107	501	1117	788	848	640	549	899	1559	1805	1153	1544	669	341	281	287	1040	1356	1814	454	585	366	136	612	1071	1480	2027	1711	2075	2040	1517	1664	999	1735	929	1906	1435	1199	1253	769	1010	1331	474	841	1077	259	394	292	628	399	1515	640	578	376	654	221	303	132	324	1316	1154	1317	253	464	205	570	161	155	587	1019	287	482	2076					
11	Число полученных открепительных  удостоверений	3560	35	25	35	35	40	25	35	35	25	25	25	25	40	25	40	20	20	25	0	25	25	25	30	45	50	25	20	25	35	25	20	25	40	25	40	20	35	30	35	35	25	25	0	45	30	0	25	40	40	25	35	25	25	25	25	25	35	35	25	25	25	20	20	20	40	50	25	20	25	20	20	25	25	35	35	35	35	35	50	35	25	35	25	50	50	35	35	25	40	25	20	25	25	20	20	20	20	20	50	20	20	20	40	20	20	20	20	90	80	80	20	30	20	20	20	20	20	25	20	20	50					
12	Число выданных открепительных удостоверений	1721	18	14	10	12	17	8	23	15	3	10	5	6	20	11	17	0	10	4	0	21	9	5	15	38	29	23	3	10	10	10	6	16	27	21	18	8	12	21	11	21	20	17	0	32	29	0	3	18	9	6	8	9	12	8	11	14	23	10	10	15	2	6	5	7	29	25	19	9	8	1	2	15	16	20	24	32	35	15	18	17	14	22	6	27	27	29	22	12	21	18	3	17	11	2	2	2	13	8	50	4	5	6	26	1	1	17	0	58	46	46	7	11	3	14	0	1	1	21	3	1	47					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1208	9	3	3	3	7	8	11	4	11	6	3	9	11	10	14	4	5	1	11	7	5	5	2	14	6	12	13	18	5	11	6	17	7	16	12	2	15	7	9	20	12	15	0	8	12	39	16	12	6	2	7	13	5	1	9	2	6	8	2	4	14	2	10	2	14	4	33	3	3	11	6	6	10	11	13	16	15	10	9	17	13	21	10	22	22	4	12	12	24	7	6	12	26	3	3	25	7	3	9	4	75	5	7	16	5	8	5	13	18	10	16	10	7	7	5	1	2	9	7	1	6					
14	Число неиспользованных открепительных удостоверений	1839	17	11	25	23	23	17	12	20	22	15	20	19	20	14	23	20	10	21	0	4	16	20	15	7	21	2	17	15	25	15	14	9	13	4	22	12	23	9	24	14	5	8	0	13	1	0	22	22	31	19	27	16	13	17	14	11	12	25	15	10	23	14	15	13	11	25	6	11	17	19	18	10	9	15	11	3	0	20	32	18	11	13	19	23	23	6	13	13	19	7	17	8	14	18	18	18	7	12	0	16	15	14	14	19	19	3	20	32	34	34	13	19	17	6	20	19	19	4	17	19	3					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
