Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Зеленоградская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154					
1	"Число избирателей, внесенных в список"	23720	2900	2900	2056	2603	364	585	120	773	349	859	404	829	548	1477	150	571	978	1443	581	806	967	466	991					
2	Число полученных избирательных бюллетеней	21978	2582	2601	1836	2283	325	721	117	743	348	833	437	825	517	1349	147	523	846	1356	541	774	865	509	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13044	1515	1611	1144	1279	237	564	80	457	164	444	249	491	271	883	106	233	549	679	286	438	525	277	562					
5	"Число избирательных бюллетеней, выданных вне помещения"	1039	80	40	36	30	4	21	5	37	50	77	41	28	31	47	5	87	67	122	57	80	46	28	20					
6	Число погашенных избирательных бюллетеней	7895	987	950	656	974	84	136	32	249	134	312	147	306	215	419	36	203	230	555	198	256	294	204	318					
7	Число избирательных бюллетеней в переносных ящиках	1039	80	40	36	30	4	21	5	37	50	77	41	28	31	47	5	87	67	122	57	80	46	28	20					
8	Число бюллетеней в стационарных ящиках для голосования	13035	1512	1609	1144	1276	237	564	80	457	164	444	249	491	271	883	106	233	548	679	286	438	525	277	562					
9	Число недействительных избирательных бюллетеней	163	8	17	12	19	4	8	1	6	0	8	5	5	10	11	0	3	4	9	4	8	4	10	7					
10	Число действительных избирательных бюллетеней	13911	1584	1632	1168	1287	237	577	84	488	214	513	285	514	292	919	111	317	611	792	339	510	567	295	575					
11	Число полученных открепительных  удостоверений	295	27	27	20	20	5	12	2	8	7	9	4	9	6	13	5	6	29	15	7	12	29	13	10					
12	Число выданных открепительных удостоверений	191	18	17	10	18	5	12	2	6	0	2	2	0	0	11	3	3	22	4	2	11	29	7	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	145	9	15	12	19	10	15	2	0	0	3	1	5	0	29	0	2	8	1	3	2	3	2	4					
14	Число неиспользованных открепительных удостоверений	104	9	10	10	2	0	0	0	2	7	7	2	9	6	2	2	3	7	11	5	1	0	6	3					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	474	84	89	57	54	15	25	4	10	4	6	6	10	7	10	4	4	11	13	8	10	23	11	9					
		3.37%	5.28%	5.40%	4.83%	4.13%	6.22%	4.27%	4.71%	2.02%	1.87%	1.15%	2.07%	1.93%	2.32%	1.08%	3.60%	1.25%	1.79%	1.62%	2.33%	1.93%	4.03%	3.61%	1.55%					
19	. Малышкин Олег Александрович	264	25	25	24	19	7	10	0	7	2	10	14	9	3	20	4	10	9	20	5	11	11	7	12					
		1.88%	1.57%	1.52%	2.03%	1.45%	2.90%	1.71%	0.00%	1.42%	0.93%	1.92%	4.83%	1.73%	0.99%	2.15%	3.60%	3.12%	1.46%	2.50%	1.46%	2.12%	1.93%	2.30%	2.06%					
20	. Миронов Сергей Михайлович	129	20	15	11	13	0	6	1	3	4	4	1	6	2	6	1	2	10	7	6	3	3	1	4					
		0.92%	1.26%	0.91%	0.93%	1.00%	0.00%	1.03%	1.18%	0.61%	1.87%	0.77%	0.34%	1.16%	0.66%	0.65%	0.90%	0.62%	1.63%	0.87%	1.75%	0.58%	0.53%	0.33%	0.69%					
21	. Путин Владимир Владимирович	10592	1107	1070	832	946	174	437	59	401	172	410	232	426	221	750	93	238	484	637	285	436	459	221	502					
		75.26%	69.54%	64.89%	70.51%	72.43%	72.20%	74.70%	69.41%	81.17%	80.37%	78.69%	80.00%	82.08%	73.18%	80.65%	83.78%	74.38%	78.70%	79.53%	83.09%	84.17%	80.39%	72.46%	86.25%					
22	. Хакамада Ирина Муцуовна	495	98	67	47	57	9	22	2	16	13	15	10	21	16	21	4	5	18	13	4	13	12	3	9					
		3.52%	6.16%	4.06%	3.98%	4.36%	3.73%	3.76%	2.35%	3.24%	6.07%	2.88%	3.45%	4.05%	5.30%	2.26%	3.60%	1.56%	2.93%	1.62%	1.17%	2.51%	2.10%	0.98%	1.55%					
23	. Харитонов Николай Михайлович	1367	183	263	120	137	23	55	11	37	12	47	16	32	30	63	5	48	45	80	28	30	33	43	26					
		9.71%	11.49%	15.95%	10.17%	10.49%	9.54%	9.40%	12.94%	7.49%	5.61%	9.02%	5.52%	6.17%	9.93%	6.77%	4.50%	15.00%	7.32%	9.99%	8.16%	5.79%	5.78%	14.10%	4.47%					
																														
24	Против всех	590	67	103	77	61	9	22	7	14	7	21	6	10	13	49	0	10	34	22	3	7	26	9	13					
		4.19%	4.21%	6.25%	6.53%	4.67%	3.73%	3.76%	8.24%	2.83%	3.27%	4.03%	2.07%	1.93%	4.30%	5.27%	0.00%	3.12%	5.53%	2.75%	0.87%	1.35%	4.55%	2.95%	2.23%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
