Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Кольская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №275	УИК №276	УИК №277	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №501	УИК №502	УИК №503					
1	"Число избирателей, внесенных в список"	37967	69	794	45	177	157	195	984	2312	1376	756	2012	87	2431	2889	2409	2310	1272	2516	1325	2609	2956	1177	1765	1477	558	176	1296	887	386	367	117	27	21	32					
2	Число полученных избирательных бюллетеней	37708	71	819	54	184	274	157	1034	2294	1321	774	1961	93	2461	2920	2395	2304	1268	2461	1309	2262	2869	1183	1780	1577	579	171	1300	910	360	360	122	27	21	33					
3	"Число избирательных бюллетеней, выданных  досрочно"	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	8	0	19	0	0	71	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20616	47	522	45	140	157	84	523	1233	743	394	943	21	1219	1510	1305	1205	495	1307	649	1257	1578	581	1025	1027	347	87	1012	529	239	195	117	27	21	32					
5	"Число избирательных бюллетеней, выданных вне помещения"	394	2	11	0	0	0	0	19	76	20	1	18	0	6	19	14	18	11	15	16	19	9	18	11	11	9	0	66	5	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	16581	22	286	9	44	117	73	492	985	558	379	1000	72	1236	1391	1076	1081	762	1120	644	986	1282	584	744	531	223	65	222	376	50	165	5	0	0	1					
7	Число избирательных бюллетеней в переносных ящиках	511	2	11	0	0	0	0	19	76	20	1	18	0	6	19	14	18	11	34	16	19	9	18	11	19	9	19	66	5	71	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	20601	47	522	45	140	156	84	523	1233	743	394	942	21	1219	1510	1305	1205	495	1307	649	1257	1571	581	1025	1027	347	86	1009	529	237	195	117	27	21	32					
9	Число недействительных избирательных бюллетеней	127	2	3	0	1	0	0	4	13	9	3	12	0	4	11	8	3	7	10	1	4	5	2	6	6	0	0	5	3	3	2	0	0	0	0					
10	Число действительных избирательных бюллетеней	20985	47	530	45	139	156	84	538	1296	754	392	948	21	1221	1518	1311	1220	499	1331	664	1272	1575	597	1030	1040	356	105	1070	531	305	193	117	27	21	32					
