Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:     Советская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16039	1125	1111	1780	1235	262	180	144	312	168	370	471	912	241	202	368	196	112	386	380	172	123	426	264	497	207	201	222	257	304	279	204	290	223	273	541	362	446	536	257									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14545	1023	997	1586	1096	242	164	135	280	151	336	427	833	217	184	342	180	100	355	348	153	115	388	241	455	193	173	210	234	275	256	185	264	203	246	497	328	408	486	239									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5149	405	392	475	437	92	61	54	114	45	160	126	296	80	72	99	61	23	93	82	67	46	166	80	193	52	68	63	85	82	96	74	127	83	48	138	114	100	219	81									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2331	38	46	87	52	57	50	44	65	51	44	155	47	36	32	54	42	48	99	85	41	23	151	73	27	51	41	41	76	55	57	45	43	22	98	105	39	94	64	53									
6	Число погашенных избирательных бюллетеней	7065	580	559	1024	607	93	53	37	101	55	132	146	490	101	80	189	77	29	163	181	45	46	71	88	235	90	64	106	73	138	103	66	94	98	100	254	175	214	203	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2331	38	46	87	52	57	50	44	65	51	44	155	47	36	32	54	42	48	99	85	41	23	151	73	27	51	41	41	76	55	57	45	43	22	98	105	39	94	64	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5149	405	392	475	437	92	61	54	114	45	160	126	296	80	72	99	61	23	93	82	67	46	166	80	193	52	68	63	85	82	96	74	127	83	48	138	114	100	219	81									
9	Число недействительных избирательных бюллетеней	168	9	17	17	17	2	2	2	11	1	7	8	6	2	5	5	4	1	5	1	4	0	0	3	4	2	1	6	1	1	3	0	3	4	2	3	4	0	3	2									
10	Число действительных избирательных бюллетеней	7312	434	421	545	472	147	109	96	168	95	197	273	337	114	99	148	99	70	187	166	104	69	317	150	216	101	108	98	160	136	150	119	167	101	144	240	149	194	280	132									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	166	11	11	18	12	3	2	2	3	2	4	5	9	2	2	4	2	1	4	4	2	1	4	3	5	2	2	2	3	3	5	2	3	2	3	6	4	5	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	47	4	4	1	4	1	2	2	0	1	1	0	4	0	0	1	0	1	2	1	0	0	0	0	3	1	0	0	0	1	4	2	1	0	1	2	1	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	15	1	3	0	2	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	119	7	7	17	8	2	0	0	3	1	3	5	5	2	2	3	2	0	2	3	2	1	4	3	2	1	2	2	3	2	1	0	2	2	2	4	3	3	5	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	1	1	2	3	2	1	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	47	4	3	2	10	0	0	1	0	1	0	2	1	0	1	1	3	0	0	1	0	0	2	1	1	0	0	1	0	0	0	1	0	1	0	1	2	0	6	1									
		0.63%	0.90%	0.68%	0.36%	2.04%	0.00%	0.00%	1.02%	0.00%	1.04%	0.00%	0.71%	0.29%	0.00%	0.96%	0.65%	2.91%	0.00%	0.00%	0.60%	0.00%	0.00%	0.63%	0.65%	0.45%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	0.84%	0.00%	0.95%	0.00%	0.41%	1.31%	0.00%	2.12%	0.75%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	244	15	17	23	16	3	5	2	4	1	6	2	17	6	8	9	2	2	6	5	1	3	12	6	8	2	3	2	7	3	1	3	7	4	0	15	3	5	8	2									
		3.26%	3.39%	3.88%	4.09%	3.27%	2.01%	4.50%	2.04%	2.23%	1.04%	2.94%	0.71%	4.96%	5.17%	7.69%	5.88%	1.94%	2.82%	3.13%	2.99%	0.93%	4.35%	3.79%	3.92%	3.64%	1.94%	2.75%	1.92%	4.35%	2.19%	0.65%	2.52%	4.12%	3.81%	0.00%	6.17%	1.96%	2.58%	2.83%	1.49%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	123	9	8	12	6	5	6	1	1	0	3	8	2	3	0	3	0	1	4	3	0	1	2	0	7	1	3	3	5	2	4	0	0	4	2	2	4	5	2	1									
		1.64%	2.03%	1.83%	2.14%	1.23%	3.36%	5.41%	1.02%	0.56%	0.00%	1.47%	2.85%	0.58%	2.59%	0.00%	1.96%	0.00%	1.41%	2.08%	1.80%	0.00%	1.45%	0.63%	0.00%	3.18%	0.97%	2.75%	2.88%	3.11%	1.46%	2.61%	0.00%	0.00%	3.81%	1.37%	0.82%	2.61%	2.58%	0.71%	0.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4333	196	207	261	230	97	58	58	119	66	127	196	182	68	59	73	68	42	117	104	69	40	224	109	121	75	77	57	100	96	87	70	117	53	105	128	84	137	164	92									
		57.93%	44.24%	47.26%	46.44%	47.03%	65.10%	52.25%	59.18%	66.48%	68.75%	62.25%	69.75%	53.06%	58.62%	56.73%	47.71%	66.02%	59.15%	60.94%	62.28%	63.89%	57.97%	70.66%	71.24%	55.00%	72.82%	70.64%	54.81%	62.11%	70.07%	56.86%	58.82%	68.82%	50.48%	71.92%	52.67%	54.90%	70.62%	57.95%	68.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	47	3	3	3	5	1	1	0	0	1	1	1	1	1	2	0	1	1	0	3	1	0	4	0	2	0	0	1	0	3	0	0	0	1	0	1	2	1	3	0									
