Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Максатихинская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14373	1789	2008	1851	1862	290	145	435	308	498	465	485	302	208	234	109	136	523	125	241	181	271	465	269	183	314	367	309									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14300	1800	2000	1850	1850	290	140	420	300	490	470	480	300	210	230	110	130	520	120	230	180	270	470	270	180	320	360	310									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4251	603	697	526	540	62	22	118	113	124	120	147	104	40	62	42	47	123	30	83	60	70	159	71	43	93	103	49									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	960	18	12	29	18	55	21	22	28	57	131	38	18	33	12	12	24	36	25	35	27	40	18	48	30	56	41	76									
6	Число погашенных избирательных бюллетеней	9089	1179	1291	1295	1292	173	97	280	159	309	219	295	178	137	156	56	59	361	65	112	93	160	293	151	107	171	216	185									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	960	18	12	29	18	55	21	22	28	57	131	38	18	33	12	12	24	36	25	35	27	40	18	48	30	56	41	76									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4251	603	697	526	540	62	22	118	113	124	120	147	104	40	62	42	47	123	30	83	60	70	159	71	43	93	103	49									
9	Число недействительных избирательных бюллетеней	74	10	10	7	15	0	0	5	0	3	4	1	0	0	0	2	0	4	2	0	3	0	3	2	0	0	3	0									
10	Число действительных избирательных бюллетеней	5137	611	699	548	543	117	43	135	141	178	247	184	122	73	74	52	71	155	53	118	84	110	174	117	73	149	141	125									
