Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Вышневолоцкая																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196					
1	"Число избирателей, внесенных в списки"	23465	381	107	365	428	516	984	106	158	1684	503	214	373	309	963	279	369	958	367	1988	318	379	444	343	240	377	128	1634	1018	198	875	273	268	1067	1793	1180	1640	238					
2	"Число бюллетеней, полученных участковыми комиссиями"	23205	380	109	361	427	511	983	107	155	1698	506	217	372	302	947	266	361	946	370	1931	304	376	440	342	236	333	119	1623	1015	194	874	270	266	1072	1784	1181	1583	244					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10824	147	46	177	137	241	370	84	51	736	234	105	169	121	396	151	193	519	103	944	138	229	182	135	81	183	71	737	558	88	506	128	143	461	886	574	710	90					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1898	98	14	35	134	84	122	2	61	153	30	23	54	17	21	19	49	27	143	88	33	58	120	82	50	29	14	34	18	40	21	13	10	107	24	31	14	26					
6	Число погашенных бюллетеней	10483	135	49	149	156	186	491	21	43	809	242	89	149	164	530	96	119	400	124	899	133	89	138	125	105	121	34	852	439	66	347	129	113	504	874	576	859	128					
7	Число бюллетеней в переносных ящиках для голосования	1898	98	14	35	134	84	122	2	61	153	30	23	54	17	21	19	49	27	143	88	33	58	120	82	50	29	14	34	18	40	21	13	10	107	24	31	14	26					
8	Число бюллетеней в стационарных ящиках для голосования	10823	147	46	177	137	241	370	84	51	736	234	105	169	121	396	151	193	519	103	944	138	229	182	135	81	183	71	737	558	88	506	128	143	461	885	574	710	90					
9	Число недействительных бюллетеней	225	9	3	9	0	2	5	0	0	8	5	3	0	6	14	4	3	21	1	24	0	7	1	0	2	7	0	11	22	2	13	7	4	5	9	5	10	3					
10	Число действительных бюллетеней	12496	236	57	203	271	323	487	86	112	881	259	125	223	132	403	166	239	525	245	1008	171	280	301	217	129	205	85	760	554	126	514	134	149	563	900	600	714	113					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	473	10	5	10	10	15	15	5	5	25	10	5	10	10	15	10	10	15	10	25	10	10	10	10	5	10	5	28	25	5	15	10	10	20	25	25	25	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	123	1	0	4	3	4	0	0	1	20	4	2	2	1	1	2	0	0	2	8	0	1	0	1	1	3	1	22	4	0	10	0	1	5	3	7	6	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	100	4	0	3	2	3	3	0	2	1	1	0	2	3	2	5	0	3	2	5	3	2	5	1	5	7	5	3	1	5	0	2	1	6	2	4	5	2					
14	Число погашенных открепительных удостоверений	350	9	5	6	7	11	15	5	4	5	6	3	8	9	14	8	10	15	8	17	10	9	10	9	4	7	4	6	21	5	5	10	9	15	22	18	19	2					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
