Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																							
Дата голосования: 02.12.2007																																																							
																																																							
Наименование Избирательной комиссии:    Динская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248					
1	"Число избирателей, внесенных в списки избирателей"	97763	2100	2248	2510	1892	1938	1952	2928	2774	1860	2047	1821	1712	2330	1163	2891	1150	821	2767	2973	2625	2688	2133	1954	1863	1747	2321	2298	2523	2826	2683	938	2673	2831	3014	1739	2848	2901	330	603	1866	2340	1662	1599	1280	1031	923	2271	1376					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	94550	2100	2300	2500	1900	1900	2000	2800	2700	1800	1900	1700	1700	2300	1100	2800	1100	800	2700	2900	2600	2600	2100	1900	1800	1700	2300	2300	2500	2800	2700	900	2500	2700	2700	1600	2600	2800	250	550	1700	2200	1600	1500	1200	900	850	2400	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	45284	1095	1133	1249	916	927	876	1475	1326	802	836	835	832	901	579	1603	572	437	1261	1338	1337	1246	941	838	724	846	975	1012	1256	1485	1096	458	1042	1230	1217	789	1272	1420	94	168	923	1124	780	662	518	543	518	1100	677					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4156	45	113	102	85	72	113	50	121	123	108	114	44	133	73	107	77	65	74	83	57	57	168	54	38	43	88	162	99	136	118	22	127	100	50	69	51	47	112	161	80	84	89	56	94	50	25	129	88					
6	Число погашенных избирательных бюллетеней	45110	960	1054	1149	899	901	1011	1275	1253	875	956	751	824	1266	448	1090	451	298	1365	1479	1206	1297	991	1008	1038	811	1237	1126	1145	1179	1486	420	1331	1370	1433	742	1277	1333	44	221	697	992	731	782	588	307	307	1171	535					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4156	45	113	102	85	72	113	50	121	123	108	114	44	133	73	107	77	65	74	83	57	57	168	54	38	43	88	162	99	136	118	22	127	100	50	69	51	47	112	161	80	84	89	56	94	50	25	129	88					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45249	1088	1133	1249	916	927	876	1475	1326	802	830	835	831	901	575	1603	572	437	1261	1338	1337	1246	941	838	724	846	975	1012	1256	1485	1096	458	1027	1230	1217	789	1272	1420	94	168	921	1124	780	662	518	543	518	1100	677					
9	Число недействительных избирательных бюллетеней	1646	26	19	39	21	25	21	21	29	13	19	36	15	25	28	27	26	27	28	28	24	41	27	36	26	15	45	17	48	403	12	5	19	23	47	30	19	29	12	1	30	112	23	33	10	9	27	37	13					
10	Число действительных избирательных бюллетеней	47759	1107	1227	1312	980	974	968	1504	1418	912	919	913	860	1009	620	1683	623	475	1307	1393	1370	1262	1082	856	736	874	1018	1157	1307	1218	1202	475	1135	1307	1220	828	1304	1438	194	328	971	1096	846	685	602	584	516	1192	752					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	996	24	24	26	20	20	21	29	28	20	20	18	18	24	12	29	12	9	28	30	27	27	22	20	19	18	24	24	26	29	28	10	26	30	30	17	27	29	3	6	18	22	17	16	13	10	9	25	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	361	9	7	7	7	5	3	9	7	6	9	4	5	5	6	6	1	0	3	11	6	7	17	4	9	7	2	10	12	3	6	7	17	13	10	11	11	11	0	4	9	10	11	6	8	7	9	17	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	183	0	7	3	2	0	4	2	4	3	0	5	9	4	1	8	1	1	3	1	8	4	4	3	1	6	6	7	5	5	3	1	4	4	3	3	4	4	2	1	6	11	4	0	3	11	2	8	2					
14	Число погашенных неиспользованных открепительных удостоверений	635	15	17	19	13	15	18	20	21	14	11	14	13	19	6	23	11	9	25	19	21	20	5	16	10	11	22	14	14	26	22	3	9	17	20	6	16	18	3	2	9	12	6	10	5	3	0	8	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	1.Политическая партия «Аграрная партия России»	908	16	17	25	13	15	22	39	26	18	21	9	18	18	12	35	21	10	27	19	28	34	26	13	12	10	30	23	29	21	14	18	23	33	15	10	19	29	2	5	17	16	17	11	10	13	13	22	14					
		1.84%	1.41%	1.36%	1.85%	1.30%	1.50%	2.22%	2.56%	1.80%	1.95%	2.24%	0.95%	2.06%	1.74%	1.85%	2.05%	3.24%	1.99%	2.02%	1.34%	2.01%	2.61%	2.34%	1.46%	1.57%	1.12%	2.82%	1.96%	2.14%	1.30%	1.15%	3.75%	1.99%	2.48%	1.18%	1.17%	1.44%	1.98%	0.97%	1.52%	1.70%	1.32%	1.96%	1.53%	1.63%	2.19%	2.39%	1.79%	1.83%					
19	2.Всероссийская политическая партия «Гражданская Сила»	356	2	7	8	16	12	10	17	16	5	5	6	7	10	1	14	1	5	5	7	5	8	10	7	7	4	12	4	14	1	5	5	9	11	8	3	8	15	1	2	12	20	3	6	0	4	3	8	7					
		0.72%	0.18%	0.56%	0.59%	1.60%	1.20%	1.01%	1.11%	1.11%	0.54%	0.53%	0.63%	0.80%	0.97%	0.15%	0.82%	0.15%	0.99%	0.37%	0.49%	0.36%	0.61%	0.90%	0.78%	0.92%	0.45%	1.13%	0.34%	1.03%	0.06%	0.41%	1.04%	0.78%	0.83%	0.63%	0.35%	0.60%	1.02%	0.49%	0.61%	1.20%	1.66%	0.35%	0.84%	0.00%	0.67%	0.55%	0.65%	0.92%					
