Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Милютинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  1063	УИК  1064	УИК  1065	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072	УИК  1073	УИК  1074	УИК  1075	УИК  1076	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  2455	УИК  2573					
1	"Число избирателей, внесенных в списки"	13511	842	546	480	1008	408	347	1249	542	529	683	381	357	483	253	569	2090	985	218	522	264	506	249					
2	"Число бюллетеней, полученных участковыми комиссиями"	13785	845	550	470	1020	410	350	1260	560	545	690	380	360	490	260	570	2200	990	225	560	275	520	255					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9795	782	413	290	806	394	248	971	417	223	610	336	253	313	166	323	1350	649	133	361	224	317	216					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2031	30	80	142	108	0	87	162	80	247	25	24	71	62	61	143	143	229	71	109	21	117	19					
6	Число погашенных бюллетеней	1959	33	57	38	106	16	15	127	63	75	55	20	36	115	33	104	707	112	21	90	30	86	20					
7	Число бюллетеней в переносных ящиках для голосования	2031	30	80	142	108	0	87	162	80	247	25	24	71	62	61	143	143	229	71	109	21	117	19					
8	Число бюллетеней в стационарных ящиках для голосования	9795	782	413	290	806	394	248	971	417	223	610	336	253	313	166	323	1350	649	133	361	224	317	216					
9	Число недействительных бюллетеней	87	2	0	5	0	0	1	41	0	3	1	0	0	2	5	8	3	7	0	2	4	3	0					
10	Число действительных бюллетеней	11739	810	493	427	914	394	334	1092	497	467	634	360	324	373	222	458	1490	871	204	468	241	431	235					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	15	15	15	50	15	15	55	15	15	15	10	10	15	10	55	60	50	10	15	15	15	10					
