Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Советская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13129	1999	2383	612	167	133	822	574	337	359	561	1144	156	328	362	688	142	929	1433									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13158	1992	2389	613	167	130	822	572	342	355	560	1162	152	328	360	697	139	933	1445									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4929	873	869	231	63	49	227	185	160	108	194	501	83	151	174	250	57	284	470									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	557	41	48	15	5	12	100	29	17	11	27	29	9	9	8	22	6	74	95									
6	Число погашенных избирательных бюллетеней	7672	1078	1472	367	99	69	495	358	165	236	339	632	60	168	178	425	76	575	880									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	557	41	48	15	5	12	100	29	17	11	27	29	9	9	8	22	6	74	95									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4927	872	869	231	63	49	227	185	160	108	193	501	83	151	174	250	57	284	470									
9	Число недействительных избирательных бюллетеней	162	31	16	5	3	1	8	8	9	0	12	18	1	6	9	4	1	8	22									
10	Число действительных избирательных бюллетеней	5322	882	901	241	65	60	319	206	168	119	208	512	91	154	173	268	62	350	543									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	89	10	11	4	2	2	4	3	2	6	6	16	2	1	2	5	2	5	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	50	7	11	2	0	0	0	0	1	0	0	16	0	0	0	3	0	4	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	1	4	2	1	3	1	3	0	5	5	2	3	0	1	0	3	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	39	3	0	2	2	2	4	3	1	6	6	0	2	1	2	2	2	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	43	5	13	4	0	0	1	2	2	3	2	1	0	1	2	1	1	2	3									
		0.78%	0.55%	1.42%	1.63%	0.00%	0.00%	0.31%	0.93%	1.13%	2.52%	0.91%	0.19%	0.00%	0.63%	1.10%	0.37%	1.59%	0.56%	0.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	245	31	46	16	2	1	20	17	6	3	5	18	1	8	7	20	1	16	27									
		4.47%	3.40%	5.02%	6.50%	2.94%	1.64%	6.12%	7.94%	3.39%	2.52%	2.27%	3.40%	1.09%	5.00%	3.85%	7.35%	1.59%	4.47%	4.78%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	113	18	21	2	1	0	6	7	1	3	9	11	2	1	8	7	1	4	11									
		2.06%	1.97%	2.29%	0.81%	1.47%	0.00%	1.83%	3.27%	0.56%	2.52%	4.09%	2.08%	2.17%	0.63%	4.40%	2.57%	1.59%	1.12%	1.95%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1941	318	288	72	26	26	127	85	86	57	87	156	44	39	60	100	37	139	194									
