Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Мышкинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8538	256	332	163	117	345	225	177	677	268	175	455	152	218	1273	1153	1284	1268									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8700	270	340	170	105	350	230	180	670	280	190	460	160	240	1270	1185	1300	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3453	76	113	70	61	93	74	78	261	111	48	105	59	52	590	546	580	536									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1098	68	74	32	41	88	64	34	146	57	39	168	48	80	25	21	83	30									
6	Число погашенных избирательных бюллетеней	4149	126	153	68	3	169	92	68	263	112	103	187	53	108	655	618	637	734									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1098	68	74	32	41	88	64	34	146	57	39	168	48	80	25	21	83	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3453	76	113	70	61	93	74	78	261	111	48	105	59	52	590	546	580	536									
9	Число недействительных избирательных бюллетеней	61	0	1	0	9	1	0	0	4	4	1	2	2	0	8	7	8	14									
10	Число действительных избирательных бюллетеней	4490	144	186	102	93	180	138	112	403	164	86	271	105	132	607	560	655	552									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	160	10	15	5	5	10	5	10	10	10	5	15	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	43	1	6	0	0	0	0	0	10	2	4	0	0	0	5	6	6	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	0	2	0	1	2	0	1	7	1	1	1	1	0	5	10	2	6									
14	Число погашенных неиспользованных открепительных удостоверений	117	9	9	5	5	10	5	10	0	8	1	15	10	10	5	4	4	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	4	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	58	3	1	0	3	3	2	0	4	4	0	2	5	2	7	10	6	6									
		1.27%	2.08%	0.53%	0.00%	2.94%	1.66%	1.45%	0.00%	0.98%	2.38%	0.00%	0.73%	4.67%	1.52%	1.14%	1.76%	0.90%	1.06%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	79	3	2	1	2	2	2	0	15	4	4	5	1	1	6	13	9	9									
