Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																													
Дата голосования: 02.12.2007																																																																													
																																																																													
Наименование Избирательной комиссии:    Химкинская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021					
1	"Число избирателей, внесенных в списки избирателей"	143766	2762	2686	1944	2665	2756	2336	2265	2198	2306	2321	2074	2784	2506	1452	2140	1891	2607	2805	2632	2484	2786	1923	2605	2541	2505	3210	2829	2145	2539	1482	2589	2226	2885	2385	2326	2782	2695	2740	2756	1381	2019	2400	2402	2472	2551	2458	1284	806	2253	2640	2694	1319	708	2307	683	1492	2237	788	1590	1717	1530	2222	1822	838	1560	505	774	378	258	115					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	109894	2050	1925	1400	1970	2040	1760	1580	1510	1560	1520	1350	1830	1770	1700	1850	1250	1890	2070	1970	1950	1990	1230	1940	1860	1840	2580	2010	1650	1660	1075	1820	1640	2190	1850	1750	2070	2070	2100	2110	900	1530	1780	2280	1800	1880	1720	930	1170	2130	2083	2000	1550	460	1720	490	900	1600	530	1340	1610	1340	1650	1800	620	1205	400	790	602	402	302					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	86366	1454	1412	1095	1355	1508	1190	1264	1198	1366	1379	1181	1618	1448	1422	1723	954	1443	1408	1469	1284	1413	1111	1664	1442	1568	2248	1715	1335	1484	921	1546	1240	1609	1392	1273	1540	1496	1544	1535	677	923	1609	1839	1269	1515	1498	865	440	1732	1328	1322	1274	399	1429	364	799	1239	506	1239	1566	1295	1567	1156	480	1098	350	590	378	258	115					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2870	27	51	43	20	31	18	23	47	44	94	29	52	34	30	12	190	17	5	25	8	12	95	27	14	138	23	38	21	41	27	22	22	33	28	39	41	26	28	16	1	7	23	9	41	19	54	21	366	4	28	136	45	8	25	63	35	39	4	27	26	41	30	161	66	37	23	40	0	0	0					
6	Число погашенных избирательных бюллетеней	20612	569	462	262	594	501	552	293	265	150	47	140	160	288	248	115	106	430	657	476	656	565	24	244	404	129	309	257	294	117	127	252	378	545	430	438	489	548	520	555	222	600	148	432	490	346	168	44	364	394	727	542	231	53	266	63	66	322	20	74	18	4	53	483	74	70	27	160	224	144	187					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2870	27	51	43	20	31	18	23	47	44	94	29	52	34	30	12	190	17	5	25	8	12	95	27	14	138	23	38	21	41	27	22	22	33	28	39	41	26	28	16	1	7	23	9	41	19	54	21	366	4	28	136	45	8	25	63	35	39	4	27	26	41	30	161	66	37	23	40	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	86254	1454	1412	1095	1355	1508	1190	1260	1198	1362	1377	1181	1617	1448	1420	1723	954	1435	1402	1469	1282	1413	1110	1664	1442	1568	2248	1715	1335	1484	921	1546	1240	1601	1392	1269	1528	1496	1536	1527	676	922	1609	1839	1269	1515	1498	865	440	1732	1328	1322	1274	399	1429	363	799	1213	506	1239	1566	1295	1555	1156	480	1098	349	590	378	258	115					
9	Число недействительных избирательных бюллетеней	1373	10	25	17	28	38	24	16	27	18	24	22	19	22	28	26	12	27	13	25	19	18	20	20	18	16	38	25	23	45	12	11	53	28	43	20	26	22	14	32	7	19	11	42	13	28	19	6	18	45	11	30	18	7	13	5	29	14	7	9	8	18	19	15	3	9	5	11	4	5	1					
10	Число действительных избирательных бюллетеней	87751	1471	1438	1121	1347	1501	1184	1267	1218	1388	1447	1188	1650	1460	1422	1709	1132	1425	1394	1469	1271	1407	1185	1671	1438	1690	2233	1728	1333	1480	936	1557	1209	1606	1377	1288	1543	1500	1550	1511	670	910	1621	1806	1297	1506	1533	880	788	1691	1345	1428	1301	400	1441	421	805	1238	503	1257	1584	1318	1566	1302	543	1126	367	619	374	253	114					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3890	60	60	60	60	40	60	60	60	60	60	60	60	40	40	30	30	60	60	60	60	60	60	60	60	50	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2360	56	41	38	37	33	48	34	30	32	35	33	31	40	23	30	28	34	54	48	57	40	19	38	31	47	52	44	46	36	25	56	39	27	29	51	31	45	42	58	19	29	38	40	44	49	44	17	17	58	51	43	31	5	60	12	21	47	7	30	31	21	35	36	13	25	6	13	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3833	41	112	30	32	22	17	30	31	33	75	90	276	57	46	174	70	44	22	27	18	27	68	25	31	53	143	65	73	68	70	74	30	26	25	16	21	26	29	28	27	23	34	30	26	26	55	18	21	24	26	29	23	28	55	36	155	44	12	4	11	15	28	42	50	50	17	28	378	258	115					
14	Число погашенных неиспользованных открепительных удостоверений	1530	4	19	22	23	7	12	26	30	28	25	27	29	0	17	0	2	26	6	12	3	20	41	22	29	3	8	16	14	24	35	4	21	33	31	9	29	15	18	2	41	31	22	20	16	11	16	43	43	2	9	17	29	55	0	48	39	13	53	30	29	39	25	24	47	35	54	47	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	160	0	0	0	1	2	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	50	0	0	0	0	0	56	1	0	0	0	0	1	2	0	1	0	0	1	0	2	1	0	0	3	0	0	0	0	0	0	0	1	0	0	31	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	46	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	5	0	0	0	18	0	0	0	3	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
18	1.Политическая партия «Аграрная партия России»	3129	57	58	50	40	76	38	48	48	61	44	47	56	67	42	53	40	64	55	56	43	53	28	74	67	46	64	62	48	55	35	47	46	45	57	58	61	62	58	50	15	19	62	49	55	73	62	38	27	37	42	55	52	11	34	16	23	57	9	39	36	38	59	46	23	44	16	22	5	4	2					
		3.51%	3.85%	3.96%	4.39%	2.91%	4.94%	3.15%	3.74%	3.86%	4.34%	2.99%	3.88%	3.36%	4.52%	2.90%	3.05%	3.50%	4.41%	3.91%	3.75%	3.33%	3.72%	2.32%	4.38%	4.60%	2.70%	2.82%	3.54%	3.54%	3.61%	3.69%	2.99%	3.65%	2.75%	4.01%	4.43%	3.89%	4.07%	3.71%	3.24%	2.22%	2.05%	3.80%	2.65%	4.20%	4.76%	3.99%	4.29%	3.35%	2.13%	3.10%	3.77%	3.94%	2.70%	2.34%	3.76%	2.76%	4.55%	1.76%	3.08%	2.26%	2.84%	3.72%	3.49%	4.21%	3.88%	4.30%	3.49%	1.32%	1.55%	1.74%					
19	2.Всероссийская политическая партия «Гражданская Сила»	2035	40	40	38	42	38	29	29	33	43	45	43	24	44	38	26	17	36	47	43	51	36	45	47	31	23	48	35	30	36	17	32	37	54	27	36	34	59	31	35	22	26	42	36	38	36	35	18	14	35	48	17	23	5	33	3	18	21	6	12	8	11	23	11	3	9	9	7	12	7	8					
		2.28%	2.70%	2.73%	3.34%	3.05%	2.47%	2.40%	2.26%	2.65%	3.06%	3.06%	3.55%	1.44%	2.97%	2.62%	1.50%	1.49%	2.48%	3.34%	2.88%	3.95%	2.53%	3.73%	2.78%	2.13%	1.35%	2.11%	1.99%	2.21%	2.36%	1.79%	2.04%	2.93%	3.30%	1.90%	2.75%	2.17%	3.88%	1.98%	2.27%	3.25%	2.80%	2.57%	1.95%	2.90%	2.35%	2.26%	2.03%	1.74%	2.02%	3.54%	1.17%	1.74%	1.23%	2.27%	0.70%	2.16%	1.68%	1.18%	0.95%	0.50%	0.82%	1.45%	0.84%	0.55%	0.79%	2.42%	1.11%	3.17%	2.71%	6.96%					
20	3.Политическая партия «Демократическая партия России»	207	3	3	4	4	3	1	2	4	1	5	2	5	5	6	3	2	3	5	2	6	2	4	4	6	3	3	6	1	2	0	3	0	3	0	1	2	5	4	2	1	3	4	6	3	4	4	6	1	20	1	0	1	4	1	0	3	3	0	10	2	1	0	4	1	2	0	1	0	0	1					
		0.23%	0.20%	0.21%	0.35%	0.29%	0.19%	0.08%	0.16%	0.32%	0.07%	0.34%	0.17%	0.30%	0.34%	0.41%	0.17%	0.17%	0.21%	0.36%	0.13%	0.47%	0.14%	0.33%	0.24%	0.41%	0.18%	0.13%	0.34%	0.07%	0.13%	0.00%	0.19%	0.00%	0.18%	0.00%	0.08%	0.13%	0.33%	0.26%	0.13%	0.15%	0.32%	0.25%	0.32%	0.23%	0.26%	0.26%	0.68%	0.12%	1.15%	0.07%	0.00%	0.08%	0.98%	0.07%	0.00%	0.36%	0.24%	0.00%	0.79%	0.13%	0.07%	0.00%	0.30%	0.18%	0.18%	0.00%	0.16%	0.00%	0.00%	0.87%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	13173	277	256	218	225	241	211	232	180	264	280	210	245	213	195	234	183	233	226	260	189	240	137	220	215	249	244	260	207	221	126	273	215	258	228	227	313	230	269	274	82	117	222	154	242	321	266	141	133	137	214	198	174	65	174	51	124	191	54	170	184	102	153	135	73	132	48	42	41	43	12					
		14.78%	18.70%	17.50%	19.16%	16.36%	15.66%	17.47%	18.08%	14.46%	18.78%	19.03%	17.36%	14.68%	14.37%	13.45%	13.49%	15.99%	16.05%	16.06%	17.40%	14.65%	16.84%	11.37%	13.01%	14.77%	14.60%	10.74%	14.83%	15.27%	14.49%	13.29%	17.41%	17.04%	15.79%	16.06%	17.35%	19.95%	15.11%	17.20%	17.76%	12.11%	12.59%	13.60%	8.33%	18.47%	20.93%	17.14%	15.91%	16.50%	7.89%	15.78%	13.58%	13.19%	15.97%	11.97%	11.97%	14.87%	15.26%	10.59%	13.43%	11.56%	7.63%	9.65%	10.25%	13.37%	11.63%	12.90%	6.67%	10.85%	16.67%	10.43%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1993	46	44	34	34	41	26	32	37	33	37	23	20	62	21	54	22	32	48	47	43	32	35	48	43	35	59	55	32	33	28	32	29	52	32	28	35	22	26	27	27	31	45	35	35	31	48	28	19	22	19	22	22	8	21	10	9	18	3	5	27	8	15	12	7	13	10	8	12	4	0					
		2.24%	3.11%	3.01%	2.99%	2.47%	2.66%	2.15%	2.49%	2.97%	2.35%	2.52%	1.90%	1.20%	4.18%	1.45%	3.11%	1.92%	2.20%	3.41%	3.15%	3.33%	2.25%	2.90%	2.84%	2.95%	2.05%	2.60%	3.14%	2.36%	2.16%	2.95%	2.04%	2.30%	3.18%	2.25%	2.14%	2.23%	1.45%	1.66%	1.75%	3.99%	3.34%	2.76%	1.89%	2.67%	2.02%	3.09%	3.16%	2.36%	1.27%	1.40%	1.51%	1.67%	1.97%	1.44%	2.35%	1.08%	1.44%	0.59%	0.39%	1.70%	0.60%	0.95%	0.91%	1.28%	1.15%	2.69%	1.27%	3.17%	1.55%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	381	7	6	6	5	5	9	2	8	2	9	5	3	13	6	2	3	6	9	13	5	7	5	5	6	5	10	14	4	2	5	5	7	7	7	10	12	11	10	6	0	2	4	9	4	7	6	2	5	7	2	1	3	2	6	1	4	5	3	14	6	6	8	8	0	2	0	1	1	0	0					
		0.43%	0.47%	0.41%	0.53%	0.36%	0.32%	0.75%	0.16%	0.64%	0.14%	0.61%	0.41%	0.18%	0.88%	0.41%	0.12%	0.26%	0.41%	0.64%	0.87%	0.39%	0.49%	0.41%	0.30%	0.41%	0.29%	0.44%	0.80%	0.29%	0.13%	0.53%	0.32%	0.55%	0.43%	0.49%	0.76%	0.76%	0.72%	0.64%	0.39%	0.00%	0.22%	0.25%	0.49%	0.31%	0.46%	0.39%	0.23%	0.62%	0.40%	0.15%	0.07%	0.23%	0.49%	0.41%	0.23%	0.48%	0.40%	0.59%	1.11%	0.38%	0.45%	0.50%	0.61%	0.00%	0.18%	0.00%	0.16%	0.26%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	6951	100	126	72	116	128	106	90	87	107	121	77	139	114	131	101	89	134	116	107	81	125	82	137	113	126	185	124	99	114	65	128	89	129	122	98	113	144	160	125	58	86	82	129	74	126	97	52	46	306	109	94	98	35	124	38	79	94	34	73	74	71	129	146	38	72	40	63	28	24	12					
		7.80%	6.75%	8.61%	6.33%	8.44%	8.32%	8.77%	7.01%	6.99%	7.61%	8.23%	6.36%	8.33%	7.69%	9.03%	5.82%	7.78%	9.23%	8.24%	7.16%	6.28%	8.77%	6.80%	8.10%	7.76%	7.39%	8.15%	7.07%	7.30%	7.48%	6.86%	8.16%	7.05%	7.89%	8.59%	7.49%	7.20%	9.46%	10.23%	8.10%	8.57%	9.26%	5.02%	6.98%	5.65%	8.21%	6.25%	5.87%	5.71%	17.63%	8.04%	6.45%	7.43%	8.60%	8.53%	8.92%	9.47%	7.51%	6.67%	5.77%	4.65%	5.31%	8.14%	11.09%	6.96%	6.34%	10.75%	10.00%	7.41%	9.30%	10.43%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7785	136	144	100	126	137	102	124	118	145	114	103	149	130	132	150	98	140	109	135	133	190	68	165	154	139	196	143	117	151	97	160	118	149	164	144	139	146	131	138	57	103	131	114	149	146	168	86	68	71	121	128	99	43	104	32	88	133	25	92	85	72	111	79	51	71	31	30	36	22	5					
		8.74%	9.18%	9.84%	8.79%	9.16%	8.90%	8.44%	9.66%	9.48%	10.31%	7.75%	8.51%	8.93%	8.77%	9.10%	8.65%	8.57%	9.64%	7.75%	9.04%	10.31%	13.33%	5.64%	9.76%	10.58%	8.15%	8.63%	8.16%	8.63%	9.90%	10.23%	10.20%	9.35%	9.12%	11.55%	11.01%	8.86%	9.59%	8.38%	8.94%	8.42%	11.09%	8.03%	6.17%	11.37%	9.52%	10.82%	9.71%	8.44%	4.09%	8.92%	8.78%	7.51%	10.57%	7.15%	7.51%	10.55%	10.62%	4.90%	7.27%	5.34%	5.39%	7.00%	5.99%	9.34%	6.26%	8.33%	4.76%	9.52%	8.53%	4.35%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1502	29	27	20	38	25	10	26	22	21	32	19	29	32	16	16	20	24	22	27	22	19	23	19	30	29	40	22	32	27	16	32	16	32	30	18	24	44	29	27	13	18	32	29	21	31	35	13	17	36	26	25	21	4	34	7	18	21	5	25	11	15	10	10	3	10	4	8	10	3	1					
		1.69%	1.96%	1.85%	1.76%	2.76%	1.62%	0.83%	2.03%	1.77%	1.49%	2.18%	1.57%	1.74%	2.16%	1.10%	0.92%	1.75%	1.65%	1.56%	1.81%	1.71%	1.33%	1.91%	1.12%	2.06%	1.70%	1.76%	1.25%	2.36%	1.77%	1.69%	2.04%	1.27%	1.96%	2.11%	1.38%	1.53%	2.89%	1.85%	1.75%	1.92%	1.94%	1.96%	1.57%	1.60%	2.02%	2.26%	1.47%	2.11%	2.07%	1.92%	1.71%	1.59%	0.98%	2.34%	1.64%	2.16%	1.68%	0.98%	1.97%	0.69%	1.12%	0.63%	0.76%	0.55%	0.88%	1.08%	1.27%	2.65%	1.16%	0.87%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	46941	697	635	529	641	724	590	615	615	663	676	596	928	701	787	985	578	686	689	702	608	639	671	903	706	982	1297	921	693	775	499	801	604	802	643	619	724	727	777	765	363	448	930	1175	597	665	740	443	441	991	718	845	774	214	871	246	411	645	356	799	1123	978	1033	825	332	742	198	425	210	140	70					
		52.67%	47.06%	43.40%	46.49%	46.62%	47.04%	48.84%	47.93%	49.40%	47.16%	45.96%	49.26%	55.60%	47.30%	54.28%	56.77%	50.52%	47.25%	48.97%	46.99%	47.13%	44.84%	55.68%	53.40%	48.49%	57.56%	57.11%	52.54%	51.11%	50.82%	52.64%	51.08%	47.86%	49.08%	45.28%	47.32%	46.14%	47.77%	49.68%	49.58%	53.62%	48.22%	56.99%	63.58%	45.57%	43.35%	47.68%	50.00%	54.71%	57.09%	52.95%	57.96%	58.68%	52.58%	59.90%	57.75%	49.28%	51.52%	69.80%	63.11%	70.54%	73.20%	65.17%	62.64%	60.81%	65.37%	53.23%	67.46%	55.56%	54.26%	60.87%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3654	79	99	50	76	83	62	67	66	48	84	63	52	79	48	85	80	67	68	77	90	64	87	49	67	53	87	86	70	64	48	44	48	75	67	49	86	50	55	62	32	57	67	70	79	66	72	53	17	29	45	43	34	9	39	17	28	50	8	18	28	16	25	26	12	29	11	12	19	6	3					
		4.10%	5.33%	6.77%	4.39%	5.53%	5.39%	5.13%	5.22%	5.30%	3.41%	5.71%	5.21%	3.12%	5.33%	3.31%	4.90%	6.99%	4.61%	4.83%	5.15%	6.98%	4.49%	7.22%	2.90%	4.60%	3.11%	3.83%	4.91%	5.16%	4.20%	5.06%	2.81%	3.80%	4.59%	4.72%	3.75%	5.48%	3.29%	3.52%	4.02%	4.73%	6.14%	4.11%	3.79%	6.03%	4.30%	4.64%	5.98%	2.11%	1.67%	3.32%	2.95%	2.58%	2.21%	2.68%	3.99%	3.36%	3.99%	1.57%	1.42%	1.76%	1.20%	1.58%	1.97%	2.20%	2.56%	2.96%	1.90%	5.03%	2.33%	2.61%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
