Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
Наименование Избирательной комиссии:    Красносельская  №26																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК  5346					
1	"Число избирателей, внесенных в списки"	121062	273	2213	2051	2235	2384	2383	2543	2641	2734	2689	2525	2290	1907	1778	2085	2330	2508	2019	2139	2272	249	1747	1772	1357	2242	2207	2141	2397	2309	2358	2365	2216	2144	1162	2179	2300	2086	2380	2072	3025	899	1041	2167	2045	2435	1333	2401	2070	2471	2266	2769	810	2236	2620	2174	1943	118	882	541	3111	23					
2	"Число бюллетеней, полученных участковыми комиссиями"	155580	300	2100	2000	2200	2300	2300	2500	2600	2700	2700	2400	2300	1900	1700	2000	2300	2500	2000	2100	2200	300	1700	1700	1300	2200	2100	2000	2300	2300	2200	2300	2200	2100	1100	2200	2300	2100	2300	2000	3000	900	1000	2100	2000	2400	1300	2300	2000	2300	2200	2700	750	2200	2600	2100	1900	150	800	500	3000	37580					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	50548	273	1052	854	1043	987	1100	978	1100	1288	1142	887	1014	760	730	852	1039	1064	956	836	667	249	689	743	479	1072	910	935	1073	907	1078	1108	929	861	375	563	912	820	981	1489	1161	371	325	852	793	950	484	1011	805	931	837	1180	244	946	1028	952	787	118	447	100	1408	23					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1047	0	22	29	24	17	12	9	24	10	14	4	14	8	9	14	15	28	18	11	44	0	17	9	12	14	22	10	14	24	22	21	23	14	37	72	5	17	6	36	16	7	14	10	13	13	16	14	28	27	21	20	15	10	35	16	19	0	7	43	2	0					
6	Число погашенных бюллетеней	103985	27	1026	1117	1133	1296	1188	1513	1476	1402	1544	1509	1272	1132	961	1134	1246	1408	1026	1253	1489	51	994	948	809	1114	1168	1055	1213	1369	1100	1171	1248	1225	688	1565	1383	1263	1313	475	1823	522	661	1238	1194	1437	800	1275	1167	1342	1342	1500	491	1244	1537	1132	1094	32	346	357	1590	37557					
7	Число бюллетеней в переносных ящиках для голосования	1047	0	22	29	24	17	12	9	24	10	14	4	14	8	9	14	15	28	18	11	44	0	17	9	12	14	22	10	14	24	22	21	23	14	37	72	5	17	6	36	16	7	14	10	13	13	16	14	28	27	21	20	15	10	35	16	19	0	7	43	2	0					
8	Число бюллетеней в стационарных ящиках для голосования	50476	273	1052	851	1043	987	1100	978	1100	1288	1139	885	997	759	730	850	1039	1064	956	836	666	249	688	743	479	1072	910	935	1073	907	1078	1108	920	856	375	563	909	819	980	1487	1160	371	324	851	792	946	484	1008	804	930	837	1180	244	942	1028	951	787	118	447	100	1405	23					
9	Число недействительных бюллетеней	429	1	9	6	7	14	11	5	10	4	6	2	14	5	2	9	11	12	3	4	11	21	3	2	3	6	11	6	8	4	6	6	9	30	6	3	11	1	4	14	8	9	7	13	3	5	6	0	2	7	1	17	0	7	9	7	15	1	4	0	8	0					
10	Число действительных бюллетеней	51094	272	1065	874	1060	990	1101	982	1114	1294	1147	887	997	762	737	855	1043	1080	971	843	699	228	702	750	488	1080	921	939	1079	927	1094	1123	934	840	406	632	903	835	982	1509	1168	369	331	848	802	954	494	1022	830	950	857	1183	259	945	1054	960	791	117	450	143	1399	23					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	3050	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	50	50	50	200					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	592	0	10	11	10	13	9	16	13	21	15	9	16	9	3	10	16	7	13	8	3	0	11	2	4	16	15	9	13	13	10	18	9	9	3	4	8	7	7	3	29	4	3	8	11	8	9	9	9	9	10	23	0	7	9	11	10	0	6	2	42	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	411	8	17	14	11	5	12	7	7	20	4	7	6	6	7	7	7	2	3	7	10	0	5	0	5	4	11	7	9	2	6	11	6	7	5	3	6	3	1	5	11	3	11	4	5	4	11	8	11	12	3	6	9	5	5	8	10	0	8	10	4	0					
14	Число погашенных открепительных удостоверений	2458	0	40	39	40	37	41	34	37	29	35	41	34	41	47	40	34	43	37	42	47	0	39	48	46	34	35	41	37	37	40	32	41	41	47	46	42	43	43	47	21	46	47	42	39	42	41	41	41	41	40	27	50	43	41	39	40	0	44	48	8	200					
15	Число открепительных удостоверений выданных ТИК	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
18	"1. ""ЕДИНЕНИЕ"""	413	6	7	6	1	7	7	4	12	8	4	5	7	7	5	5	5	15	6	7	11	4	5	4	2	10	6	9	9	13	9	7	5	5	3	4	4	11	7	15	11	7	1	6	4	4	3	9	4	9	7	9	2	7	13	7	13	8	7	1	14	0					
		0.80%	2.19%	0.65%	0.68%	0.09%	0.69%	0.62%	0.40%	1.06%	0.61%	0.34%	0.56%	0.69%	0.91%	0.67%	0.57%	0.47%	1.37%	0.61%	0.82%	1.54%	1.60%	0.70%	0.53%	0.40%	0.92%	0.64%	0.95%	0.82%	1.39%	0.81%	0.62%	0.53%	0.57%	0.72%	0.62%	0.43%	1.31%	0.70%	0.98%	0.93%	1.85%	0.29%	0.69%	0.49%	0.41%	0.6%	0.88%	0.48%	0.94%	0.81%	0.75%	0.77%	0.73%	1.22%	0.72%	1.61%	6.77%	1.54%	0.69%	0.99%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3051	13	89	63	99	67	59	67	72	99	69	53	79	77	32	61	53	70	101	35	38	3	52	51	31	102	53	57	70	49	94	88	60	52	15	25	36	42	26	34	54	19	20	41	60	69	27	53	38	44	49	52	20	54	56	39	40	3	18	4	51	4					
		5.92%	4.76%	8.28%	7.15%	9.27%	6.67%	5.30%	6.78%	6.40%	7.62%	5.98%	5.96%	7.81%	10.03%	4.33%	7.06%	5.02%	6.41%	10.36%	4.13%	5.35%	1.20%	7.37%	6.78%	6.31%	9.39%	5.68%	6.03%	6.43%	5.26%	8.54%	7.79%	6.36%	5.97%	3.64%	3.93%	3.93%	5.02%	2.63%	2.23%	4.59%	5.02%	5.91%	4.76%	7.45%	7.19%	5.4%	5.18%	4.56%	4.59%	5.71%	4.33%	7.72%	5.67%	5.26%	4.03%	4.96%	2.54%	3.96%	2.79%	3.62%	17.39%					
