Выборы Президента Российской Федерации																																																																																																																						
Дата голосования: 04.03.2012																																																																																																																						
																																																																																																																						
Наименование Избирательной комиссии:    Ангарская																																																																																																																						
																																																																																																																						
Сводная таблица итогов голосования																																																																																																																						
																																																																																																																						
	Число участковых избирательных комиссий	107																																																																																																																				
	Число участковых избирательных комиссий, приступивших к передаче сведений	107																																																																																																																				
																																																																																																																						
		Сумма	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156									
1	Число избирателей, включенных в список избирателей	195566	1758	1746	1806	2045	1474	2590	1399	1536	1969	2286	1971	1750	2117	1999	2063	1901	2174	1551	1789	1873	2509	1836	1446	1503	2380	2527	2036	1905	2440	2065	1661	2454	2144	2382	2004	1965	2088	1872	1832	2385	1707	1912	2401	2023	2649	2439	1823	2518	2552	2067	1772	1809	2214	2120	1573	1943	1687	2374	2544	1878	1653	1915	1995	2107	2122	2030	2295	2078	2238	1570	2559	2377	2016	1975	2340	2448	2492	2461	2761	2049	1779	1726	1297	1930	1827	1528	1674	2540	2442	2196	1216	1180	1001	1508	1171	2036	676	1738	139	137	71	91	448	105	80	232	81									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	180900	1600	1600	1600	1900	1200	2400	1300	1400	1800	2000	1800	1500	2000	1800	1800	1800	2000	1400	1600	1700	2400	1700	1300	1400	2200	2400	1700	1700	2300	1900	1500	2300	2000	2200	1900	1800	2000	1700	1700	2200	1500	1800	2200	1900	2500	2300	1700	2400	2400	1900	1600	1700	2000	2000	1400	1800	1500	2200	2400	1700	1500	1800	1900	2000	2000	1900	2200	2000	2100	1400	2400	2200	1900	1800	2200	2300	2400	2300	2600	1900	1600	1600	1100	1800	1700	1400	1500	2200	2300	2000	1000	1000	900	1300	1000	1900	600	1600	200	200	200	200	600	200	200	200	200									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	112003	702	761	815	976	720	1294	781	907	1100	1217	1147	918	1241	1173	1170	1220	1369	961	929	893	1363	999	829	895	1325	1463	1183	1167	1462	1294	967	1410	1138	1329	1041	1111	1259	1075	1083	1323	839	990	1410	1122	1523	1486	1064	1516	1374	1257	1013	991	1251	1214	923	1210	1084	1438	1441	1092	907	1244	1172	1162	1240	1192	1368	1225	1231	800	1538	1487	1288	1195	1412	1565	1526	1566	1622	1167	1091	1171	753	1098	1163	980	1000	1739	1571	1396	527	523	375	771	527	924	218	854	68	137	17	75	448	105	70	177	70									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2923	26	8	39	62	57	38	22	15	30	20	29	27	38	36	35	48	28	20	24	29	31	29	12	42	31	29	21	16	16	13	23	33	42	26	29	34	11	13	20	41	13	28	27	24	36	32	25	12	33	23	21	18	32	35	33	10	9	25	47	22	24	15	17	30	17	24	34	34	238	10	24	22	20	18	22	32	21	16	23	24	39	28	19	26	32	11	26	27	14	12	38	26	69	4	14	34	51	19	48	0	54	16	0	0	3	0	0									
6	Число погашенных избирательных бюллетеней	65974	872	831	746	862	423	1068	497	478	670	763	624	555	721	591	595	532	603	419	647	778	1006	672	459	463	844	908	496	517	822	593	510	857	820	845	830	655	730	612	597	836	648	782	763	754	941	782	611	872	993	620	566	691	717	751	444	580	407	737	912	586	569	541	711	808	743	684	798	741	631	590	838	691	592	587	766	703	853	718	955	709	470	401	328	676	505	409	474	434	715	592	435	451	456	525	459	942	331	727	84	63	129	109	152	95	127	23	130									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2923	26	8	39	62	57	38	22	15	30	20	29	27	38	36	35	48	28	20	24	29	31	29	12	42	31	29	21	16	16	13	23	33	42	26	29	34	11	13	20	41	13	28	27	24	36	32	25	12	33	23	21	18	32	35	33	10	9	25	47	22	24	15	17	30	17	24	34	34	238	10	24	22	20	18	22	32	21	16	23	24	39	28	19	26	32	11	26	27	14	12	38	26	69	4	14	34	51	19	48	0	54	16	0	0	3	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	111918	702	761	815	976	720	1294	781	907	1100	1217	1147	918	1241	1173	1165	1220	1369	961	929	893	1363	999	829	893	1325	1462	1183	1167	1462	1294	967	1410	1138	1329	1041	1111	1259	1075	1083	1323	839	990	1410	1122	1523	1486	1064	1514	1308	1257	1013	991	1251	1214	923	1210	1084	1438	1436	1092	907	1244	1172	1162	1240	1192	1368	1225	1231	800	1538	1486	1288	1195	1412	1565	1526	1566	1621	1167	1091	1171	753	1098	1163	980	1000	1739	1570	1396	527	523	375	771	527	924	218	853	68	137	17	75	448	105	70	177	70									
9	Число недействительных избирательных бюллетеней	1593	7	10	19	20	17	21	13	14	17	18	13	9	15	21	20	13	23	17	15	18	20	9	13	16	19	25	9	18	16	24	11	22	18	21	9	17	20	10	14	18	12	5	20	15	23	18	12	24	56	17	8	11	10	25	5	16	11	28	14	19	9	21	10	11	20	12	20	14	21	7	24	24	20	12	17	37	24	13	14	15	17	21	13	18	13	13	20	32	26	21	0	6	3	10	5	7	1	11	1	0	0	1	5	2	0	4	0									
10	Число действительных избирательных бюллетеней	113248	721	759	835	1018	760	1311	790	908	1113	1219	1163	936	1264	1188	1180	1255	1374	964	938	904	1374	1019	828	919	1337	1466	1195	1165	1462	1283	979	1421	1162	1334	1061	1128	1250	1078	1089	1346	840	1013	1417	1131	1536	1500	1077	1502	1285	1263	1026	998	1273	1224	951	1204	1082	1435	1469	1095	922	1238	1179	1181	1237	1204	1382	1245	1448	803	1538	1484	1288	1201	1417	1560	1523	1569	1630	1176	1113	1178	759	1106	1182	978	1006	1734	1558	1387	565	543	441	765	536	951	268	861	115	137	71	90	443	103	73	173	70									
