Выборы Президента Российской Федерации																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Ангарская																																																																																																																	
																																																																																																																	
Итоги голосования 																																																																																																																	
																																																																																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106					
1	"Число избирателей, внесенных в список"	196466	1534	1655	1764	1862	1509	2628	1395	1600	2051	2234	2015	2323	1895	2172	1119	2110	2314	1701	1852	2118	2635	1918	1539	1657	2423	2190	1984	2773	2854	1772	2374	2000	1810	1618	1610	1750	2086	899	2810	2807	262	1572	1886	1822	1974	2330	2549	2313	2494	2739	2370	1863	1909	1372	2936	2396	2189	2737	2571	2420	1862	2073	1686	2279	2035	2254	2237	2380	2399	2472	1477	2257	2231	1568	1996	1611	2464	2006	944	2712	1764	2748	2473	2027	1895	1407	1871	2191	1628	1271	2741	2614	1090	699	2533	1816	630	1631	29	83	70	34	52	19	33	110					
2	Число полученных избирательных бюллетеней	191550	1500	1600	1600	1700	1300	2500	1300	1500	1900	2100	1900	2100	1600	2000	2000	2000	2100	1600	1900	2100	2600	1900	1500	1600	2400	2100	1900	2700	2800	1700	2300	1900	1700	1600	1600	1800	1900	900	2800	2800	250	1600	1900	1700	1900	2300	2400	2300	2400	2700	2300	1800	1900	1300	2900	2300	2200	2700	2500	2400	1800	2000	1600	2200	2000	2200	2200	2300	2400	2500	1400	2200	2200	1500	2000	1600	2400	1800	900	2600	1700	2700	2400	2000	1800	1300	1800	2100	1600	1200	2000	2600	1100	700	2600	1800	600	1600	200	200	200	200	200	200	200	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	98603	540	623	580	720	643	1117	676	818	1054	1083	1043	1163	1068	1193	1096	1166	1304	926	897	980	1272	928	761	795	1126	1058	984	1480	1438	959	1221	1005	871	727	807	870	1147	418	1366	1455	135	803	914	928	942	1222	1285	1245	1224	1195	1191	944	1006	702	1493	1263	1141	1264	1349	1218	928	1052	872	1160	986	1095	1130	1169	1173	1037	738	1171	1197	804	1038	737	1102	1163	357	1405	999	1472	1224	1103	1105	712	920	1249	926	697	1667	1403	452	303	1216	693	156	727	28	78	70	34	52	18	33	110					
5	"Число избирательных бюллетеней, выданных вне помещения"	2692	20	21	68	40	61	39	29	27	27	39	33	40	37	35	23	47	32	24	27	29	46	28	9	34	25	15	11	15	13	14	39	33	31	23	26	19	31	8	23	9	27	32	25	16	28	14	28	10	24	27	15	15	25	22	59	18	17	31	23	40	15	19	9	16	16	9	19	48	20	293	5	28	17	11	16	11	9	30	16	19	19	10	32	29	17	25	18	26	21	8	13	13	34	57	16	19	29	34	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	90255	940	956	952	940	596	1344	595	655	819	978	824	897	495	772	881	787	764	650	976	1091	1282	944	730	771	1249	1027	905	1205	1349	727	1040	862	798	850	767	911	722	474	1411	1336	88	765	961	756	930	1064	1087	1045	1152	1478	1094	841	869	576	1348	1019	1042	1405	1128	1142	857	929	719	1024	998	1096	1051	1083	1207	1170	657	1001	986	685	946	852	1289	607	527	1176	682	1218	1144	868	678	563	862	825	653	495	320	1184	614	340	1368	1088	415	839	172	122	130	166	148	182	167	90					
7	Число избирательных бюллетеней в переносных ящиках	2692	20	21	68	40	61	39	29	27	27	39	33	40	37	35	23	47	32	24	27	29	46	28	9	34	25	15	11	15	13	14	39	33	31	23	26	19	31	8	23	9	27	32	25	16	28	14	28	10	24	27	15	15	25	22	59	18	17	31	23	40	15	19	9	16	16	9	19	48	20	293	5	28	17	11	16	11	9	30	16	19	19	10	32	29	17	25	18	26	21	8	13	13	34	57	16	19	29	34	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	98530	540	623	580	720	643	1117	676	818	1020	1083	1043	1163	1068	1193	1096	1164	1304	926	897	980	1272	928	761	795	1126	1058	984	1480	1438	959	1221	1005	871	727	807	870	1147	418	1366	1455	135	803	907	927	942	1217	1285	1245	1219	1195	1191	943	1006	702	1493	1263	1141	1264	1349	1216	928	1052	872	1160	986	1095	1128	1169	1173	1037	738	1171	1197	804	1038	726	1102	1163	357	1404	999	1472	1224	1103	1105	712	920	1248	926	696	1667	1403	452	303	1216	693	156	727	28	78	70	34	52	18	33	110					
9	Число недействительных избирательных бюллетеней	754	6	13	8	5	3	9	5	4	7	9	6	5	4	11	14	6	11	6	9	6	8	12	12	8	10	7	4	6	14	4	5	2	10	6	4	8	6	6	9	7	2	8	7	6	10	6	2	10	2	15	3	7	4	20	3	12	4	3	9	11	6	12	12	11	9	14	9	16	4	12	8	7	7	3	0	8	0	8	2	4	2	8	16	30	3	2	15	5	11	4	13	7	3	6	20	5	1	11	0	0	0	0	0	0	0	1					
10	Число действительных избирательных бюллетеней	100468	554	631	640	755	701	1147	700	841	1040	1113	1070	1198	1101	1217	1105	1205	1325	944	915	1003	1310	944	758	821	1141	1066	991	1489	1437	969	1255	1036	892	744	829	881	1172	420	1380	1457	160	827	925	937	960	1225	1311	1245	1241	1207	1203	951	1027	704	1549	1269	1154	1292	1363	1245	937	1059	869	1165	993	1090	1138	1201	1189	1318	735	1192	1207	812	1054	729	1111	1185	371	1419	1016	1474	1240	1102	1119	735	923	1269	936	700	1667	1409	483	354	1212	707	184	750	28	78	70	34	52	18	33	109					
11	Число полученных открепительных  удостоверений	2500	20	20	110	20	110	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	110	20	20	20	20	20	20	20	20	20	110	20	20	110	20	20	20	110	20	20	20	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1026	7	2	7	11	9	17	9	5	10	8	12	14	12	12	11	14	17	11	9	14	6	6	13	10	8	8	10	15	12	12	12	12	6	9	13	16	11	4	10	20	1	5	9	5	3	12	9	10	8	10	4	10	11	7	20	10	8	13	5	14	7	6	8	13	12	10	11	12	13	13	3	10	10	11	15	7	18	64	3	11	9	15	11	8	14	10	6	11	11	3	21	11	2	4	20	7	1	7	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	833	6	4	8	7	7	5	3	3	4	3	7	8	6	14	8	7	14	3	5	7	3	9	0	1	4	9	6	12	6	3	6	10	2	3	5	6	6	2	10	6	27	7	7	12	2	3	5	3	4	1	3	9	8	1	7	5	0	6	1	2	1	5	4	8	9	7	5	3	7	1	0	8	10	8	9	2	18	9	4	8	8	4	4	13	8	0	3	6	5	6	13	8	7	3	6	9	4	7	28	11	29	34	52	18	33	37					
14	Число неиспользованных открепительных удостоверений	1474	13	18	103	9	101	3	11	15	10	12	8	6	8	8	9	6	3	9	11	6	14	14	7	10	12	12	10	5	8	8	8	8	14	11	7	4	9	16	10	0	19	15	11	15	17	8	11	10	12	10	16	10	9	13	0	10	12	7	15	6	13	14	12	7	8	10	9	8	7	7	17	10	10	9	5	13	2	46	17	9	11	5	9	12	6	10	14	99	9	17	89	9	18	16	90	13	19	13	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																	
18	. Глазьев Сергей Юрьевич	5524	17	30	16	43	28	52	31	34	56	49	58	54	68	72	60	67	63	40	31	43	46	57	47	48	40	52	53	76	58	56	58	56	50	35	40	40	59	16	61	76	2	34	42	42	56	64	75	71	53	75	51	32	59	42	94	63	66	98	98	84	61	74	54	81	64	71	69	77	73	110	55	85	84	47	72	45	63	23	8	72	64	99	80	64	70	42	30	88	58	47	79	69	12	21	95	78	9	75	2	1	5	0	2	1	2	6					
