Выборы Президента Российской Федерации																																																																																																																		
Дата голосования: 02.03.2008																																																																																																																		
																																																																																																																		
Наименование Избирательной комиссии:    Ангарская																																																																																																																		
																																																																																																																		
Сводная таблица результатов выборов																																																																																																																		
																																																																																																																		
	Число участковых избирательных комиссий	107																																																																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	107																																																																																																																
																																																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107					
1	"Число избирателей, включенных в списки избирателей"	197923	1614	1688	1833	1898	1561	2716	1393	1601	2027	2338	2018	1703	2226	2075	2114	1994	2305	1615	1904	2017	2530	1894	1495	1533	2392	2571	2095	1290	2498	2591	1703	2429	2167	2389	2010	2012	2208	1929	1878	2499	1618	1900	2061	2092	2635	2521	1854	2575	2651	2102	1797	1852	2287	2409	1369	2036	1691	2447	2604	1938	1735	1968	2039	2149	2183	2128	2364	2164	2350	1617	2639	2457	2112	2088	2359	2493	2401	2539	1893	1983	1822	1811	1343	1952	1933	1558	1745	2628	2390	2261	1217	1143	873	1621	1044	1904	629	1699	179	97	80	140	96	77	227	91	510					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	187300	1500	1600	1700	1500	1400	2600	1300	1500	1900	2200	1900	1600	2100	2000	2000	1900	2100	1500	1800	1900	2500	1800	1400	1500	2300	2400	1900	1200	2300	2500	1600	2300	2000	2300	1900	1900	2100	1900	1800	2400	1500	1800	2000	1900	2500	2400	1700	2400	2500	2000	1700	1700	2100	2300	1300	1900	1600	2300	2500	1800	1600	1800	2000	2000	2000	2000	2200	2100	2200	1500	2500	2400	2000	2000	2300	2400	2300	2500	1700	1900	1700	1700	1300	1800	1900	1500	1700	2500	2300	2200	1100	1000	800	1400	1000	1700	600	1600	200	200	200	200	200	200	200	200	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	106501	558	776	744	876	811	1286	709	855	1077	1056	1077	862	1205	1153	1111	1144	1275	941	923	998	1274	976	803	903	1236	1324	1100	848	1368	1431	933	1305	1093	1231	1014	1073	1178	992	1177	1225	803	955	1087	1005	1400	1383	1008	1435	1280	1143	981	982	1251	1313	791	1187	970	1342	1316	1041	881	1150	1109	1112	1171	1165	1283	1115	1131	901	1396	1409	1223	1172	1295	1536	1377	1513	943	1172	1059	1175	802	1080	1125	969	1009	1735	1456	1402	568	565	399	832	481	827	203	776	158	97	76	129	96	67	166	91	510					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3431	45	9	84	50	38	76	20	24	40	35	53	44	53	60	35	52	36	15	26	41	61	23	28	48	34	26	20	12	19	12	27	53	46	48	37	43	22	19	35	54	35	41	14	26	49	40	20	23	41	24	18	32	42	38	20	7	19	23	51	19	28	11	31	46	25	23	37	33	225	7	33	18	30	28	21	30	21	27	25	20	24	14	19	28	24	23	24	18	5	27	53	46	83	28	42	66	59	44	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	77368	897	815	872	574	551	1238	571	621	783	1109	770	694	842	787	854	704	789	544	851	861	1165	801	569	549	1030	1050	780	340	913	1057	640	942	861	1021	849	784	900	889	588	1121	662	804	899	869	1051	977	672	942	1179	833	701	686	807	949	489	706	611	935	1133	740	691	639	860	842	804	812	880	952	844	592	1071	973	747	800	984	834	902	960	732	708	617	511	479	692	751	508	667	747	839	771	479	389	318	540	477	807	338	780	42	103	124	71	104	133	34	109	90					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3431	45	9	84	50	38	76	20	24	40	35	53	44	53	60	35	52	36	15	26	41	61	23	28	48	34	26	20	12	19	12	27	53	46	48	37	43	22	19	35	54	35	41	14	26	49	40	20	23	41	24	18	32	42	38	20	7	19	23	51	19	28	11	31	46	25	23	37	33	225	7	33	18	30	28	21	30	21	27	25	20	24	14	19	28	24	23	24	18	5	27	53	46	83	28	42	66	59	44	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	106407	558	776	744	876	811	1286	709	855	1075	1046	1077	862	1205	1148	1111	1144	1275	941	897	998	1274	976	803	903	1236	1324	1100	848	1368	1431	933	1305	1093	1231	1014	1073	1178	992	1177	1225	803	955	1087	1005	1400	1383	1008	1412	1280	1143	980	982	1251	1313	791	1187	970	1342	1313	1041	881	1150	1108	1112	1169	1165	1283	1115	1131	901	1396	1407	1223	1172	1295	1534	1377	1513	943	1172	1059	1160	801	1080	1125	969	1009	1735	1456	1402	568	565	399	832	481	826	203	776	158	97	76	129	96	67	166	91	510					
9	Число недействительных избирательных бюллетеней	1548	5	16	13	14	2	16	7	15	16	10	26	19	22	17	18	24	16	12	11	17	17	12	16	19	23	25	13	12	21	21	11	11	18	14	19	11	21	7	17	9	12	6	15	13	32	23	13	21	25	12	7	10	19	19	9	16	13	14	23	14	12	24	8	16	12	10	18	15	16	13	25	25	17	23	18	28	21	20	15	17	3	28	7	17	24	15	14	21	23	24	10	9	6	13	4	12	3	18	1	0	0	2	0	2	2	1	7					
10	Число действительных избирательных бюллетеней	108290	598	769	815	912	847	1346	722	864	1099	1071	1104	887	1236	1191	1128	1172	1295	944	912	1022	1318	987	815	932	1247	1325	1107	848	1366	1422	949	1347	1121	1265	1032	1105	1179	1004	1195	1270	826	990	1086	1018	1417	1400	1015	1414	1296	1155	991	1004	1274	1332	802	1178	976	1351	1341	1046	897	1137	1131	1142	1182	1178	1302	1133	1340	895	1404	1400	1236	1177	1298	1536	1377	1520	953	1175	1080	1146	813	1091	1125	977	1019	1732	1438	1405	611	602	476	847	519	880	259	802	157	97	76	127	96	65	164	90	503					
