Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																											
Дата голосования: 02.12.2007																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Миасская городская																																																																																											
																																																																																											
Сводная таблица результатов выборов																																																																																											
																																																																																											
		Сумма	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228					
1	"Число избирателей, внесенных в списки избирателей"	137555	946	670	760	76	2031	1775	1945	1929	1882	1642	1762	1966	1567	1798	1606	1505	1953	2210	2177	2373	2333	2188	2520	2744	2259	1403	1605	2187	2399	2506	1630	1958	1499	1231	1160	2945	1356	1169	1343	1102	1845	1808	1969	1705	1467	1819	2350	2249	2434	2265	1287	1403	1912	2177	1914	1052	1539	1769	2693	904	2555	2704	848	1622	1040	2034	960	1271	1228	1688	1459	1648	1710	1475	1240	1430	925	613	1011	1001	926	478	121	897					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	130970	900	650	750	70	2150	1700	1900	1900	1850	1500	1700	1950	1500	1800	1550	1450	1900	2150	2100	2300	2250	2150	2450	2400	2200	1350	1500	2100	2300	2400	1550	1900	1400	1200	900	2800	1300	1100	1300	1000	1800	1600	1850	1600	1400	1750	2250	2100	2350	2200	1250	1350	1750	2100	1800	950	1450	1700	2600	800	2350	2550	800	1550	1000	1950	900	1150	1150	1550	1350	1500	1650	1350	1150	1400	850	600	950	950	850	450	100	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	84761	445	322	564	55	1155	1171	1374	1300	1214	1009	1099	1323	975	1101	1034	982	1271	1447	1477	1543	1625	1417	1618	1487	1407	884	1012	1326	1431	1591	1074	1404	921	830	830	1872	899	690	820	710	1230	975	1065	1070	892	1273	1705	1610	1685	1511	934	979	1252	1352	940	464	914	1201	1632	527	1457	1461	486	946	619	1083	472	579	675	915	801	896	861	783	640	678	471	415	591	549	439	252	74	698					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2906	116	66	28	0	77	13	19	22	20	122	27	26	22	30	12	20	21	23	24	6	17	13	25	172	21	9	30	40	40	58	17	7	7	34	10	43	22	45	42	33	45	191	60	38	37	31	28	12	14	24	15	12	24	45	23	11	39	12	26	15	47	106	19	44	20	37	14	46	33	41	46	21	19	23	19	93	56	25	26	30	32	20	5	3					
6	Число погашенных избирательных бюллетеней	43302	339	262	158	15	918	516	507	578	616	369	574	601	503	669	504	448	608	680	599	751	608	720	807	741	772	457	458	734	829	751	459	489	472	336	60	885	379	365	438	257	525	434	725	492	471	446	517	478	651	665	301	359	474	702	837	475	497	487	942	258	846	983	295	560	361	830	414	525	442	594	503	583	770	544	491	629	323	160	333	371	379	178	21	199					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2906	116	66	28	0	77	13	19	22	20	122	27	26	22	30	12	20	21	23	24	6	17	13	25	172	21	9	30	40	40	58	17	7	7	34	10	43	22	45	42	33	45	191	60	38	37	31	28	12	14	24	15	12	24	45	23	11	39	12	26	15	47	106	19	44	20	37	14	46	33	41	46	21	19	23	19	93	56	25	26	30	32	20	5	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	84724	445	322	564	55	1155	1171	1373	1300	1213	1009	1099	1319	974	1101	1032	982	1270	1447	1476	1540	1625	1412	1617	1487	1407	884	1012	1326	1431	1591	1074	1404	921	830	830	1870	899	690	820	710	1230	975	1065	1070	892	1273	1705	1609	1685	1511	932	973	1252	1352	940	464	914	1201	1629	527	1457	1458	486	946	619	1083	472	579	675	915	801	896	861	783	640	678	471	415	591	549	439	252	74	698					
9	Число недействительных избирательных бюллетеней	1046	5	3	4	0	13	16	14	7	13	10	9	10	7	20	10	10	21	24	10	18	15	20	17	11	17	16	9	15	59	20	29	16	10	6	12	14	9	15	8	16	25	17	20	9	9	16	16	21	20	20	16	3	15	10	15	3	13	13	23	3	23	28	5	13	10	17	5	3	0	10	4	5	17	9	7	7	10	5	4	5	8	1	0	5					
10	Число действительных избирательных бюллетеней	86584	556	385	588	55	1219	1168	1378	1315	1220	1121	1117	1335	989	1111	1034	992	1270	1446	1490	1528	1627	1405	1625	1648	1411	877	1033	1351	1412	1629	1062	1395	918	858	828	1899	912	720	854	727	1250	1149	1105	1099	920	1288	1717	1600	1679	1515	931	982	1261	1387	948	472	940	1200	1632	539	1481	1536	500	977	629	1103	481	622	708	946	843	912	863	797	652	764	517	435	613	574	463	271	79	696					
