Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Миасская городская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №164	УИК №165	УИК №166	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226					
1	"Число избирателей, внесенных в список избирателей"	134370	1082	762	949	48	2554	1893	1507	1718	1887	1559	1613	1510	2181	1605	1712	1899	1581	2528	2457	2412	2507	2605	2510	1176	1570	2467	2374	2466	2022	1851	1156	2058	1052	2260	1262	2128	1942	1887	1381	2086	2146	1030	1781	1696	2301	1659	1710	1951	1445	1922	2046	1485	1485	1712	2406	1433	2779	1474	2212	1078	1571	1231	1844	1311	1363	1155	1684	1664	1934	1932	1609	1368	1660	953	639	1166	1005	1075	495	743					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	113650	1000	600	700	40	2000	1500	1500	1500	1500	1500	1500	1500	2000	1500	1500	1500	1500	2000	2000	2000	2000	2000	2000	1000	1500	2000	2000	2000	1500	1500	1000	2000	1000	2000	1000	2000	1500	1500	1000	2000	2000	1000	1500	1500	2000	1500	1500	1500	1100	1500	2000	1100	1100	1500	2000	1000	2300	1060	2000	1000	1500	1000	1500	1000	1000	1000	1500	1500	1500	1500	1500	1000	1500	700	500	1000	1000	1000	400	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	65146	352	291	648	36	1324	987	931	983	1023	758	815	858	1092	816	818	992	886	1418	1272	1420	1292	1067	1332	576	781	1054	1189	1209	989	1031	443	1048	929	1137	686	1060	724	780	957	889	1421	525	989	932	1912	905	986	1082	531	847	1043	486	670	926	1187	522	933	548	1220	400	706	531	576	370	884	441	629	562	651	601	566	447	503	471	381	512	352	291	165	549					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2149	95	32	0	0	35	7	13	13	12	26	24	12	22	18	18	34	20	17	7	10	16	94	10	14	12	11	28	43	14	16	3	53	35	34	11	66	40	95	20	43	20	12	10	5	10	12	14	21	16	29	19	11	39	12	14	11	32	29	12	11	85	10	30	15	106	47	19	30	13	14	21	12	93	59	20	65	36	40	21	1					
6	Число погашенных избирательных бюллетеней	46354	553	277	52	4	641	506	556	504	465	716	661	630	886	666	664	474	594	565	721	570	692	839	658	410	707	935	783	748	497	453	554	899	36	829	303	874	736	625	23	1068	559	463	501	563	78	583	500	397	553	624	938	603	391	562	799	466	1335	483	768	589	709	459	894	615	10	512	852	908	836	885	913	541	904	170	99	423	612	669	214	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2149	95	32	0	0	35	7	13	13	12	26	24	12	22	18	18	34	20	17	7	10	16	94	10	14	12	11	28	43	14	16	3	53	35	34	11	66	40	95	20	43	20	12	10	5	10	12	14	21	16	29	19	11	39	12	14	11	32	29	12	11	85	10	30	15	106	47	19	30	13	14	21	12	93	59	20	65	36	40	21	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65119	352	291	648	36	1324	987	929	983	1022	758	814	858	1092	816	818	991	886	1415	1271	1420	1290	1067	1331	576	781	1054	1189	1209	989	1031	443	1048	929	1137	686	1053	724	780	957	889	1421	524	988	932	1912	905	986	1080	531	846	1043	486	670	926	1187	521	933	548	1220	400	706	531	575	370	884	441	629	562	651	601	566	447	502	471	381	512	352	291	165	549					
9	Число недействительных избирательных бюллетеней	1162	6	4	2	0	18	18	14	20	12	17	18	24	24	18	15	23	16	30	25	18	19	26	24	9	7	35	29	25	20	25	10	23	0	26	13	29	11	25	0	16	32	12	22	12	0	22	26	19	21	12	0	9	8	15	28	5	22	11	20	5	10	6	8	5	0	4	16	13	12	8	17	13	10	3	4	13	5	9	3	8					
10	Число действительных избирательных бюллетеней	66106	441	319	646	36	1341	976	928	976	1022	767	820	846	1090	816	821	1002	890	1402	1253	1412	1287	1135	1317	581	786	1030	1188	1227	983	1022	436	1078	964	1145	684	1090	753	850	977	916	1409	524	976	925	1922	895	974	1082	526	863	1062	488	701	923	1173	527	943	566	1212	406	781	535	597	380	990	484	632	579	652	607	570	446	585	527	397	564	383	322	183	542					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	836	13	6	3	0	6	9	14	22	8	8	15	17	18	13	10	11	14	16	21	23	11	16	17	11	12	8	9	9	8	6	7	8	5	8	5	10	13	15	10	10	23	11	16	23	18	8	6	14	10	16	8	10	10	11	14	6	13	5	8	5	11	5	9	6	10	5	24	4	8	8	12	5	5	11	3	10	6	7	3	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	779	7	5	1	0	6	9	14	21	8	8	15	17	18	13	10	10	14	14	19	21	11	16	17	11	12	8	9	9	8	6	7	8	5	8	3	8	12	15	10	10	23	11	15	21	18	8	6	14	10	16	8	7	10	11	11	5	13	5	8	4	11	5	8	6	5	2	22	4	5	7	11	4	5	11	0	10	5	7	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	579	4	2	10	5	21	5	3	2	5	1	4	9	3	3	5	12	12	16	7	6	6	29	26	1	4	6	4	6	0	9	4	2	8	79	4	11	9	8	3	6	13	1	4	4	4	2	17	25	7	0	7	3	3	6	5	1	2	5	44	2	4	3	2	3	12	3	6	2	1	1	1	2	2	9	1	4	0	2	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	57	6	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0	1	0	0	1	0	5	3	2	0	3	1	1	1	0	0	3	0	1	0	3	0					
