Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
"Наименование Избирательной комиссии:    Барнаул, Индустриальная"																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113					
1	"Число избирателей, внесенных в списки"	120351	2879	2450	2539	2841	2688	2693	629	1949	2147	2579	2471	186	1691	1493	1792	419	551	804	2552	2390	2050	2698	2605	2422	2466	2349	2644	2371	2197	2276	2740	2361	2349	2502	2414	1697	2082	2249	1976	2170	2280	2262	2046	2322	2263	2247	2163	1873	2364	2676	2553	2365	2787	2992	2797					
2	"Число бюллетеней, полученных участковыми комиссиями"	115551	2740	2323	2422	2732	2590	2558	620	1866	2081	2280	2400	250	1614	1475	1717	417	538	721	2433	2325	1986	2613	2553	2359	2380	2268	2570	2280	2078	2180	2629	2309	2259	2413	2330	1627	1920	2170	1892	2106	2202	2168	1980	2226	2179	2155	2063	1823	2278	2563	2443	2310	2691	2734	2712					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	68701	1479	1235	1405	1713	1521	1438	354	952	1181	1343	1233	181	952	837	923	297	349	500	1498	1418	1233	1575	1566	1466	1257	1306	1560	1449	1331	1308	1532	1418	1261	1482	1316	992	1230	1374	1180	1301	1293	1267	1190	1328	1252	1248	1321	1079	1470	1639	1447	1439	1554	1627	1601					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2276	35	49	39	99	44	40	23	38	55	241	91	0	31	43	60	27	10	28	21	24	22	30	23	36	28	20	9	8	19	20	31	39	60	83	69	26	114	34	26	51	35	47	40	22	47	35	35	47	19	23	33	26	28	47	46					
6	Число погашенных бюллетеней	44575	1226	1039	978	920	1025	1080	243	876	845	696	1076	69	631	595	734	93	179	193	914	883	731	1008	964	857	1095	942	1001	823	728	852	1066	853	938	848	945	609	576	762	686	754	874	854	750	876	880	872	707	697	789	901	963	845	1109	1060	1065					
7	Число бюллетеней в переносных ящиках для голосования	2275	35	49	39	99	44	40	23	38	55	241	91	0	31	43	60	27	10	28	21	23	22	30	23	36	28	20	9	8	19	20	31	39	60	83	69	26	114	34	26	51	35	47	40	22	47	35	35	47	19	23	33	26	28	47	46					
8	Число бюллетеней в стационарных ящиках для голосования	68611	1476	1235	1405	1711	1520	1438	354	950	1180	1340	1233	181	950	837	923	297	349	500	1492	1419	1233	1575	1566	1463	1255	1306	1553	1449	1328	1306	1528	1418	1261	1481	1315	991	1229	1372	1178	1295	1288	1264	1185	1328	1252	1248	1319	1079	1461	1639	1444	1437	1554	1627	1594					
9	Число недействительных бюллетеней	637	11	9	18	20	10	8	5	14	17	23	21	5	8	6	5	5	6	4	11	16	10	6	7	61	0	4	11	3	3	6	14	14	10	8	8	20	10	5	17	23	17	10	16	16	9	7	7	17	15	13	7	14	10	0	17					
10	Число действительных бюллетеней	70249	1500	1275	1426	1790	1554	1470	372	974	1218	1558	1303	176	973	874	978	319	353	524	1502	1426	1245	1599	1582	1438	1283	1322	1551	1454	1344	1320	1545	1443	1311	1556	1376	997	1333	1401	1187	1323	1306	1301	1209	1334	1290	1276	1347	1109	1465	1649	1470	1449	1572	1674	1623					
