Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
"Наименование Избирательной комиссии:    Воронеж, Ленинская"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247					
1	"Число избирателей, внесенных в списки избирателей"	99502	2919	2567	1759	2433	1781	1963	2396	2433	2010	2140	2343	1922	2399	2005	2613	1907	3009	2829	2964	275	1954	1976	2282	2142	1895	2093	2041	1751	1677	1795	1664	2056	1838	1819	1732	1397	1508	2745	2718	2765	2533	1730	1422	2547	2643	1828	2284					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	98000	2750	2350	1750	2500	1900	1900	2400	2400	2000	2100	2350	2100	2600	2000	2200	1850	2700	2800	2900	300	1950	1950	2200	2050	1900	2000	2000	1800	1650	1750	1700	2050	1750	1700	1650	1400	1500	2650	2650	2750	2600	1800	1450	2450	2650	1850	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	52504	1722	1366	968	1338	919	1065	1262	1436	941	928	1033	843	1231	878	1680	1042	1744	1656	1499	255	846	874	1196	945	861	1033	1060	1147	784	1109	934	1251	1009	1107	901	707	734	1378	1566	1488	1315	885	651	1261	1392	1010	1254					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2959	73	120	12	32	43	30	36	64	84	106	74	44	45	46	104	67	61	28	105	0	119	93	50	177	59	143	101	40	67	97	40	30	88	59	35	58	38	41	26	45	26	39	61	140	26	27	60					
6	Число погашенных избирательных бюллетеней	42537	955	864	770	1130	938	805	1102	900	975	1066	1243	1213	1324	1076	416	741	895	1116	1296	45	985	983	954	928	980	824	839	613	799	544	726	769	653	534	714	635	728	1231	1058	1217	1259	876	738	1049	1232	813	986					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2959	73	120	12	32	43	30	36	64	84	106	74	44	45	46	104	67	61	28	105	0	119	93	50	177	59	143	101	40	67	97	40	30	88	59	35	58	38	41	26	45	26	39	61	140	26	27	60					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	52473	1720	1366	968	1338	919	1064	1259	1436	940	928	1033	842	1231	878	1680	1041	1743	1654	1499	255	846	870	1194	945	859	1033	1060	1147	782	1109	933	1249	1009	1107	901	707	734	1376	1566	1485	1315	885	651	1260	1392	1010	1254					
9	Число недействительных избирательных бюллетеней	614	20	14	16	17	18	12	16	16	10	9	14	11	10	18	12	17	25	14	15	6	5	12	10	10	8	19	10	14	9	16	9	13	8	12	12	7	5	16	22	19	15	16	7	13	11	14	12					
10	Число действительных избирательных бюллетеней	54818	1773	1472	964	1353	944	1082	1279	1484	1014	1025	1093	875	1266	906	1772	1091	1779	1668	1589	249	960	951	1234	1112	910	1157	1151	1173	840	1190	964	1266	1089	1154	924	758	767	1401	1570	1511	1326	908	705	1387	1407	1023	1302					
