Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    район Южное Медведково																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №3665									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51713	2859	2692	1613	2886	2676	2395	1967	2995	3002	2739	2560	1992	2536	2138	2256	2264	2650	2942	2489	2627	1435									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37000	2050	1900	1100	2000	1850	1700	1400	2100	2100	1950	1800	1400	1800	1500	1600	1650	1850	2100	1750	1850	1550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18157	1037	887	570	870	878	732	527	887	1002	910	792	602	826	764	886	739	945	986	919	965	1433									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	421	7	15	26	36	24	12	7	38	42	25	25	12	28	7	22	8	21	29	21	16	0									
6	Число погашенных избирательных бюллетеней	18422	1006	998	504	1094	948	956	866	1175	1056	1015	983	786	946	729	692	903	884	1085	810	869	117									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	421	7	15	26	36	24	12	7	38	42	25	25	12	28	7	22	8	21	29	21	16	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18114	1035	883	569	870	874	732	526	876	1002	910	792	602	826	761	882	739	945	986	906	965	1433									
9	Число недействительных избирательных бюллетеней	391	26	16	13	18	13	10	10	0	26	21	15	10	23	12	11	19	28	14	15	16	75									
10	Число действительных избирательных бюллетеней	18144	1016	882	582	888	885	734	523	914	1018	914	802	604	831	756	893	728	938	1001	912	965	1358									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	390	20	20	20	20	20	10	10	20	20	30	20	20	20	30	20	20	20	20	10	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	290	19	20	11	15	15	6	3	16	18	17	16	10	17	19	14	17	12	18	10	17	0									
