Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Кочубеевская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	57152	2492	2485	1321	1329	1305	2711	1433	1146	1431	2626	1278	2559	2555	339	778	1188	322	245	2325	2150	328	491	283	761	98	203	989	1232	1632	2043	1184	571	244	765	692	1652	1535	169	359	387	397	230	368	206	876	338	165	546	1692	562	427	1870	724	1115									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45270	2000	2000	1000	1000	1000	2100	1100	900	1100	2100	1000	2000	2000	270	600	950	260	190	1800	1700	260	390	230	630	80	160	800	1000	1300	1650	950	460	200	620	560	1300	1250	150	300	300	300	190	300	170	700	270	130	430	1360	450	340	1500	570	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22713	800	977	667	590	627	1008	857	456	769	740	330	709	826	130	310	339	133	84	788	802	144	260	177	346	66	118	632	576	942	754	384	331	136	339	249	580	490	120	187	235	141	119	94	63	262	160	89	280	581	198	138	863	243	474									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2483	52	35	23	11	16	74	12	30	22	105	59	28	40	10	33	47	0	10	28	32	9	12	13	69	4	24	37	270	242	150	140	55	48	30	142	33	42	22	13	9	22	0	12	16	22	10	1	14	14	17	87	103	85	49									
6	Число погашенных избирательных бюллетеней	20074	1148	988	310	399	357	1018	231	414	309	1255	611	1263	1134	130	257	564	127	96	984	866	107	118	40	215	10	18	131	154	116	746	426	74	16	251	169	687	718	8	100	56	137	71	194	91	416	100	40	136	765	235	115	534	242	377									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2483	52	35	23	11	16	74	12	30	22	105	59	28	40	10	33	47	0	10	28	32	9	12	13	69	4	24	37	270	242	150	140	55	48	30	142	33	42	22	13	9	22	0	12	16	22	10	1	14	14	17	87	103	85	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22681	800	977	642	589	627	1008	857	456	769	740	330	709	820	130	310	339	133	84	788	802	144	260	177	346	66	118	632	576	942	754	384	331	136	339	249	580	490	120	187	235	141	119	94	63	262	160	89	280	581	198	138	863	243	474									
9	Число недействительных избирательных бюллетеней	638	29	27	10	6	0	14	6	42	19	11	29	38	23	11	12	17	5	7	33	44	4	7	0	3	3	4	33	11	0	25	7	13	2	15	16	12	12	4	0	2	4	0	6	2	12	1	4	5	20	1	0	5	10	12									
10	Число действительных избирательных бюллетеней	24526	823	985	655	594	643	1068	863	444	772	834	360	699	837	129	331	369	128	87	783	790	149	265	190	412	67	138	636	835	1184	879	517	373	182	354	375	601	520	138	200	242	159	119	100	77	272	169	86	289	575	214	225	961	318	511									
