Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Дедовичская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12282	1754	1873	1864	1956	103	252	234	309	532	234	205	263	215	433	384	410	287	495	479									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12250	1750	1870	1870	1960	100	250	230	310	530	230	210	260	210	430	380	410	280	490	480									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3696	492	557	635	650	58	70	54	101	157	66	68	81	59	68	41	134	79	176	150									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1062	30	36	14	19	10	81	47	79	98	43	16	54	48	128	125	88	51	25	70									
6	Число погашенных избирательных бюллетеней	7492	1228	1277	1221	1291	32	99	129	130	275	121	126	125	103	234	214	188	150	289	260									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1062	30	36	14	19	10	81	47	79	98	43	16	54	48	128	125	88	51	25	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3696	492	557	635	650	58	70	54	101	157	66	68	81	59	68	41	134	79	176	150									
9	Число недействительных избирательных бюллетеней	70	9	6	12	17	0	3	0	1	5	0	1	1	3	0	3	1	3	3	2									
10	Число действительных избирательных бюллетеней	4688	513	587	637	652	68	148	101	179	250	109	83	134	104	196	163	221	127	198	218									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	195	30	30	30	30	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	26	3	1	5	10	0	1	0	0	1	1	0	0	0	0	1	2	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	4	5	3	6	4	2	1	2	3	1	0	2	0	0	1	2	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	169	27	29	25	20	5	4	5	5	4	4	5	5	5	5	4	3	5	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	5	12	11	7	2	4	1	5	2	2	0	3	0	1	0	4	1	4	2									
		1.39%	0.96%	2.02%	1.69%	1.05%	2.94%	2.65%	0.99%	2.78%	0.78%	1.83%	0.00%	2.22%	0.00%	0.51%	0.00%	1.80%	0.77%	1.99%	0.91%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	127	13	23	18	25	2	2	1	7	7	1	0	0	0	3	5	4	3	9	4									
		2.67%	2.49%	3.88%	2.77%	3.74%	2.94%	1.32%	0.99%	3.89%	2.75%	0.92%	0.00%	0.00%	0.00%	1.53%	3.01%	1.80%	2.31%	4.48%	1.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	92	11	13	12	20	1	4	1	0	4	1	3	6	1	1	2	5	0	4	3									
		1.93%	2.11%	2.19%	1.85%	2.99%	1.47%	2.65%	0.99%	0.00%	1.57%	0.92%	3.57%	4.44%	0.93%	0.51%	1.20%	2.25%	0.00%	1.99%	1.36%									
