Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Карсунская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251					
1	"Число избирателей, внесенных в списки избирателей"	20265	1923	2001	2153	331	204	647	526	327	1970	649	824	347	562	119	529	251	543	126	601	174	97	103	251	261	238	496	481	463	717	280	60	696	747	144	424					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20095	1880	1980	2120	325	205	640	530	320	1960	635	820	340	550	115	520	255	550	125	600	177	102	102	250	260	240	500	480	460	710	280	59	700	740	145	420					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15893	1554	1375	1785	235	190	522	446	248	1636	468	693	286	423	97	389	166	433	109	444	144	76	63	183	216	196	390	327	361	612	239	53	576	518	99	341					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2468	178	261	260	50	8	71	38	65	121	103	59	45	84	17	59	49	64	3	80	17	10	34	58	38	23	83	77	64	83	37	5	87	160	36	41					
6	Число погашенных избирательных бюллетеней	1734	148	344	75	40	7	47	46	7	203	64	68	9	43	1	72	40	53	13	76	16	16	5	9	6	21	27	76	35	15	4	1	37	62	10	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2468	178	261	260	50	8	71	38	65	121	103	59	45	84	17	59	49	64	3	80	17	10	34	58	38	23	83	77	64	83	37	5	87	160	36	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15893	1554	1375	1785	235	190	522	446	248	1636	468	693	286	423	97	389	166	433	109	444	144	76	63	183	216	196	390	327	361	612	239	53	576	518	99	341					
9	Число недействительных избирательных бюллетеней	111	8	6	3	3	1	3	22	1	7	0	5	0	0	0	3	3	0	3	3	3	1	0	4	2	7	2	2	1	1	3	0	8	6	0	0					
10	Число действительных избирательных бюллетеней	18250	1724	1630	2042	282	197	590	462	312	1750	571	747	331	507	114	445	212	497	109	521	158	85	97	237	252	212	471	402	424	694	273	58	655	672	135	382					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2077	143	143	140	27	15	45	25	68	320	115	135	45	42	8	40	35	60	10	80	37	13	13	30	20	20	33	30	10	88	37	2	75	110	30	33					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1929	141	143	140	27	15	45	25	68	295	84	135	45	42	8	29	30	56	10	53	37	13	13	30	14	20	21	30	10	77	37	2	75	107	19	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	336	79	54	23	3	1	16	3	10	26	6	13	10	12	7	8	6	11	5	4	1	0	2	2	2	1	4	3	3	6	1	4	5	2	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	148	2	0	0	0	0	0	0	0	25	31	0	0	0	0	11	5	4	0	27	0	0	0	0	6	0	12	0	0	11	0	0	0	3	11	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	1	3	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	1.Политическая партия «Аграрная партия России»	200	10	19	2	1	0	9	3	5	16	2	4	3	9	2	12	2	8	2	7	4	2	0	5	2	3	9	3	6	10	1	0	14	15	2	8					
