Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Ленинградская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037					
1	"Число избирателей, внесенных в список"	50796	1954	1578	1898	2638	2142	1650	1402	1224	1466	1474	2338	1655	2286	2267	2024	1745	308	392	807	2300	81	1014	1111	478	1463	1503	2173	829	1605	1331	127	1305	1419	1382	974	148	305					
2	Число полученных избирательных бюллетеней	49622	1700	1540	1870	2600	2070	1590	1340	1220	1450	1480	2240	1630	2250	2240	1980	1690	295	385	790	2250	83	1000	1100	450	1445	1510	2140	820	1590	1330	127	1280	1365	1355	960	147	310					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29191	877	889	1070	1286	1236	856	745	696	780	813	1285	906	1109	1120	1107	904	200	250	570	1346	65	820	856	376	755	824	1183	727	911	725	98	878	775	1117	713	110	213					
5	"Число избирательных бюллетеней, выданных вне помещения"	1696	193	21	35	92	26	35	33	66	56	18	41	41	124	42	20	42	29	33	14	119	8	7	49	17	67	30	40	0	46	45	12	40	76	66	23	5	85					
6	Число погашенных избирательных бюллетеней	18735	630	630	765	1222	808	699	562	458	614	649	914	683	1017	1078	853	744	66	102	206	785	10	173	195	57	623	656	917	93	633	560	17	362	514	172	224	32	12					
7	Число избирательных бюллетеней в переносных ящиках	1696	193	21	35	92	26	35	33	66	56	18	41	41	124	42	20	42	29	33	14	119	8	7	49	17	67	30	40	0	46	45	12	40	76	66	23	5	85					
8	Число бюллетеней в стационарных ящиках для голосования	29189	877	888	1070	1286	1236	856	745	696	780	813	1285	906	1109	1120	1107	904	200	250	570	1346	65	820	856	376	755	824	1183	727	911	725	98	878	775	1117	712	110	213					
9	Число недействительных избирательных бюллетеней	247	11	6	12	14	13	7	8	3	3	4	7	11	9	7	9	3	2	0	6	5	0	2	3	3	5	8	27	2	1	0	1	15	7	17	10	1	5					
10	Число действительных избирательных бюллетеней	30638	1059	903	1093	1364	1249	884	770	759	833	827	1319	936	1224	1155	1118	943	227	283	578	1460	73	825	902	390	817	846	1196	725	956	770	109	903	844	1166	725	114	293					
11	Число полученных открепительных  удостоверений	658	20	20	26	31	30	20	16	16	18	18	30	20	30	26	26	20	5	6	18	32	5	13	14	6	15	20	30	10	18	15	4	14	18	15	15	4	14					
12	Число выданных открепительных удостоверений	196	8	10	7	9	9	6	4	3	7	7	11	11	3	9	3	3	0	0	14	14	0	3	3	2	3	2	10	0	3	0	1	9	4	10	8	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	154	4	7	1	4	8	3	5	0	0	5	49	7	3	6	3	7	2	0	2	4	0	4	3	1	0	1	2	1	1	1	1	3	3	8	5	0	0					
