Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Кавалеровская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434					
1	"Число избирателей, внесенных в списки"	24013	448	245	180	292	220	391	1960	728	1072	2614	1978	1485	2213	1811	1310	1630	1688	729	743	710	1377	189					
2	"Число бюллетеней, полученных участковыми комиссиями"	21306	437	225	184	257	194	363	1721	638	940	2285	1719	1273	1986	1580	1166	1472	1520	654	695	621	1240	136					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11353	277	128	116	205	126	175	783	358	479	1297	993	714	1068	826	584	684	826	297	359	347	649	62					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	779	32	14	15	8	6	33	80	43	26	48	28	29	60	35	33	35	55	38	25	33	73	30					
6	Число погашенных бюллетеней	9174	128	83	53	44	62	155	858	237	435	940	698	530	858	719	549	753	639	319	311	241	518	44					
7	Число бюллетеней в переносных ящиках для голосования	779	32	14	15	8	6	33	80	43	26	48	28	29	60	35	33	35	55	38	25	33	73	30					
8	Число бюллетеней в стационарных ящиках для голосования	11344	277	128	116	204	126	175	783	358	479	1296	991	713	1068	823	584	684	825	297	359	347	649	62					
9	Число недействительных бюллетеней	166	4	2	1	3	2	4	13	8	9	17	11	7	10	16	9	2	15	1	12	9	8	3					
10	Число действительных бюллетеней	11957	305	140	130	209	130	204	850	393	496	1327	1008	735	1118	842	608	717	865	334	372	371	714	89					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	285	20	10	5	10	10	10	10	10	5	20	15	20	30	10	10	30	10	10	10	10	20	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	136	17	1	3	6	3	5	5	4	4	13	11	11	13	6	2	7	8	0	0	7	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	4	0	0	7	5	1	3	7	1	7	7	11	5	2	2	6	4	0	1	8	4	9					
14	Число погашенных открепительных удостоверений	149	3	9	2	4	7	5	5	6	1	7	4	9	17	4	8	23	2	10	10	3	10	0					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	126	8	3	1	1	1	3	13	4	6	8	7	5	8	6	5	9	17	1	6	3	6	5					
		1.03%	2.58%	2.11%	0.76%	0.47%	0.75%	1.44%	1.50%	0.99%	1.18%	0.59%	0.68%	0.67%	0.70%	0.69%	0.81%	1.25%	1.93%	0.29%	1.56%	0.78%	0.83%	5.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	158	8	1	0	1	0	2	5	3	7	22	15	18	13	9	9	5	10	3	4	10	11	2					
		1.30%	2.58%	0.70%	0.0%	0.47%	0.0%	0.96%	0.57%	0.74%	1.38%	1.63%	1.47%	2.42%	1.15%	1.04%	1.45%	0.69%	1.13%	0.89%	1.04%	2.63%	1.52%	2.17%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	367	7	3	2	1	3	6	16	16	15	40	28	17	42	21	29	25	32	7	13	16	27	1					
		3.02%	2.26%	2.11%	1.52%	0.47%	2.27%	2.88%	1.85%	3.99%	2.97%	2.97%	2.74%	2.29%	3.72%	2.44%	4.70%	3.47%	3.63%	2.08%	3.38%	4.21%	3.73%	1.08%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	444	1	1	0	6	2	3	18	7	17	74	73	32	52	21	31	23	33	7	9	10	21	3					
		3.66%	0.32%	0.70%	0.0%	2.83%	1.51%	1.44%	2.08%	1.74%	3.36%	5.50%	7.16%	4.31%	4.60%	2.44%	5.02%	3.19%	3.74%	2.08%	2.34%	2.63%	2.90%	3.26%					
22	"5. ""За Русь Святую"""	111	0	0	1	2	2	2	7	3	7	5	8	10	15	12	6	0	22	2	0	0	5	2					
		0.91%	0.0%	0.0%	0.76%	0.94%	1.51%	0.96%	0.81%	0.74%	1.38%	0.37%	0.78%	1.34%	1.32%	1.39%	0.97%	0.0%	2.5%	0.59%	0.0%	0.0%	0.69%	2.17%					
23	"6. ""Объединенная Российская партия ""Русь"""	39	0	0	0	0	1	0	0	1	3	1	3	0	12	6	0	6	3	0	0	2	1	0					
		0.32%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.24%	0.59%	0.07%	0.29%	0.0%	1.06%	0.69%	0.0%	0.83%	0.34%	0.0%	0.0%	0.52%	0.13%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	96	0	0	2	0	0	1	6	1	5	8	9	11	11	4	7	6	8	4	4	3	6	0					
		0.79%	0.0%	0.0%	1.52%	0.0%	0.0%	0.48%	0.69%	0.24%	0.99%	0.59%	0.88%	1.48%	0.97%	0.46%	1.13%	0.83%	0.90%	1.19%	1.04%	0.78%	0.83%	0.0%					
25	"8. ""Народно-республиканская партия России"""	11	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	2	1	0	0	0	0	0					
		0.09%	0.0%	0.70%	0.0%	0.47%	0.0%	0.48%	0.11%	0.0%	0.19%	0.0%	0.09%	0.13%	0.0%	0.11%	0.0%	0.27%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	33	0	0	0	0	0	0	2	1	0	3	6	2	10	1	2	0	2	0	0	1	3	0					
		0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.24%	0.0%	0.22%	0.58%	0.26%	0.88%	0.11%	0.32%	0.0%	0.22%	0.0%	0.0%	0.26%	0.41%	0.0%					
27	"10. ""Аграрная партия России"""	304	11	8	4	13	1	8	15	4	12	34	27	12	30	18	12	23	23	11	8	11	15	4					
		2.50%	3.55%	5.63%	3.05%	6.13%	0.75%	3.84%	1.73%	0.99%	2.37%	2.52%	2.64%	1.61%	2.65%	2.09%	1.94%	3.19%	2.61%	3.28%	2.08%	2.89%	2.07%	4.34%					
28	"11. ""Истинные патриоты России"""	8	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	2	0	0	0	1	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.24%	0.19%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.13%	0.22%	0.0%	0.0%	0.0%	0.13%	0.0%					
