Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Октябрьская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17525	1367	1269	1329	453	495	324	575	180	971	178	112	652	177	468	83	229	634	1322	1032	1311	1336	305	492	188	122	168	701	755	189	108									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16700	1370	1100	1200	465	500	340	550	186	980	184	111	600	181	470	86	230	620	1200	1000	1200	1200	300	490	194	121	169	650	700	193	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6262	431	408	495	180	167	158	163	69	306	91	40	185	78	198	48	98	234	503	333	474	472	129	211	77	48	59	216	248	87	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	828	119	89	53	23	44	16	9	4	49	13	5	31	11	20	3	13	57	19	25	27	12	3	32	10	0	3	75	52	10	1									
6	Число погашенных избирательных бюллетеней	9610	820	603	652	262	289	166	378	113	625	80	66	384	92	252	35	119	329	678	642	699	716	168	247	107	73	107	359	400	96	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	828	119	89	53	23	44	16	9	4	49	13	5	31	11	20	3	13	57	19	25	27	12	3	32	10	0	3	75	52	10	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6262	431	408	495	180	167	158	163	69	306	91	40	185	78	198	48	98	234	503	333	474	472	129	211	77	48	59	216	248	87	56									
9	Число недействительных избирательных бюллетеней	173	32	11	15	4	2	5	1	5	7	4	0	6	1	4	2	1	7	9	4	12	10	2	7	1	3	0	5	7	3	3									
10	Число действительных избирательных бюллетеней	6917	518	486	533	199	209	169	171	68	348	100	45	210	88	214	49	110	284	513	354	489	474	130	236	86	45	62	286	293	94	54									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	360	20	20	15	10	15	15	15	5	15	5	5	15	5	10	5	5	15	35	15	15	25	5	15	5	5	5	15	15	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	148	4	1	14	1	3	15	5	1	6	2	0	3	2	10	4	0	1	26	7	10	17	3	3	0	0	0	3	6	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	7	6	3	1	1	1	2	1	5	6	3	4	1	5	1	2	0	8	14	6	3	4	2	4	2	1	2	3	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	212	16	19	1	9	12	0	10	4	9	3	5	12	3	0	1	5	14	9	8	5	8	2	12	5	5	5	12	9	5	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	7	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	80	5	3	4	1	3	3	2	1	12	0	0	4	1	1	0	0	0	12	2	6	5	4	2	0	0	4	2	2	0	1									
