Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Марксовская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578					
1	"Число избирателей, внесенных в списки избирателей"	47677	410	81	229	210	285	195	775	300	357	544	97	251	641	703	591	724	691	805	779	846	1360	1063	252	157	1072	207	153	47	2712	2700	2495	2392	2904	2930	2628	2611	1337	1033	636	217	573	166	851	360	532	643	1288	2032	1047	250	559	956					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	46460	430	84	220	210	270	200	800	290	345	585	93	262	640	710	610	780	760	860	800	866	1295	1080	235	140	1070	185	150	49	2680	2515	2250	2300	2747	2820	2419	2450	1273	1053	646	200	570	160	870	390	552	650	1200	1944	1042	225	595	890					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	35237	240	78	201	190	246	162	693	248	315	488	83	218	412	654	461	581	523	702	610	570	1056	843	175	103	824	157	136	46	1889	2047	1718	1445	2449	2216	2029	1945	991	705	492	146	382	133	592	300	341	398	936	1431	591	132	355	559					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1979	9	0	11	13	14	18	52	22	16	20	5	6	21	27	61	34	39	78	20	18	34	49	9	9	48	10	6	0	153	96	68	87	78	70	90	44	59	26	30	33	80	17	38	24	22	27	97	64	45	20	26	36					
6	Число погашенных избирательных бюллетеней	9237	181	6	8	7	10	20	55	20	14	77	5	38	207	29	88	165	198	80	170	278	205	188	51	28	198	18	8	3	638	365	464	768	220	534	300	461	223	322	124	21	108	10	240	66	189	225	167	449	406	73	214	295					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1979	9	0	11	13	14	18	52	22	16	20	5	6	21	27	61	34	39	78	20	18	34	49	9	9	48	10	6	0	153	96	68	87	78	70	90	44	59	26	30	33	80	17	38	24	22	27	97	64	45	20	26	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35231	240	78	201	190	246	162	693	248	315	482	83	218	412	654	461	581	523	702	610	570	1056	843	175	103	824	157	136	46	1889	2047	1718	1445	2449	2216	2029	1945	991	705	492	146	382	133	592	300	341	398	936	1431	591	132	355	559					
9	Число недействительных избирательных бюллетеней	502	3	0	0	1	5	4	6	7	0	6	3	1	5	2	9	5	18	5	12	15	32	8	3	6	9	7	2	0	11	32	17	22	28	24	13	26	26	6	0	6	3	5	10	4	4	3	19	14	10	15	14	16					
10	Число действительных избирательных бюллетеней	36708	246	78	212	202	255	176	739	263	331	496	85	223	428	679	513	610	544	775	618	573	1058	884	181	106	863	160	140	46	2031	2111	1769	1510	2499	2262	2106	1963	1024	725	522	173	459	145	620	320	359	422	1014	1481	626	137	367	579					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1465	26	8	8	5	18	18	29	19	17	21	3	35	23	26	19	58	28	32	29	42	73	40	8	8	38	7	8	8	43	68	35	28	81	106	51	92	48	37	6	4	5	10	27	34	39	21	7	16	7	3	35	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1208	26	5	8	5	18	18	29	11	4	21	3	21	7	26	19	58	28	32	29	42	73	34	4	0	26	3	6	0	43	64	35	28	60	67	45	58	19	15	6	2	5	8	27	34	39	21	7	16	7	3	35	8					
