Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Кронштадтская N15																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969					
1	"Число избирателей, внесенных в списки избирателей"	36021	2722	2732	2428	2796	2175	2341	2605	2197	2265	2651	2868	2648	2798	2795					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27500	2000	2100	1900	2200	1700	1800	2000	1700	1700	2000	2200	2000	2100	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18455	1362	1269	1291	1424	1091	1263	1407	1170	1153	1540	1481	1311	1352	1341					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	394	20	38	32	45	14	34	52	28	30	25	12	26	12	26					
6	Число погашенных избирательных бюллетеней	8651	618	793	577	731	595	503	541	502	517	435	707	663	736	733					
7	Число избирательных бюллетеней в переносных ящиках для голосования	394	20	38	32	45	14	34	52	28	30	25	12	26	12	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18439	1361	1269	1290	1423	1091	1263	1402	1169	1153	1537	1481	1309	1352	1339					
9	Число недействительных избирательных бюллетеней	124	9	7	12	12	11	7	3	10	3	10	12	10	10	8					
10	Число действительных избирательных бюллетеней	18709	1372	1300	1310	1456	1094	1290	1451	1187	1180	1552	1481	1325	1354	1357					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	935	50	65	65	175	45	65	65	65	65	75	65	45	45	45					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	516	20	37	19	158	31	25	38	24	22	45	26	40	16	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	299	22	14	17	97	13	14	5	10	14	25	18	12	16	22					
14	Число погашенных неиспользованных открепительных удостоверений	419	30	28	46	17	14	40	27	41	43	30	39	5	29	30					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	65	4	7	5	13	1	3	3	0	1	9	10	3	2	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	486	39	35	38	19	30	30	33	31	24	38	40	40	41	48					
		2.58%	2.82%	2.68%	2.87%	1.29%	2.71%	2.31%	2.27%	2.59%	2.03%	2.43%	2.68%	2.99%	3.01%	3.52%					
19	2.Всероссийская политическая партия «Гражданская Сила»	262	24	15	18	13	11	24	15	19	15	28	25	16	17	22					
		1.39%	1.74%	1.15%	1.36%	0.89%	0.99%	1.85%	1.03%	1.59%	1.27%	1.79%	1.67%	1.20%	1.25%	1.61%					
20	3.Политическая партия «Демократическая партия России»	13	1	1	2	1	0	1	1	0	1	1	2	0	2	0					
		0.07%	0.07%	0.08%	0.15%	0.07%	0.00%	0.08%	0.07%	0.00%	0.08%	0.06%	0.13%	0.00%	0.15%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2238	171	154	168	146	141	161	204	149	147	156	179	144	170	148					
		11.88%	12.38%	11.78%	12.71%	9.95%	12.76%	12.41%	14.03%	12.45%	12.43%	9.99%	11.99%	10.79%	12.46%	10.84%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	195	18	19	9	16	15	13	17	13	13	20	5	12	9	16					
		1.04%	1.30%	1.45%	0.68%	1.09%	1.36%	1.00%	1.17%	1.09%	1.10%	1.28%	0.33%	0.90%	0.66%	1.17%					
23	6.Политическая партия «Партия социальной справедливости»	32	2	1	3	4	3	3	1	3	0	1	1	1	4	5					
		0.17%	0.14%	0.08%	0.23%	0.27%	0.27%	0.23%	0.07%	0.25%	0.00%	0.06%	0.07%	0.07%	0.29%	0.37%					
24	7.Политическая партия «Либерально-демократическая партия России»	2063	153	145	125	196	121	121	133	118	122	204	167	163	143	152					
		10.95%	11.08%	11.09%	9.46%	13.35%	10.95%	9.33%	9.15%	9.86%	10.31%	13.06%	11.19%	12.21%	10.48%	11.14%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2262	175	148	181	114	129	176	216	164	182	152	174	167	138	146					
		12.01%	12.67%	11.32%	13.69%	7.77%	11.67%	13.57%	14.86%	13.70%	15.38%	9.73%	11.65%	12.51%	10.12%	10.70%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	137	4	19	11	8	8	13	13	9	10	12	3	10	6	11					
		0.73%	0.29%	1.45%	0.83%	0.54%	0.72%	1.00%	0.89%	0.75%	0.85%	0.77%	0.20%	0.75%	0.44%	0.81%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	10565	758	734	715	913	617	708	786	651	636	910	834	739	786	778					
		56.10%	54.89%	56.16%	54.08%	62.19%	55.84%	54.59%	54.06%	54.39%	53.76%	58.26%	55.86%	55.36%	57.62%	56.99%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	456	27	29	40	26	19	40	32	30	30	30	51	33	38	31					
		2.42%	1.96%	2.22%	3.03%	1.77%	1.72%	3.08%	2.20%	2.51%	2.54%	1.92%	3.42%	2.47%	2.79%	2.27%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
