Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Заинская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507					
1	"Число избирателей, внесенных в списки избирателей"	11441	300	106	155	123	139	276	150	73	248	306	260	182	121	140	344	117	827	215	583	293	347	387	371	607	588	280	263	757	272	240	107	312	352	566	197	283	144	122	288					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11378	297	105	155	123	139	267	150	71	245	306	260	178	121	138	344	117	826	210	583	290	347	383	371	597	588	280	253	742	273	240	106	305	346	589	195	287	143	121	287					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11184	297	105	155	123	139	262	139	71	220	287	260	178	120	138	341	116	808	202	566	286	346	383	364	587	581	280	253	730	272	237	106	305	346	559	195	276	143	121	287					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	133	0	0	0	0	0	5	11	0	25	19	0	0	0	0	0	0	6	7	17	4	0	0	5	10	6	0	0	12	0	3	0	0	0	0	0	3	0	0	0					
6	Число погашенных избирательных бюллетеней	61	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	12	1	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	30	0	8	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	133	0	0	0	0	0	5	11	0	25	19	0	0	0	0	0	0	6	7	17	4	0	0	5	10	6	0	0	12	0	3	0	0	0	0	0	3	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11184	297	105	155	123	139	262	139	71	220	287	260	178	120	138	341	116	808	202	566	286	346	383	364	587	581	280	253	730	272	237	106	305	346	559	195	276	143	121	287					
9	Число недействительных избирательных бюллетеней	34	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	9	0	0	1	1	0	4	0	3	0	0	0					
10	Число действительных избирательных бюллетеней	11283	297	105	155	123	139	267	149	71	241	306	260	178	120	138	341	116	814	209	583	289	346	383	369	597	577	280	253	733	272	240	105	304	346	555	195	276	143	121	287					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	350	10	10	10	9	9	10	8	8	9	10	10	9	8	8	10	7	9	9	10	10	10	10	8	10	10	8	8	10	7	7	7	8	8	10	8	9	8	9	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	57	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	9	0	2	0	0	1	1	5	2	4	2	8	0	0	0	0	3	7	0	7	0	0	1					
