Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Михайловская городская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168					
1	"Число избирателей, внесенных в список"	47303	2290	2228	2250	2326	1613	1887	1230	2488	2242	1024	1169	1279	1016	701	2038	1989	1705	2124	2457	2372	1875	2113	1044	1249	2358	2236					
2	Число полученных избирательных бюллетеней	41732	2036	1939	1990	1963	1224	1674	1071	2228	2012	806	1007	1172	907	640	1769	1744	1532	1898	2269	2119	1701	1852	931	1098	2159	1991					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21359	1124	1083	1019	1083	605	898	573	1157	1062	382	551	669	444	291	865	975	843	989	1115	993	900	845	524	550	919	900					
5	"Число избирательных бюллетеней, выданных вне помещения"	1954	60	42	74	245	227	60	12	98	55	195	17	63	34	50	105	86	72	25	32	21	27	67	44	90	58	95					
6	Число погашенных избирательных бюллетеней	18419	852	814	897	635	392	716	486	973	895	229	439	440	429	299	799	683	617	884	1122	1105	774	940	363	458	1182	996					
7	Число избирательных бюллетеней в переносных ящиках	1954	60	42	74	245	227	60	12	98	55	195	17	63	34	50	105	86	72	25	32	21	27	67	44	90	58	95					
8	Число бюллетеней в стационарных ящиках для голосования	21354	1124	1083	1019	1083	605	898	573	1157	1062	382	551	666	444	291	865	975	843	988	1115	993	900	845	523	550	919	900					
9	Число недействительных избирательных бюллетеней	174	30	6	2	11	1	11	7	12	14	5	4	5	6	1	3	6	4	12	3	4	7	6	3	4	4	3					
10	Число действительных избирательных бюллетеней	23134	1154	1119	1091	1317	831	947	578	1243	1103	572	564	724	472	340	967	1055	911	1001	1144	1010	920	906	564	636	973	992					
11	Число полученных открепительных  удостоверений	950	50	45	45	45	30	40	20	50	45	20	20	30	20	10	40	40	35	50	50	50	35	40	20	25	50	45					
12	Число выданных открепительных удостоверений	145	9	13	6	7	9	14	3	6	9	1	3	4	4	1	0	5	7	4	7	11	6	4	1	1	7	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	117	5	16	3	2	11	7	0	4	4	0	0	1	0	1	9	12	11	3	1	7	4	1	2	2	8	3					
14	Число неиспользованных открепительных удостоверений	805	41	32	39	38	21	26	17	44	36	19	17	26	16	9	40	35	28	46	43	39	29	36	19	24	43	42					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	1043	51	45	50	53	40	40	29	30	74	22	17	33	11	9	26	41	44	58	60	44	56	47	26	32	47	58					
		4.47%	4.31%	4.00%	4.57%	3.99%	4.81%	4.18%	4.96%	2.39%	6.62%	3.81%	2.99%	4.53%	2.30%	2.64%	2.68%	3.86%	4.81%	5.73%	5.23%	4.34%	6.04%	5.15%	4.59%	5.00%	4.81%	5.83%					
19	. Малышкин Олег Александрович	488	24	28	23	19	18	15	19	30	20	12	12	17	18	6	20	21	15	12	21	30	21	20	10	10	25	22					
		2.09%	2.03%	2.49%	2.10%	1.43%	2.16%	1.57%	3.25%	2.39%	1.79%	2.08%	2.11%	2.33%	3.77%	1.76%	2.06%	1.98%	1.64%	1.18%	1.83%	2.96%	2.27%	2.19%	1.76%	1.56%	2.56%	2.21%					
20	. Миронов Сергей Михайлович	167	5	7	11	6	4	7	3	7	15	9	6	2	5	1	6	8	11	8	8	7	5	5	5	4	5	7					
		0.72%	0.42%	0.62%	1.01%	0.45%	0.48%	0.73%	0.51%	0.56%	1.34%	1.56%	1.06%	0.27%	1.05%	0.29%	0.62%	0.75%	1.20%	0.79%	0.70%	0.69%	0.54%	0.55%	0.88%	0.62%	0.51%	0.70%					
21	. Путин Владимир Владимирович	13737	694	696	655	744	529	560	352	742	557	364	360	412	271	196	583	625	585	603	671	630	571	500	338	371	558	570					
		58.94%	58.61%	61.87%	59.93%	56.02%	63.58%	58.46%	60.17%	59.12%	49.87%	63.08%	63.38%	56.52%	56.69%	57.48%	60.10%	58.91%	63.93%	59.53%	58.50%	62.13%	61.60%	54.82%	59.61%	57.97%	57.11%	57.29%					
22	. Хакамада Ирина Муцуовна	660	33	37	45	45	14	23	14	29	32	20	18	13	16	14	29	35	26	26	41	29	27	15	10	14	25	30					
		2.83%	2.79%	3.29%	4.12%	3.39%	1.68%	2.40%	2.39%	2.31%	2.86%	3.47%	3.17%	1.78%	3.35%	4.11%	2.99%	3.30%	2.84%	2.57%	3.57%	2.86%	2.91%	1.64%	1.76%	2.19%	2.56%	3.02%					
23	. Харитонов Николай Михайлович	6310	314	272	261	397	196	272	149	370	363	126	137	225	139	105	270	295	201	267	312	230	204	306	162	190	277	270					
		27.07%	26.52%	24.18%	23.88%	29.89%	23.56%	28.39%	25.47%	29.48%	32.50%	21.84%	24.12%	30.86%	29.08%	30.79%	27.84%	27.80%	21.97%	26.36%	27.20%	22.68%	22.01%	33.55%	28.57%	29.69%	28.35%	27.14%					
																																	
24	Против всех	729	33	34	46	53	30	30	12	35	42	19	14	22	12	9	33	30	29	27	31	40	36	13	13	15	36	35					
		3.13%	2.79%	3.02%	4.21%	3.99%	3.61%	3.13%	2.05%	2.79%	3.76%	3.29%	2.46%	3.02%	2.51%	2.64%	3.40%	2.83%	3.17%	2.67%	2.70%	3.94%	3.88%	1.43%	2.29%	2.34%	3.68%	3.52%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
